交易代号,交易名称,证券名称,市值（百万元）,板块,GTI 得分
528,Second Chance ,第二房地产,204.115,Retailers,59
5WH,Rex Intl ,REX国际,204.112,Energy - Fossil Fuels,88
Z59,Yoma Strategic ,祐玛战略,202.825,Real Estate,97
VT1,Vertex SPAC,Vertex SPAC,192.636,Holding Companies,
OAJ,FortressMinerals,FortressMinerals,192.583,Mineral Resources,83
I07,ISDN ,亿仕登,192.039,Industrial Goods,79
DM0,PSC Corporation,PSC Corporation,191.284,Applied Resources,70
5SO,Duty Free Intl ,免税国际,190.476,Retailers,54
1D1,UnUsUaL ,飛凡,190.398,Cyclical Consumer Services,78
U09,Avarga ,合众,190.029,Cyclical Consumer Products,81
ER0,KSH ,金成兴,188.013,Industrial & Commercial Services,67
S7OU,Asian Pay Tv Tr ,亚洲付费电视信托,187.861,Cyclical Consumer Services,63.5
42R,Jumbo ,珍宝餐饮,183.443,Cyclical Consumer Services,66
500,Tai Sin Electric ,台新电缆,182.881,Industrial Goods,87
BTM,Penguin Intl ,企鹅国际,182.741,Transportation,95
E3B,Wee Hur ,偉合,182.504,Industrial & Commercial Services,54
P11,Pacific Andes ,太平洋恩利资源发展,181.753,Food & Beverages,50
XZL,ARA HTrust USD ,亚腾美国酒店信托,181.712,Real Estate,72.8
MR7,Nordic ,挪迪克,180,Industrial & Commercial Services,70
600,Hyflux ,凯发,177.833,Utilities,38
JLB,Grand Venture ,杰纬特科技,176.43,Industrial Goods,57
C33,Chuan Hup ,泉合,169.312,Real Estate,60
BLS,Hotung Inv ,和通,166.607,Banking & Investment Services,40
42S,Astaka ,亚斯达卡,163.885,Real Estate,47
AWZ,Multi-Chem ,多元科技,162.171,Technology Equipment,86
5UL,Atlantic Nav,Atlantic Nav,161.413,Energy - Fossil Fuels,57
A05,AVJennings A$,AVJennings A$,160.431,Real Estate,
41O,LHN ,贤能,157.444,Real Estate,88
BEW,JB Foods,JB Foods,153.798,Food & Beverages,63
T13,RH PetroGas ,常青石油及天然气,153.674,Energy - Fossil Fuels,53
IX2,PEC ,PEC,153.429,Energy - Fossil Fuels,77
A30,Aspial Corp ,利华,152.01,Cyclical Consumer Products,57
TWL,Memiontec Hldgs,Memiontec Hldgs,151.977,Utilities,54
P8A,Cordlife ,康盛人生,147.139,Healthcare Services,66
BPF,YHI Intl ,友发,144.686,Automobiles & Auto Parts,67
U77,Sarine Tech ,石利科技,141.886,Industrial Goods,60
NTA,Novo Tellus SPAC,Novo Tellus SPAC,140.824,Holding Companies,
5IC,SingHoldings ,星有限公司,140.348,Real Estate,69
MXNU,EliteComREIT GBP,EliteComREIT GBP,139.82,Real Estate,53.6
B49,World Precision ,沃得精机,139.814,Industrial Goods,59
PGS,Pegasus SPAC ,珀伽索斯亚洲,138.283,Holding Companies,
J2T,Hock Lian Seng ,福联盛,138.268,Industrial & Commercial Services,68
LS9,Leader Env ,利德环保,134.89,Industrial & Commercial Services,73
5WA,OUE Healthcare ,华联医疗,133.294,Healthcare Services,84
F13,Fu Yu ,富裕,133.231,Industrial Goods,74
L19,Lum Chang ,林増,130.91,Industrial & Commercial Services,90
D5IU,Lippo Malls Tr ,力宝印尼零售信托,130.846,Real Estate,79.8
1J4,JEP,JEP,128.323,Industrial & Commercial Services,58
D8DU,FSL Trust ,首航融资信托,126.614,Transportation,74.5
5SR,Zhongmin Baihui ,中闽百汇零售,125.477,Retailers,63
5DP,Heeton ,喜敦,124.372,Real Estate,55
BTP,Baker Technology ,巴克科技,123.756,Energy - Fossil Fuels,75
KUO,Intl Cement ,国际水泥,120.429,Mineral Resources,61
I15,Isetan ,伊势丹,120.037,Retailers,59
1J0,SLB Dev ,新聯明發展,119.603,Real Estate,69
LIW,Eagle HTrust USD,Eagle HTrust USD,119.567,Real Estate,
