isin,market,segment.translations.others,instrumentType.originalValue,instrumentType,securityType,originCountryCode,originCountry,industrySector.originalValue,industrySector,sector,subsector
US12468P1049,Open Market,,1002,Common shares,Registered share,US,USA,172,Software,,
US0605051046,Open Market,,1002,Common shares,Registered share,US,USA,81,Bank/insurance,,
US08862E1091,Open Market,,1002,Common shares,Registered share,US,USA,150,Consumer goods/food/breweries/paper,,
DE0007274136,Regulated Market,General Standard,1003,Preffered shares,Bearer share,DE,Germany,51,Chemistry/pharmacy,Consumer,Home Construction & Furnishings
US46625H1005,Open Market,,1002,Common shares,Registered share,US,USA,180,Holding companies,,
LU2356314745,Regulated Market,Prime Standard,1002,Common shares,Registered share,LU,Luxembourg ,900,Foreign shares,Automobile,Auto Parts & Equipment
US8825081040,Open Market,,1002,Common shares,Registered share,US,USA,61,Electronic engineering,,
DE0005408884,Regulated Market,Prime Standard,1002,Common shares,Registered share,DE,Germany,180,Holding companies,Automobile,Auto Parts & Equipment
US2358511028,Open Market,,1002,Common shares,Registered share,US,USA,900,Foreign shares,,
DE000A12UP37,Regulated Market,General Standard,1002,Common shares,Bearer share,DE,Germany,190,Other german shares,Software,Internet
US6092071058,Open Market,,1002,Common shares,Registered share,US,USA,150,Consumer goods/food/breweries/paper,,
US0126531013,Open Market,,1002,Common shares,Registered share,US,USA,51,Chemistry/pharmacy,,
NL0013654783,Open Market,,1002,Common shares,Registered share,NL,Netherlands ,900,Foreign shares,,
DE0005229504,Regulated Market,General Standard,1002,Common shares,Bearer share,DE,Germany,171,Trade,Retail,"Retail, Specialty"
DE000LS1LUS9,Open Market,Basic Board,1002,Common shares,Registered share,DE,Germany,190,Other german shares,,
US5007541064,Open Market,,1002,Common shares,Registered share,US,USA,150,Consumer goods/food/breweries/paper,,
DE0005232805,Regulated Market,Prime Standard,1002,Common shares,Bearer share,DE,Germany,190,Other german shares,Automobile,Auto Parts & Equipment
US4370761029,Open Market,,1002,Common shares,Registered share,US,USA,130,Construction/ construction materials,,
US0311621009,Open Market,,1002,Common shares,Registered share,US,USA,51,Chemistry/pharmacy,,
US0138721065,Open Market,,1002,Common shares,Registered share,US,USA,101,Steel,,
DE000A0XYG76,Open Market,Scale,1002,Common shares,Registered share,DE,Germany,180,Holding companies,Basic Resources,Mining
DE000A0Z1JH9,Regulated Market,Prime Standard,1002,Common shares,Registered share,DE,Germany,172,Software,Software,Software
US0090661010,Open Market,,1002,Common shares,Registered share,US,USA,900,Foreign shares,,
AT0000785407,Regulated Market,Prime Standard,1002,Common shares,Bearer share,AT,Austria,172,Software,Software,Software
US5128071082,Open Market,,1002,Common shares,Registered share,US,USA,61,Electronic engineering,,
US58933Y1055,Open Market,,1002,Common shares,Registered share,US,USA,51,Chemistry/pharmacy,,
FR0000125007,Open Market,,1002,Common shares,Bearer share,FR,France,180,Holding companies,,
US00507V1098,Open Market,,1002,Common shares,Registered share,US,USA,900,Foreign shares,,
DE000A31C305,Open Market,Scale,1002,Common shares,Registered share,DE,Germany,172,Software,Technology,Communication Technology
DE000A1TNV91,Open Market,,1002,Common shares,Bearer share,DE,Germany,172,Software,,
DK0060094928,Open Market,,1002,Common shares,Bearer share,DK,Denmark,900,Foreign shares,,
FR0010208488,Open Market,,1002,Common shares,Bearer share,FR,France,70,Service/energy,,
DE000A1X3W00,Regulated Market,Prime Standard,1002,Common shares,Registered share,DE,Germany,190,Other german shares,Pharma & Healthcare,Biotechnology
AT0000606306,Open Market,,1002,Common shares,Bearer share,AT,Austria,900,Foreign shares,,
DE000A1YC996,Regulated Market,Prime Standard,1002,Common shares,Registered share,DE,Germany,190,Other german shares,Media,Advertising
DE0005654933,Regulated Market,Prime Standard,1003,Preffered shares,Bearer share,DE,Germany,61,Electronic engineering,Consumer,Home Construction & Furnishings
US57636Q1040,Open Market,,1002,Common shares,Registered share,US,USA,900,Foreign shares,,
FR0000124141,Open Market,,1002,Common shares,Bearer share,FR,France,900,Foreign shares,,
AT0000A25NJ6,Open Market,,1002,Common shares,Bearer share,AT,Austria,180,Holding companies,,
FR0000120644,Open Market,,1002,Common shares,Bearer share,FR,France,150,Consumer goods/food/breweries/paper,,
US1729674242,Open Market,,1002,Common shares,Registered share,US,USA,81,Bank/insurance,,
DE000A2GS633,Regulated Market,General Standard,1002,Common shares,Registered share,DE,Germany,180,Holding companies,Software,IT-Services
US6745991058,Open Market,,1002,Common shares,Registered share,US,USA,120,"Potash, oil, natural gas, carbon",,
US37045V1008,Open Market,,1002,Common shares,Registered share,US,USA,91,Automotive and mechanical engineering,,
DE0005855183,Regulated Market,General Standard,1002,Common shares,Bearer share,DE,Germany,190,Other german shares,Financial Services,Diversified Financial
