isin,name,symbol,名称翻译,industry,xetr_industry,category,currency,exchangeId,exchange_degiro,exchange_mic_code,exchange,isShortable,feedQuality,feedQualitySecondary
DE0005439004,Continental,CON,马牌轮胎,Automotive Aftermarket,Tires,A,EUR,194,XET,XETR,Xetra,TRUE,CX,D15
NL0012169213,Qiagen,QIA,,Medical Specialties,Biotechnology,D,EUR,194,XET,XETR,Xetra,FALSE,D15,
DE0005664809,Evotec,EVT,,Pharmaceuticals: Major,Biotechnology,D,EUR,194,XET,XETR,Xetra,FALSE,D15,
LU1673108939,Aroundtown SA,AT1,,Real Estate Investment Trusts,Real Estate,D,EUR,194,XET,XETR,Xetra,FALSE,D15,
US5949181045,Microsoft Corp,MSF,微软,Packaged Software,Software,B,EUR,194,XET,XETR,Xetra,FALSE,D15,
DE0006602006,GEA Group,G1A,,Industrial Machinery,"Industrial, Diversified",B,EUR,194,XET,XETR,Xetra,FALSE,CX,D15
DE000TUAG505,TUI,TUI1,,Other Consumer Services,,C,EUR,194,XET,XETR,Xetra,FALSE,D15,
DE000A0DJ6J9,SMA Solar Technology,S92,,Electrical Products,Renewable Energies,B,EUR,194,XET,XETR,Xetra,FALSE,CX,D15
US0378331005,Apple,APC,苹果,Telecommunications Equipment,,D,EUR,194,XET,XETR,Xetra,FALSE,D15,
DE000A0WMPJ6,Aixtron,AIXA,爱思强,Semiconductors,Semiconductors,D,EUR,194,XET,XETR,Xetra,FALSE,D15,
US67066G1040,NVIDIA Corp,NVD,英伟达,Semiconductors,,D,EUR,194,XET,XETR,Xetra,FALSE,D15,
DE0008303504,TAG Immobilien,TEG,,Real Estate Development,Real Estate,D,EUR,194,XET,XETR,Xetra,FALSE,D15,
DE0006202005,Salzgitter,SZG,,Steel,Steel & Other Metals,D,EUR,194,XET,XETR,Xetra,FALSE,D15,
DE000A1PHFF7,Hugo Boss,BOSS,,Apparel/Footwear,Clothing & Footwear,A,EUR,194,XET,XETR,Xetra,TRUE,CX,D15
DE000KBX1006,Knorr Bremse,KBX,克诺尔集团,Auto Parts: OEM,"Industrial, Machinery",A,EUR,194,XET,XETR,Xetra,FALSE,CX,D15
DE0005158703,Bechtle,BC8,,Information Technology Services,IT-Services,C,EUR,194,XET,XETR,Xetra,FALSE,CX,D15
DE000KGX8881,Kion Group,KGX,,Industrial Machinery,Heavy Machinery,C,EUR,194,XET,XETR,Xetra,FALSE,D15,
NL0010273215,ASML Holding,ASME,,Semiconductors,Production Technology Equipment,D,EUR,194,XET,XETR,Xetra,FALSE,D15,
