logoid,dr_name
ck-infrastructure-holdings-limited,长江基建集团
clorox,高乐氏
cloudflare-inc,Cloudflare
clp-holdings-ltd,中电控股
cme,芝加哥商业交易所
cmoc-ltd,洛阳钼业
cms-energy,CMS能源
cna,CNA金融
cnh,CNH Industrial NV
cnooc-limited,中国海油
coal-india,印度煤炭
coca-cola,可口可乐
cognex,康耐视
cognizant,高知特
coinbase,Coinbase Global
colgate-palmolive,高露洁
coloplast-b-a-s,康乐保
comcast,康卡斯特
commerzbank,德国商业银行
commonwealth-bank,澳大利亚联邦银行
compass,康帕斯集团
conagra-brands,康尼格拉
conch-cement,海螺水泥
confluent,Confluent
conocophillips,康菲石油
consolidated-edison,爱迪生联合电气
constellation-brands,星座品牌
constellation-energy,Constellation Energy
contemporary-amper,宁德时代
continental-ag,马牌轮胎
cooper-cos,库珀医疗
copart,科帕特
corebridge-financial-inc,Corebridge Financial
corning,康宁
corteva,Corteva
cosco-shipping,中远海控
costar-group,科斯塔
costco-wholesale,开市客
coty,科蒂
coupang,Coupang
credicorp,Credicorp
credit-agricole,农业信贷银行
crh,CRH水泥
croda,禾大国际
crowdstrike,CrowdStrike Holdings
crown-castle-international,冠城
crown-holdings,皇冠控股
crrc-limited,中国中车
csl,杰特
csx,CSX运输
ctbc-financial-holdings,中信金
ctrip-com-international,携程
cubesmart,CubeSmart
cummins,康明斯
cvs-health,西维斯健康
dai-ichi-life-holdings,第一生命控股
daiichi-sankyo,第一三共
daikin-industries,大金工业
daimler,梅赛德斯奔驰
daimler-truck-hldg-jge-na,戴姆勒卡车
daiwa-house,大和房屋工业
danaher,丹纳赫
danone,达能
danske-bank-a-s,丹斯克银行
darden,达登饭店
darling-ingredients,美国达尔令国际
dassault-aviation,达索航空
dassault-systemes,达索系统
datadog,Datadog
dbs,星展
deckers-outdoor,德克斯户外
deere,迪尔
dell,戴尔科技
delta-air-lines,达美航空
delta-electronic,台达电
denso,电装
deutsche-bank-ag,德意志银行
deutsche-boerse-na-o-n,德意志交易所
deutsche-post-ag,德国邮政
deutsche-telekom,德国电信
devon-energy,戴文能源
dexcom,德康医疗
dfi-retail-group,牛奶国际
diageo,帝亚吉欧
diamondback,Diamondback Energy
dicks-sporting-goods,迪克体育用品
digital-realty-trust-5850-series-k-cumulative-redeemable-preferred-stock-par-value-001-per-share,数字房地产信托
dior,迪奥
disco-corporation,DISCO
discover-financial-services,探索金融服务
dnb-bank-asa,DNB
docusign,DocuSign
dollar-general,达乐
dollar-tree,美元树
dominion-energy,道明尼能源
dominos-pizza,达美乐比萨
doordash,DoorDash
dover,都福
dow,陶氏
draftkings,DraftKings
dr-horton,霍顿房屋
dr-reddys,如瑞迪博士
dsv-a-s,DSV
dte-energy,DTE能源
duke-energy,杜克能源
dupont-de-nemours,陶氏杜邦
dynatrace,Dynatrace
east-japan-railway,东日本旅客铁道
eastman,伊士曼化工
east-money-informa,东方财富
eaton,伊顿
ebay,易趣
ecolab,艺康
ecopetrol,哥伦比亚国家石油
ecoprobm,EcoPro BM
edenred,艾登瑞德
edison-international,爱迪生国际
edwards,爱德华兹生命科学
eicher-motors,Eicher汽车
eisai,卫材
electronic-arts,艺电
eli-lilly,礼来
emaar-properties,伊玛尔地产
emerson,艾默生电气
