证券代码,证券名称
AIAG,LEGAL & GENERAL UCITS ETF PLC L
WNDE,INVESCO IVZ WIND ENERGY UCITS E
AUCP,LEGAL & GENERAL UCITS ETF PUBLI
J13U,JPMORGAN ETFS (IRELAND) ICAV BE
WIGG,ISHARES IV PLC ISH FLN ANGELS H
DFEP,WISDOMTREE ISSUER PLC  WT SMCAP
JMRE,JPMORGAN ETFS (IRELAND) ICAV JP
EMGA,ISHARES III PLC ISH JPM LOC EM
FLO5,ISHARES II PLC ISHARES $ FLOATI
INMU,UBS AG UBS ETC (UBS BBG CMCI IN
ISFD,ISHARES PLC ISHARES COR FTSE 10
SUKC,SSGA SPDR ETFS EUROPE II PLC SP
OUFU,OSSIAM IRL ICAV OSSIAM ETF US E
BIOG,BIOTECH GROWTH TRUST (THE) PLC
CKWG,CIRCA5000 ICAV C5K CLEAN WATER
VMIG,VANGUARD FUNDS PLC VANGUARD FTS
WPP,WPP集团(UK)
TRE,FIRST TRUST GLOBAL FUNDS PLC FT
IPU,INVESCO PERPETUAL UK SMALLER CO
YNGN,YOUNG & CO'S BREWERY PLC  NON V
FGGB,FIDELITY UCITS II ICAV FIL GLOB
FEMP,FIDELITY UCITS II ICAV FIDELITY
REGB,VANECK VECTORS UCITS ETFS PLC V
IWFV,ISHARES IV PLC ISHS EDGE MSCI W
USDC,LEGAL & GENERAL UCITS ETF PLC L
IUVL,ISHARES IV PLC ISHARES EDGE MSC
FGQI,FIDELITY UCITS ICAV GLOBAL QUAL
IFFF,ISHARES PLC ISHARES MSCI AC FE
AUCO,LEGAL & GENERAL UCITS ETF PUBLI
EMUS,LEGAL & GENERAL UCITS ETF PLC L
IDTG,ISHARES IV PLC ISH $TSY 20+ GBP
IUGA,ISHARES II PLC ISH US AGG BOND
IWMO,ISHARES IV PLC ISHS EDGE MSCI W
VEGB,VANECK VANECK SUSTAIN FUTURE OF
OCI,OAKLEY CAPITAL INVESTMENTS LIMI
VOF,VINACAPITAL VIETNAM OPPORTUNITY
SMPA,SSGA SPDR ETFS EUROPE II PLC SP
V3GS,VANGUARD FUNDS PLC VANGUARD ESG
TING,TABULA ICAV TAB US ENH. INFLATI
EMUG,LEGAL & GENERAL UCITS ETF PLC L
SUWS,ISHARES IV PLC ISHARES MSCI WLD
EXCS,ISHARES IV PLC IS MSCI EM EX-CH
UC99,UBS (IRL) ETF PLC UBSETF FACTOR
FOUR,4IMPRINT GROUP PLC ORD 38 6/13P
LXUU,UBS AG UBS ETC (CMCI ZINC) USD
IGLA,ISHARES III PLC ISHARES GL GOVT
XZHE,DB-XTRACKERS X ESG EUR HIGH YIE
CGT,CAPITAL GEARING TRUST PLC ORD 2
JGHD,JPMORGAN ETFS (IRELAND) ICAV JP
SCNY,WISDOMTREE FOREIGN EXCHANGE LIM
S250,INVESCO MARKETS PLC INVESCO FTS
UC86,UBS ETF UBSETF BLM BARC US LIQ
FUSI,FIDELITY UCITS ICAV US QUALITY
XNNS,DB-XTRACKERS X MSCI INNOVATION
XCS5,XTRACKERS X MSCI INDIA SWAP $
EMID,ISHARES VI PLC IS MSCI EUR MID
DPH,DECHRA PHARMACEUTICALS PLC ORD
CAPE,OSSIAM LUX OSSIAM ETF SHILLER B
GBHY,INVESCO IVZ GLOBAL HY CORPORATE
GCVG,SSGA SPDR ETFS EUROPE II PLC SP
AGT,AVI GLOBAL TRUST PLC ORD 2P
KSTP,KRANESHARES ICAV KRANESHARES IC
USDV,SSGA SPDR ETFS EUROPE I PLC SPD
INMG,UBS AG UBS ETC (CMCI INDUSTRIAL
VAGU,VANGUARD FUNDS PLC VANGUARD GLO
FGQD,FIDELITY UCITS ICAV GLOBAL QUAL
JGHY,JPMORGAN ETFS (IRELAND) ICAV JP
SUSD,SSGA SPDR ETFS EUROPE I PLC SPD
EXPN,益博睿(益百利)
AV.,AVIVA PLC ORD 32 17/19P
STHS,PIMCO FIXED INCOME SOURCE ETFS
FSEM,FIDELITY UCITS II ICAV FIDELITY
SUSU,ISHARES II PLC ISH $ CRP BND SR
GHYU,LYXOR INDEX FUND LYXOR GLOB HIY
TI5G,ISHARES II PLC ISH $ TIPS 0-5 E
JREM,JPMORGAN ETFS (IRELAND) ICAV JP
GILS,MULTI UNITS LUXEMBOURG LYXOR CO
GBPG,GOLDMAN SACHS ETF ICAV GS UK GI
UESD,ISHARES IV PLC ISH GBP U B ESD
JNKE,SSGA SPDR ETFS EUROPE I PLC SPD
V3SU,VANGUARD FUNDS PLC VGI ESG USD
GBP5,LEGAL & GENERAL UCITS ETF PLC L
CRPA,ISHARES PLC ISH GLB CORP BND ET
HYGB,VANECK VECTORS UCITS ETFS PLC V
FUSA,FIDELITY UCITS ICAV US QUALITY
UC82,UBS ETF UBSETF BLM BARC US LIQ
US13,AMUNDI ETF LYXOR US TREASURY 1-
IGLO,ISHARES III PLC ISHRS GLOBAL GO
IUAA,ISHARES II PLC ISHARES US AGG B
XUHY,XTRACKERS (IE) PUBLIC LIMITED C
XESE,XTRACKERS (IE) PUBLIC LIMITED C
MEXP,HANETF ICAV FIN MEX S&PBMV INT
XYLD,XTRACKERS (IE) PUBLIC LIMITED C
HIGH,ISHARES PLC IS E HIGH YIELD CRP
UINU,MULTI UNITS LUXEMBOURG LYXOR IN
V3GP,VANGUARD FUNDS PLC VANGUARD ESG
TIPA,MULTI UNITS LUXEMBOURG LYXOR CO
HSUK,HSBC ETFS PLC HSBC UK SUSTAINAB
IEMB,ISHARES II PLC ISHRS J.P. MORGA
TPXG,AMUNDI INDEX SOLUTIONS AMUNDI J
T3GB,INVESCO MARKETS II PLC IVZ UST
UC81,UBS ETF UBSETF BLM BARC US LIQ
V3GD,VANGUARD FUNDS PLC VANGUARD ESG
TRS3,SSGA SPDR ETFS EUROPE I PLC SPD
XNIF,XTRACKERS X NIFTY 50 SWAP
AIGI,WISDOMTREE COMMODITY SECURITIES
ITEP,HANETF ICAV HAN-GINS INNV TECHN
JCAS,JPMORGAN ETFS (IRELAND) ICAV JP
ASCL,ASCENTIAL PLC ORD 1P
XGSD,XTRACKERS X GLOBAL SELECT DIV 1
ISXF,ISHARES III PLC ISHRS ￡ CORP B
STEA,PIMCO FIXED INCOME SOURCE ETFS
INVP,天达证券投资顾问
VMID,VANGUARD FUNDS PLC VANGUARD FTS
U13E,AMUNDI ETF LYXOR US TREAS 1-3Y
FLOA,ISHARES II PLC ISH $ FLOAT BOND
GHYS,ISHARES VI PLC ISHRS GLBL HGH Y
WOOD,ISHARES II PLC ISHRS GLBL TIMBE
FMVR,FIDELITY UCITS ICAV FIDELITY ME
XAXJ,XTRACKERS X MSCI AC ASIA EX JAP
VHYD,VANGUARD FUNDS PLC VANGUARD FTS
JREE,JPMORGAN ETFS (IRELAND) ICAV JP
XUT3,XTRACKERS II X USD TREASURIES 1
VHYG,VANGUARD FUNDS PLC VANGUARD FTS
IUAG,ISHARES II PLC ISHRS US AGG BON
IBTG,ISHARES PLC ISH $ TRES 1-3Y ETF
TRE3,INVESCO MARKETS II PLC IVZ US T
CBU3,ISHARES VII PLC ISHRS USD TRSY
XDEB,XTRACKERS (IE) PUBLIC LIMITED C
FLOS,ISHARES II PLC IS $ FLOT RATE B
XUS1,DB-XTRACKERS X US TREASURY 1-3
GLT5,INVESCO MARKETS II PLC INVESCO
EMLP,PIMCO FIXED INCOME SOURCE ETFS
JCTS,JPMORGAN ETFS (IRELAND) ICAV JP
WQDV,ISHARES II PLC IS WORLD QUALITY
EEDM,ISHARES IV PLC ISH MSCI EM USG
IBCX,ISHARES PLC ISHARES E C.BD LG C
XDEV,XTRACKERS (IE) PUBLIC LIMITED C
SRIW,UBS (IRL) ETF PLC UBS ETF MSCI
CEMG,ISHARES V PUBLIC LIMITED COMPAN
YIEL,LYXOR INDEX FUND LYXOR BOFAML €
JU13,JPMORGAN ETFS (IRELAND) ICAV BE
IGLT,ISHARES II PLC ISHRS CORE UK GI
UC44,UBS ETF UBS ETF MSCI WORLD SOCI
HSEU,HSBC ETFS PLC HSBC EUROPE SUSTA
CB5,AMUNDI ASSET MANAGEMENT SA ETF 
XDGU,XTRACKERS (IE) PUBLIC LIMITED C
EHYG,ISHARES PLC ISHRS € HY CRP BD E
GRG,GREGGS PLC ORD 2P
GEDV,SSGA SPDR ETFS EUROPE I PLC SPD
SGBP,WISDOMTREE FOREIGN EXCHANGE LIM
FLUC,FRANKLIN LIBERTYSHARES ICAV FRK
C5KW,CIRCA5000 ICAV C5K CLEAN WATER
FCSG,FIRST TRUST GLOBAL FUNDS PLC FT
JEBP,JPMORGAN ETFS (IRELAND) ICAV JP
UKG5,LEGAL & GENERAL UCITS ETF PLC L
CRPU,ISHARES PLC IS GLOBAL CRP BND E
XDEU,DB-XTRACKERS X S&P 500 EQUAL WE
T1AP,INVESCO MARKETS II PLC IVZ US T
UVAL,SSGA SPDR ETFS EUROPE II PLC SP
FRIN,FRANKLIN LIBERTYSHARES ICAV FRK
CWEU,AMUNDI INDEX SOLUTIONS AMUNDI M
SDIA,ISHARES IV PLC IS $ SHRT DUR CO
SDIG,ISHARES IV PLC ISHS $ SHORT DUR
BGS,BAILLIE GIFFORD SHIN NIPPON PLC
TFRP,WISDOMTREE WISDOMTREE USD FR T-
HUKS,HSBC ETFS PLC HSBC UK SUSTAINAB
SHYU,ISHARES II PLC ISHRS $ HIGH YIE
OMXS,ISHARES IV PLC ISHARES OMX STOC
CGB,XTRACKERS II X CHINA GOVERNMENT
AQWA,GLOBAL X ETFS ICAV GLOBAL X CLE
JPNU,AMUNDI ETF LYXOR JAPAN (TOPIX)
TRIS,INVESCO MARKETS II PLC IVZ US T
JPNL,AMUNDI ETF LYXOR JAPAN (TOPIX)
X7GB,DB-XTRACKERS X EUROZONE GOVBOND
ANTO,安托法加斯塔公司
SSHY,PIMCO FIXED INCOME SOURCE ETFS
AQWG,GLOBAL X ETFS ICAV GLOBAL X CLE
GLCO,UBS ETF UBS ETF GL CORP ESG LIQ
JHEF,FUNDLOGIC ALTERNATIVES PLC SCIB
DJEL,AMUNDI ETF LYXOR DOW JONES INDU
TGCC,TABULA ICAV TAB GCC BONDS UCITS
XAXD,XTRACKERS X MSCI AC ASIA EX JAP
ALUM,WISDOMTREE COMMODITY SECURITIES
DRX,DRAX GROUP PLC ORD 11 16/29P
SRUG,UBS (IRL) ETF PLC UBS ETF MSCI
FEDF,MULTI UNITS LUXEMBOURG LYX ETF
SUOG,ISHARES II PLC ISH &#164; CB ES
JPGL,JPMORGAN ETFS (IRELAND) ICAV JP
V3GU,VANGUARD FUNDS PLC VANGUARD ESG
EMAS,SSGA SPDR ETFS EUROPE I PLC SPD
GIST,MULTI UNITS LUXEMBOURG LY GLOB
BLND,英国土地公司
XHYG,XTRACKERS II X EUR HIGH YIELD C
XNNV,DB-XTRACKERS X MSCI INNOVATION
XT01,XTRACKERS(IE) PLC X US TREASURI
FEDG,MULTI UNITS LUXEMBOURG LYX ETF
SGSU,ISHARES II PLC ISH $ CB 0-3 ESG
IRCP,ISHARES V PUBLIC LIMITED COMPAN
EGOG,UBS UBS ETF GL GOV ESG LIQ DIS
XMCX,XTRACKERS X FTSE 250
XBLC,XTRACKERS II X EUR CORPORATE BO
E127,AMUNDI ETF AMUNDI MSCI EMERGING
HEMC,HSBC ETFS PLC HSBC MSCI EM UCIT
SMT,苏格兰抵押贷款证券公司
FUSP,FIDELITY UCITS ICAV US QUALITY
IGL5,ISHARES PLC ISHARES UK GILTS 0-
SDHG,ISHARES IV PLC ISHS $ SHRT DUR
HPEF,HSBC ETFS PLC HSBC MSCI EM PAB
BBLL,JPMORGAN ETFS (IRELAND) ICAV JP
METP,HANETF ICAV ETC GROUP GLOBAL ME
FLES,FRANKLIN LIBERTYSHARES ICAV FRK
UDVD,SSGA SPDR ETFS EUROPE I PLC SPD
JPAS,JPMORGAN ETFS (IRELAND) ICAV JP
SPT,思博伦通信
HSEF,HSBC ETFS PLC HSBC EM SUSTAINAB
TIP5,ISHARES II PLC ISHARES $ TIPS 0
HFEJ,HSBC ETFS PLC HSBC MSCI AC FAEX
FLXI,FRANKLIN LIBERTYSHARES ICAV FRK
ERNU,ISHARES IV PLC ISHS $ ULTRASHOR
KSTR,KRANESHARES ICAV KRANESHARES IC
HMAF,HSBC ETFS PLC HSBC MSCI AC FAR
JPTS,JPMORGAN ETFS (IRELAND) ICAV JP
METU,FRANKLIN LIBERTYSHARES ICAV FRK
GGRB,WISDOMTREE WT GLOBALQUALDIVGROW
BBM3,JPMORGAN ETFS (IRELAND) ICAV JP
GBUS,WISDOMTREE FOREIGN EXCHANGE LIM
STPU,MULTI UNITS LUXEMBOURG LYXOR US
MSRG,AMUNDI INDEX SOLUTIONS AMUNDI I
GLAB,SSGA SPDR ETFS EUROPE I PLC SPD
CEA1,ISHARES VII PLC ISHRS MSCI EM A
GLTS,SSGA SPDR ETFS EUROPE I PLC SPD
XMVU,XTRACKERS (IE) PUBLIC LIMITED C
XGDD,XTRACKERS X GLOBAL SELECT DIV 1
PSRW,INVESCO MARKETS III PLC INVESCO
EGDM,ISHARES IV PLC ISH MSCI EM ESG
XBGB,DB-XTRACKERS X GERMANY GOV BOND
LEMB,LYXOR INDEX FUND LYXOR IBOXX $
LQDG,ISHARES PLC ISHRS $ CRP BND INT
PAEM,INVESCO IVZ MSCI EM CPA ESG UCI
0RL9,PROCREDIT HOLDING ORD SHS
STPH,AMUNDI ETF USCURVE STEEPENING 2
IDBT,ISHARES PLC ISHARES $TRES.BD1-3
SUSC,SSGA SPDR ETFS EUROPE I PLC SPD
XZWS,XTRACKERS II X ESG GLOBAL GOV B
XMMS,XTRACKERS (IE) PUBLIC LIMITED C
ITEK,HANETF ICAV HAN-GINS INNV TECHN
KLMG,MULTI UNITS LUXEMBOURG LYX GREE
IWSZ,ISHARES IV PLC ISHS EDGE MSCI W
X71U,DB-XTRACKERS X EUROZONE GOVBOND
ERNS,ISHARES IV PLC ISHS ￡ ULTRASHO
EDG2,ISHARES IV PLC ISH MSCI EM ESG
BRBY,博柏利
JRAE,JPMORGAN ETFS (IRELAND) ICAV JP
SEMH,SSGA SPDR ETFS EUROPE II PLC SP
GEDM,ISHARES IV PLC ISH MSCI EM IMI
XNID,XTRACKERS X NIFTY 50 SWAP
HYEM,VANECK VECTORS UCITS ETFS PLC V
XDEQ,XTRACKERS (IE) PUBLIC LIMITED C
XBUS,DB-XTRACKERS X GERMANY GOV BOND
S6EW,OSSIAM LUX OSSIAM STOXX EUROPE
0A24,ISHARES $ TREASURY BOND 0-1YR U
SEMC,UBS ETF UBSETF JPM USD EM DIV B
AGGG,ISHARES III PLC ISH GLOBAL AGG
FUSD,FIDELITY UCITS ICAV US QUALITY
GSK,葛兰素史克(UK)
COPA,WISDOMTREE COMMODITY SECURITIES
GBDV,SSGA SPDR ETFS EUROPE I PLC SPD
GIL5,MULTI UNITS LUXEMBOURG LYXOR UK
XPHG,XTRACKERS X MSCI PHILIPPINES 1C
IEAH,ISHARES III PLC ISH € CORP BOND
IBTE,ISHARES PLC ISH $ TRES 1-3Y ETF
LVLG,INVESCO IQS GLOBAL EQ LVLC UCIT
JHYP,JPMORGAN ETFS (IRELAND) ICAV JP
ESES,INVESCO MARKETS II PLC IVZ MSCI
IGLS,ISHARES III PLC ISHRS UK GILTS
WCCP,WISDOMTREE WISDOMTREE CALIFORNI
MIST,PIMCO FIXED INCOME SOURCE ETFS
XZEM,XTRACKERS (IE) PLC X ESG MSCI E
CYGB,ISHARES IV PLC ISH CNYB E GBH D
USVL,SSGA SPDR ETFS EUROPE II PLC SP
BATG,LEGAL & GENERAL UCITS ETF PUBLI
MAMG,ISHARES III PLC BLK E MAM ￡HGD
HIEM,HSBC ETFS PLC HSBC MSCI EM ISLA
STYC,PIMCO FIXED INCOME SOURCE ETFS
AASG,AMUNDI INDEX SOLUTIONS AMUNDI M
XNJS,DB-XTRACKERS X JAPAN NET ZERO P
XMAS,XTRACKERS X MSCI EM ASIA SWAP
GBHG,INVESCO IVZ GLOBAL HY CORP ESG
PRIJ,AMUNDI INDEX SOLUTIONS AMUNDI P
HUKD,HSBC ETFS PLC HSBC UK SUSTAINAB
JD.,JD SPORTS FASHION PLC ORD 0.05P
RENW,LEGAL & GENERAL UCITS ETF PLC L
MINT,PIMCO FIXED INCOME SOURCE ETFS
TDGB,VANECK VECTORS ETFS N.V. VANECK
PR1T,AMUNDI INDEX SOLUTIONS AM PRIME
JG15,JPMORGAN ETFS (IRELAND) ICAV BE
EMLB,PIMCO FIXED INCOME SOURCE ETFS
HMEF,HSBC ETFS PLC HSBC MSCI EMERGIN
HPEM,HSBC ETFS PLC HSBC MSCI EM PAB
REMX,VANECK VECTORS UCITS ETFS PLC V
IEQD,ISHARES IV PLC ISH EUROPE QUALI
JCST,JPMORGAN ETFS (IRELAND) ICAV JP
AT1D,INVESCO MARKETS II PLC INVESCO
EMLI,PIMCO FIXED INCOME SOURCE ETFS
XSTR,XTRACKERS II X GBP CASH SWAP
S400,INVESCO MARKETS PLC INVESCO JPX
COCB,WISDOMTREE ISSUER PLC  WT AT1 C
LQDE,ISHARES PLC ISHARES $ CORP.BOND
CESG,FIRST TRUST GLOBAL FUNDS PLC FT
TREI,INVESCO MARKETS II PLC IVZ US T
JPLG,JPMORGAN ETFS (IRELAND) ICAV JP
UHYG,LYXOR INDEX FUND LYX ETF BOFAML
JRXE,JPMORGAN ETFS (IRELAND) ICAV JP
EEIP,WISDOMTREE ISSUER PLC  WISDOMTR
TFRN,WISDOMTREE ISSUER PLC WT USD FL
JCSA,JPMORGAN ETFS (IRELAND) ICAV JP
CCDG,GLOBAL X ETFS II ICAV GLOBAL X
VDST,VANGUARD FUNDS PLC VANGUARD U.S
LCOP,WISDOMTREE COMMODITY SECURITIES
U127,AMUNDI ETF AMUNDI MSCI EMERGING
AUEG,AMUNDI INDEX SOLUTIONS AMUNDI M
JHYU,JPMORGAN ETFS (IRELAND) ICAV JP
INFG,MULTI UNITS LUXEMBOURG LYX ETF
IHHG,ISHARES II PLC ISH $ HY CORP BO
DHS,WISDOMTREE ISSUER PLC  WT US EQ
IWFQ,ISHARES IV PLC ISHS EDGE MSCI W
JCAU,JPMORGAN ETFS (IRELAND) ICAV JP
FOOD,RIZE UCITS ICAV RIZE SUS FUTURE
VFEG,VANGUARD FUNDS PLC VANGUARD FTS
TRIA,INVESCO MARKETS II PLC IVZ US T
SUES,ISHARES IV PLC ISHS MSCI EM SRI
GHYG,ISHARES PLC ISH GHY CORP BND GB
HMAD,HSBC ETFS PLC HSBC MSCI AC FAR
XBGG,XTRACKERS II X GLOBAL AGGREGATE
STHY,PIMCO FIXED INCOME SOURCE ETFS
SILG,GLOBAL X ETFS ICAV GLOBAL X SIL
XFFE,XTRACKERS II XTRACKERS II USD C
XZHS,DB-XTRACKERS X ESG USD HIGH YIE
UC68,UBS ETF UBS ETF - MSCI WORLD UC
EMSA,ISHARES II PLC ISH JPM ESG $EM
JGST,JPMORGAN ETFS (IRELAND) ICAV GB
USFR,WISDOMTREE ISSUER PLC WT USD FL
QUID,PIMCO FIXED INCOME SOURCE ETFS
IBTU,ISHARES PLC ISH $ TR BND 0-1YR
HIES,HSBC ETFS PLC HSBC MSCI EM ISLA
IEDL,ISHARES IV PLC ISH EUROPE VALUE
EMH5,SSGA SPDR ETFS EUROPE II PLC SP
TIGB,INVESCO MARKETS II PLC IVZ US T
VFEM,VANGUARD FUNDS PLC VANGUARD FTS
WVAL,SSGA SPDR ETFS EUROPE II PLC SP
JPSA,JPMORGAN ETFS (IRELAND) ICAV JP
ERNA,ISHARES IV PLC ISH $ ULTRASRT B
HIWS,HSBC ETFS PLC HSBC MSCI WORLD I
MVOL,ISHARES VI PLC ISHRS EDGE MSCI
SDHA,ISHARES IV PLC ISH $ ST DUR HY
HYGU,ISHARES PLC ISH EUR HY CRP BOND
S5EE,UBS (IRL) ETF PLC UBS ETF S&P 5
XZUD,XTRACKERS II X ESG GLOBAL GOV B
IEEM,ISHARES PLC ISHARES MSCI EM UCI
ESEM,INVESCO MARKETS II PLC IVZ MSCI
JREX,JPMORGAN ETFS (IRELAND) ICAV JP
AASU,AMUNDI INDEX SOLUTIONS AMUNDI M
BBIL,JPMORGAN ETFS (IRELAND) ICAV JP
XMEM,XTRACKERS X MSCI EMERGING MARKE
FLRG,FRANKLIN LIBERTYSHARES ICAV FRK
LEML,AMUNDI ETF LYXOR ETF MSCI EMERG
JRDM,JPMORGAN ETFS (IRELAND) ICAV JP
QDIV,ISHARES II PLC ISHRS MSCI USA Q
LUMV,OSSIAM IRL ICAV OSSIAM ETF US M
LEMA,MULTI UNITS LUXEMBOURG AMUNDI M
IMID,SSGA SPDR ETFS EUROPE I PLC SPD
MCUU,UBS AG UBS ETC (CMCI COPPER) US
EUCO,SSGA SPDR ETFS EUROPE I PLC SPD
IE15,ISHARES III PLC ISHARES EUR COR
CPRI,FRANKLIN LIBERTYSHARES ICAV FRK
UHYP,INVESCO MARKETS II PLC IVZ USD
XT0D,XTRACKERS(IE) PLC X US TREASURI
VJPB,VANGUARD FUNDS PLC VANGUARD FTS
APEX,MULTI UNITS LUXEMBOURG LY AC AS
HSEM,HSBC ETFS PLC HSBC EM SUSTAINAB
JGSA,JPMORGAN ETFS (IRELAND) ICAV JP
JR15,JPMORGAN ETFS (IRELAND) ICAV JP
HESS,HSBC ETFS PLC HSBC MSCI EM SC E
HFEX,HSBC ETFS PLC HSBC MSCI AC FAEX
CCBO,WISDOMTREE ISSUER PLC  WISDOMTR
BB3M,JPMORGAN ETFS (IRELAND) ICAV JP
USHY,LYXOR INDEX FUND LYX ETF BOFAML
IS15,ISHARES PLC ISHARES ￡ CORP BD
AEME,AMUNDI INDEX SOLUTIONS AMUNDI I
IDTP,ISHARES II PLC ISHARES USD TIPS
SMTC,LYXOR INDEX FUND LYXOR SMART CA
JRJE,JPMORGAN ETFS (IRELAND) ICAV JP
CSH2,LYXOR INDEX FUND LYXOR SMART CA
ZIN,ZINC MEDIA GROUP PLC ORD 0.125P
ZENB,ZENITH BANK PLC  GDR (EACH REPR
ZEG,ZEGONA COMMUNICATIONS PLC ORD
ZED,ZENOVA GROUP PLC ORD GBP0.001
ZCC,ZCCM INVESTMENTS HOLDINGS PLC '
ZAMZ,ZAMAZ PLC ORD GBP0.000264640675
ZAIM,ZAIM CREDIT SYSTEMS PLC ORD ￡0
YTT,永太科技
YGEN,YOURGENE HEALTH PLC ORD 0.1P
XSG,XEROS TECHNOLOGY GROUP PLC ORD
XMXD,XTRACKERS X MSCI EM EMEA SWAP
XGSG,XTRACKERS II X GLOBAL GOV BOND
XCOU,LYXOR ETF LYXOR GLOBAL GREEN BO
WWH,WORLDWIDE HEALTHCARE TRUST PLC
WTE,WESTMOUNT ENERGY LIMITED ORD NP
WSP,WYNNSTAY PROPERTIES PLC ORD 25P
WSL,WORLDSEC LD ORD USD0.001
WSG,WESTMINSTER GROUP PLC ORD 0.1P
WSBN,WISHBONE GOLD PLC ORD 0.1P (DI)
WRN,WORTHINGTON GROUP PLC ORD 10P
WPHO,WINDAR PHOTONICS PLC ORD 1P
WML,慧洋海运
WKOF,WEISS KOREA OPPORTUNITY FUND LT
WINK,M WINKWORTH PLC ORD 0.5P
WHI,W.H. IRELAND GROUP PLC ORD 5P
WGP,WORLDLINK GROUP PLC ORD GBP0.01
WEB,WEBIS HOLDINGS PLC ORD 1P
WCCA,WISDOMTREE WISDOMTREE CALIFORNI
WCAT,WILDCAT PETROLEUM PLC ORD GBP0.
WATR,WATER INTELLIGENCE PLC ORD 1P
WAND,WANDISCO PLC ORD 10P
VTU,VERTU MOTORS PLC ORD 10P
VTAS,VOLTA FINANCE LIMITED ORD NPV (
VTA,VOLTA FINANCE LIMITED ORD NPV
VRCI,VERICI DX PLC ORD GBP0.001
VOX,VOX VALOR CAPITAL LTD ORD 1P (D
VNET,VIANET GROUP PLC ORD 10P
VLG,VENTURE LIFE GROUP PLC ORD 0.3P
VLE,VOLVERE PLC ORD 0.00001P
VKCO,VK COMPANY LIMITED GDR (EACH RE
VINO,VIRGIN WINES UK PLC ORD GBP0.01
VELA,VELA TECHNOLOGIES PLC ORD 0.01P
VEL,VELOCITY COMPOSITES PLC ORD 0.2
VDTK,VERDITEK PLC ORD GBP0.0004
VCAP,VECTOR CAPITAL PLC ORD 0.5P
VARE,VARIOUS EATERIES PLC ORD 1P
VANQ,VANQUIS BANKING GROUP PLC ORD 2
VAL,VALIRX PLC ORD 0.1P
UTLH,UIL FINANCE LIMITED 2026 ZDP SH
UTL,UIL LIMITED ORD 10P (DI)
USY,优利系统
URU,URU METALS LIMITED ORD NPV (DI)
UPLL,UPL LIMITED GDR (EACH REPR 2 SH
UPL,UPLAND RESOURCES LIMITED ORD NP
UOS,UAE OIL SERVICES PLC ORD GBP1.0
UMR,UNICORN MINERAL RESOURCES PLC O
UKR,UKRPRODUCT GROUP LIMITED ORD 10
UKOG,英国油气投资
UBLS,UNITED BANK LIMITED GDR (EACH R
UBLA,UNITED BANK LIMITED GDR (EACH R
UB32,UBS ETF UBS ETF MSCI EMERGING M
TXP,TOUCHSTONE EXPLORATION INC COM
TWD,TRACKWISE DESIGNS PLC ORD 0.1P
TV2V,THAMES VENTURES VCT 2 PLC VENTU
TV2H,THAMES VENTURES VCT 2 PLC HEALT
TV2A,THAMES VENTURES VCT 2 PLC AIM S
TV1,THAMES VENTURES VCT 1 PLC ORD 1
TUNE,FOCUSRITE PLC ORD 0.1P
TUN,TUNGSTEN WEST PLC ORD GBP0.01
TST,TOUCHSTAR PLC ORD 5P
TSCO,乐购
TRU,TRUFIN PLC ORD 91P
TRT,TRANSENSE TECHNOLOGIES PLC ORD
TRST,TRUSTPILOT GROUP PLC ORD GBP0.0
TRLS,TRELLUS HEALTH PLC ORD GBP0.000
TRIN,TRINITY EXPLORATION & PRODUCTIO
TRB,TRIBAL GROUP PLC ORD 5P
TRAK,TRAKM8 HOLDINGS PLC ORD 1P
TRAF,TRAFALGAR PROPERTY GROUP PLC OR
TRAC,T4S IOT TRACKING SOLUTIONS PLC
TRA,TERTRE ROUGE ASSETS PLC ORD GBP
TR01,TEST STOCKS TEST STOCKS
TR00,TEST STOCKS TEST STOCKS
TPVE,TRIPLE POINT INCOME VCT PLC E O
TPON,TRIPLE POINT VCT 2011 PLC VENTU
TPFG,PROPERTY FRANCHISE GROUP PLC (T
TPCL,TATA POWER COMPANY LIMITED GDR
TOUR,HANATOUR SERVICE INC. GDR (5 GD
TORO,CHENAVARI TORO INCOME FUND LIMI
TORG,CHENAVARI TORO INCOME FUND LIMI
TOOP,TOOPLE PLC ORD 0.01P
TON,TITON HOLDINGS PLC ORD 10P
TOM,TOMCO ENERGY PLC ORD NPV
TNT,TINTRA PLC ORD 1P
TMTA,TMT ACQUISITION PLC ORD 4P
TM1,TECHNOLOGY MINERALS PLC ORD GBP
TLOU,TLOU ENERGY LIMITED ORD NPV (DI
TLEP,THOMASLLOYD ENERGY IMPACT TRUST
TLEI,THOMASLLOYD ENERGY IMPACT TRUST
TKO,TASEKO MINES LIMITED COM SHS NP
TIR,TIGER ROYALTIES AND INVESTMENTS
TIDE,CRIMSON TIDE PLC ORD 0.1P
TIBD,TURKIYE IS BANKASI A.S. GDR (EA
TIA,TIALIS ESSENTIAL IT PLC ORD 1P
THX,THOR EXPLORATIONS LTD COM SHS N
THR,THOR ENERGY PLC ORD 0.01P
THAL,THALASSA HOLDINGS LIMITED ORD S
TGBL,TATA GLOBAL BEVERAGES LD GDS (E
TGBA,TATA GLOBAL BEVERAGES LD GDS (E
TFGS,TETRAGON FINANCIAL GROUP LIMITE
TFG,TETRAGON FINANCIAL GROUP LIMITE
TERN,TERN PLC ORD 0.02P
