证券代码,证券名称
JCH,JPMORGAN CLAVERHOUSE INVESTMENT
0JOI,JACOBS SOLUTIONS INC JACOBS SOL
RAYG,GLOBAL X ETFS ICAV GLOBAL X SOL
XPPT,XTRACKERS ETC PUBLIC LIMITED CO
0RP6,ENEA ORD SHS
ABDP,AB DYNAMICS PLC ORD 1P
ASC,ASOS PLC ORD 3.5P
PRTC,PURETECH HEALTH PLC ORD 1P
NBMI,NB GLOBAL MONTHLY INCOME FUND L
CRW,CRANEWARE PLC ORD 1P
REC,RECORD PLC ORD 0.025P
WCBR,WISDOMTREE ISSUER ICAV WT CYBER
RAYZ,GLOBAL X ETFS ICAV GLOBAL X SOL
0HPH,BRIGHTHOUSE FINANCIAL ORD SHS
KWBP,KRANESHARES ICAV CSI CHINA INTE
MTO,MITIE GROUP PLC ORD 2.5P
BOXE,TRITAX EUROBOX PLC ORD EUR0.01
STCM,STEPPE CEMENT LTD ORD NPV
BLTG,BLANCCO TECHNOLOGY GROUP PLC OR
OTB,ON THE BEACH GROUP PLC ORD 1P
MMIT,MOBIUS INVESTMENT TRUST PLC ORD
SUD5,WISDOMTREE FOREIGN EXCHANGE LIM
0NUT,LEASINVEST REIT ORD SHS
TLW,图罗石油
GSCT,THE GLOBAL SMALLER COMPANIES TR
0KGS,PEGASYSTEMS ORD SHS
HSX,HISCOX LTD ORD 6.5P (DI)
SDR,SCHRODERS PLC ORD 20P
GCAT,CARACAL GOLD PLC ORD GBP0.001
BRNT,WISDOMTREE COMMODITY SECURITIES
JETS,HANETF ICAV U.S GLOBAL JETS UCI
ADMR,ADMIRAL ACQUISITION LIMITED ORD
CYBP,RIZE UCITS ICAV RIZE CYBER SEC
0JOD,JINHUI SHIPPING&TRANSPORTATION
0YE9,PROSHARES SHORT DOW30
TMIP,TAYLOR MARITIME INVESTMENTS LIM
CYN,CQS NATURAL RESOURCES GROWTH AN
WEIR,伟尔集团
SDY,SPEEDY HIRE PLC ORD 5P
MTW,MATTIOLI WOODS PLC ORD 1P
MGAM,摩根新材料
SNR,英国 Senior
HEAT,WISDOMTREE COMMODITY SECURITIES
TND,TANDEM GROUP PLC ORD 25P
C4XD,C4X DISCOVERY HOLDINGS PLC ORD
CRUP,WISDOMTREE WISDOMTREE WTI CRUDE
ENEF,WISDOMTREE COMMODITY SECURITIES
DIG,DUNEDIN INCOME GROWTH INVESTMEN
KWEB,KRANESHARES ICAV CSI CHINA INTE
TEK,TEKCAPITAL PLC ORD ￡0.004
OIL3,UBS AG UBS ETC (CMCI WTI 3M) US
AJOT,AVI JAPAN OPPORTUNITY TRUST PLC
SMIF,TWENTYFOUR SELECT MONTHLY INCOM
CGO,CONTANGO HOLDINGS PLC ORD 1P
0QTV,I A R SYSTEMS GROUP ORD SHS
BAB,巴布考克国际集团
ADIG,ABRDN DIVERSIFIED INCOME AND GR
JCTC,JPMORGAN ETFS (IRELAND) ICAV JP
CIBR,FIRST TRUST GLOBAL FUNDS PLC FI
0N9F,EINHELL GERMANY AG EINHELL GERM
FIPP,FRONTIER IP GROUP PLC ORD 10P
FLWG,RIZE UCITS ICAV RIZE MED CANNAB
GFRD,GALLIFORD TRY HOLDINGS PLC ORD
SREI,SCHRODER REAL ESTATE INVESTMENT
CTUK,CT UK CAPITAL & INCOME INVESTME
RESI,RESIDENTIAL SECURE INCOME PLC O
CYBO,VANECK VANECK BIONIC ENGINEERIN
IDHC,INTEGRATED DIAGNOSTICS HOLDINGS
CRUD,WISDOMTREE COMMODITY SECURITIES
JETP,HANETF ICAV U.S GLOBAL JETS UCI
TRYP,HANETF ICAV AIRLINE HOTEL CRUIS
CHTE,UBS UBS ETF SOL CHINA TECH
IOGP,ISHARES V PUBLIC LIMITED COMPAN
IHG,洲际酒店(UK)
PCRD,WISDOMTREE HDG COMMODITY SEC LD
AXS,ACCSYS TECHNOLOGIES PLC ORD EUR
TRIP,HANETF ICAV AIRLINE HOTEL CRUIS
