股票代码,股票简称,主营
000856.SZ,冀东装备,"装备制造业,土建安装,电气设备及备件,机械设备及备件,维修工程,矿山工程及恢复治理"
002352.SZ,顺丰控股,"速运物流及供应链,经济,商业销售,时效快递,销售商品,同城配,供应链,同城急送,供应链及国际,国际,冷运及医药,时效,快运,商品销售,物流及货运代理,经济快递"
300759.SZ,康龙化成,"科学研究和技术服务,CMC服务,大分子和细胞与基因治疗服务,CMC(小分子CDMO)服务,CMC,临床研究服务,实验室服务"
002043.SZ,兔宝宝,"科技木,装饰板材,定制家居,衣柜,互联网销售,品牌授权销售,木门,原木,装饰材料,科技木销售,地板,装饰材料销售,互联网,柜,林木销售,品牌使用费,成品家居,品牌授权费,家居成品销售,出口电商,胶粘剂"
601001.SH,晋控煤业,"高岭土及涂料,活性炭,高岭土,建材,多孔砖,煤炭,非煤"
600361.SH,华联综超,"非食品,商品零售,食品"
300917.SZ,特发服务,"综合物业服务,增值服务,综合物业管理服务,政务服务,租赁服务,物业管理服务"
603288.SH,海天味业,"酱,酱油,物流运输服务,食品制造业,原材料包装物及废渣,蚝油,调味酱"
600801.SH,华新水泥,"水泥销售,混凝土销售,熟料销售,骨料销售,水泥,混凝土,骨料,商品熟料"
688086.SH,*ST紫晶,"存储,光存储设备,基于光存储技术的智能分层存储及信息技术解决方案,信创"
000090.SZ,天健集团,",物业租赁,房地产,房地产销售,房地产业,棚改项目管理服务,房地产开发,建筑施工,物业租赁业,建筑施工业"
300573.SZ,兴齐眼药,"溶液剂,医疗服务,医药制造,滴眼剂,凝胶剂/眼膏剂,技术服务"
300625.SZ,三雄极光,"照明,照明控制,照明灯具"
605198.SH,德利股份,"浓缩苹果汁,果汁香精,果渣,饮料制造业,饲料,饲料制造业,浓缩梨汁,果渣制造业"
300618.SZ,寒锐钴业,"铜,有色金属冶炼及压延加工,钴"
603255.SH,鼎际得,"催化剂,抗氧剂单剂,复合助剂"
688188.SH,柏楚电子,"板卡系统,随动系统,工业自动化控制,总线系统"
300208.SZ,青岛中程,"代理服务,光伏设备集成,光伏,租赁设备,机械成套装备,物业服务,建造,咨询服务,EPC-服务,风电设备集成,风电,技术开发,输配电及控制设备,EPC-工程,原料销售,贸易,土地出租"
002306.SZ,中科云网,"餐饮服务,房屋租赁,租赁,餐饮,互联网游戏"
301058.SZ,中粮工科,"工程承包,设计咨询,机电工程系统交付,专业工程服务,房租,抵销,冷链物流,粮油加工,设备制造"
002802.SZ,洪汇新材,"化工助剂,水性乳液（树脂）,特种氯乙烯共聚,氯醋树脂,特种氯乙烯共聚物,服务"
002634.SZ,棒杰股份,"服务业,无缝服装,工业,物业及咨询服务,贸易"
300818.SZ,耐普矿机,"工程承包,选矿设备,专用设备制造业,矿用管道,矿用橡胶耐磨备件,工业设备耐磨衬里,制造业,矿用金属备件"
603216.SH,梦天家居,"墙板,门,木门,柜,家具制造业"
601636.SH,旗滨集团,"节能建筑玻璃,物流,玻璃生产加工,物流业,优质浮法玻璃原片"
000651.SZ,格力电器,"生活电器,绿色能源,工业制品,空调,智能装备,制造业"
002849.SZ,威星智能,"IC卡智能燃气,远传燃气表,软件,仪器仪表,IC卡智能燃气表,房屋租赁,计算机应用服务业仪器仪表,电子式燃气表,软件及信息技术服务"
002128.SZ,电投能源,"太阳能电力,煤电电热,煤电电热力,电力,新能源发电,电热力,风电电力,煤炭,有色金属冶炼,电解铝"
002612.SZ,朗姿股份,"女装裤子,医疗美容,婴童服装,手术医疗美容,女装外套,时尚女装,资产管理,绿色婴童,女装上衣,非手术医疗美容,女装裙子,婴童用品"
603399.SH,吉翔股份,"影视,电影,电视剧,钼金属,钼业,钼,艺人经纪,锂,钼炉料"
000963.SZ,华东医药,"商业,国际医美,抵消（分部间抵消）,医美,国内医美,制造业"
002939.SZ,长城证券,"财富管理,经纪,证券投资及交易,投资银行,资产管理"
002453.SZ,华软科技,"一,金融IT软件开发与服务,化学品销售及贸易,电子化学品,防护品,四,精细化学品,移动设备解决方案及服务,医药农药中间体,二,AKD造纸化学品,五,供应链管理,三,荧光增白剂,移动设备解决方案与服务"
688290.SH,景业智能,"非核专用智能装备,核工业智能装备,核工业领域,核工业机器人,非核工业领域"
600502.SH,安徽建工,"商品房销售,基础设施建设与投资,房地产,分部间抵销,房地产业,建筑施工,房屋建筑及安装,建筑施工业"
001236.SZ,弘业期货,",境外金融服务,期货经纪及金融资产投资,期货经纪及资产管理,大宗商品交易及风险管理,基金销售,风险管理,资产管理"
600106.SH,重庆路桥,"BOT项目,路桥,工程项目,工程管理,过桥项目"
000516.SZ,国际医学,"医疗业,商品流通业,软件和信息技术服务业"
600773.SH,西藏城投,"佘山和园,,海宸尊域二期,海宸尊域C--地块一期,和源名城一期,商场经营,海宸尊域·九龙居,房地产销售,和源福邸,上海存量项目,客房餐饮,临汾名城,静安广场,商品销售,海宸尊域一期"
301269.SZ,华大九天,"EDA软件销售,全流程EDA工具系统,硬件销售,数字电路设计EDA工具,技术开发服务,晶圆制造EDA工具,代理软件销售"
002142.SZ,宁波银行,"资金,公司,个人"
002575.SZ,群兴玩具,"房产销售,租金,酒,销售商品,自有物业租赁及创业园区运营服务,咨询服务,大数据项目开发建设,咨询,软件开发,酒销售,玩具,科创咨询,技术服务"
600230.SH,沧州大化,"聚碳酸酯(PC),甲苯二异氰酸酯,聚碳酸酯,离子膜烧碱,TDI,化工,甲苯二异氰酸酯(TDI),TDI及相关"
300768.SZ,迪普科技,"基础网络,运营商,公共事业,信息安全,网络安全,服务,应用交付,政府"
300003.SZ,乐普医疗,"药品,药品-制剂,核心心血管介入,药品-阿托伐他汀钙片,药品-硫酸氢氯吡格雷,支架系统,非心血管器械,医疗器械板块,药品-原料药,体外诊断,医疗器械,医疗服务及健康管理,药品制剂"
430489.BJ,佳先股份,"β二酮,硬脂酸盐,运费"
002762.SZ,金发拉比,"母婴棉制用品,婴童服饰,母婴消费品"
603970.SH,中农立华,"植保机械,自主销售模式下农药制剂及相关,联销模式下农药制剂及相关,农药制剂,农药分部,植保机械分部,农药原药,农药流通"
301219.SZ,腾远钴业,"铜,有色,钴"
603810.SH,丰山集团,"除草剂,中间体,杀虫剂,杀菌剂,农药"
