isin,euronext_code,stock_name,degiro_symbol,symbol,category,currency,exchangeId,exchange_degiro,exchange_mic_code,exchange_name,market,isShortable,feedQuality,feedQualitySecondary,icb_industry,name,description,logoid,type,close,Value.Traded,market_cap_basic,fundamental_currency_code,sector,industry,is_primary,exchange,country,currency_id,forex_rate,market_cap_USD,Traded_USD,turnover_rate,plate,证券代码,证券名称,en_description,dr_name,code,correct_industry,exchange_code,trade_currency,last_price,change,last_traded_at,close_price,trading_date
FR0004034320,FR0004034320-ALXP,Mr Bricolage,MRB,ALMRB,D,EUR,710,EPA,ALXP,Euronext Paris,france,False,R,,Home Improvement Retailers,ALMRB,MR BRICOLAGE,mr-bricolage-sa,stock,8.6,8402.2,97800730.92779,USD,Retail Trade,Specialty Stores,True,EURONEXT,France,EUR,1.11261,0.9780073092779,9.348371742e-05,0.0001,欧洲,,,MR BRICOLAGE,,,,,,,,,,
FR0013462231,FR0013462231-ALXP,Munic SA,ALMUN,ALMUN,D,EUR,710,EPA,ALXP,Euronext Paris,france,False,R,,Computer Services,ALMUN,MUNIC,,stock,2.98,101.32,29765143.31989,USD,Technology Services,Packaged Software,True,EURONEXT,France,EUR,1.11261,0.2976514331989,1.127296452e-06,0.0,欧洲,,,MUNIC,,,,,,,,,,
FR0013421286,FR0013421286-ALXP,Alpha MOS SA,ALM,ALNEO,D,EUR,710,EPA,ALXP,Euronext Paris,france,False,R,,Electronic Equipment: Control and Filter,ALNEO,ALPHA MOS,alpha-multi-organoleptic-sys,stock,1.809,206.226,20489842.64316,USD,Electronic Technology,Electronic Equipment/Instruments,True,EURONEXT,France,EUR,1.11261,0.2048984264316,2.2944910986000004e-06,0.0,欧洲,,,ALPHA MOS,,,,,,,,,,
FR0011636083,FR0011636083-ALXP,Neolife SA,ALNLF,ALNLF,D,EUR,710,EPA,ALXP,Euronext Paris,france,False,R,,Building Materials: Other,ALNLF,NEOLIFE,,stock,0.087,54870.204,9473762.65726,USD,Industrial Services,Engineering & Construction,True,EURONEXT,France,EUR,1.11261,0.0947376265726,0.0006104913767244,0.0064,欧洲,,,NEOLIFE,,,,,,,,,,
FR0000072993,FR0000072993-ALXP,Makheia Group,ALMAK,ALNMG,D,EUR,710,EPA,ALXP,Euronext Paris,france,False,R,,Media Agencies,ALNMG,NETMEDIA GROUP,makheia,stock,0.0675,1426.8825,23043503.02221,USD,Commercial Services,Miscellaneous Commercial Services,True,EURONEXT,France,EUR,1.11261,0.2304350302221,1.587563738325e-05,0.0001,欧洲,,,NETMEDIA GROUP,,,,,,,,,,
FR0014003J32,FR0014003J32-ALXP,NAMR,ALNMR,ALNMR,D,EUR,710,EPA,ALXP,Euronext Paris,france,False,R,,Computer Services,ALNMR,NAMR,,stock,1.5,751.5,6503489.4298,USD,Technology Services,Packaged Software,True,EURONEXT,France,EUR,1.11261,0.065034894298,8.361264150000001e-06,0.0001,欧洲,,,NAMR,,,,,,,,,,
FR0013330792,FR0013330792-ALXP,Enensys Technologies SA,ALNN6,ALNN6,D,EUR,710,EPA,ALXP,Euronext Paris,france,False,R,,Software,ALNN6,ENENSYS,enensys-technologies-sa,stock,1.16,14484.92,10471541.13863,USD,Electronic Technology,Telecommunications Equipment,True,EURONEXT,France,EUR,1.11261,0.1047154113863,0.000161160668412,0.0015,欧洲,,,ENENSYS,,,,,,,,,,
FR0010397232,FR0010397232-ALXP,Novacyt SA,ALNOV,ALNOV,D,EUR,710,EPA,ALXP,Euronext Paris,france,False,R,,Medical Equipment,ALNOV,NOVACYT,novacyt-s-a,stock,0.533,25970.425,41594693.31666,USD,Health Technology,Medical Specialties,True,EURONEXT,France,EUR,1.11261,0.4159469331666,0.0002889495455925,0.0007,欧洲,,,NOVACYT,,,,,,,,,,
FR0013399359,FR0013399359-ALXP,Energisme SAS,ALNRG,ALNRG,D,EUR,710,EPA,ALXP,Euronext Paris,france,False,R,,Software,ALNRG,ENERGISME,,stock,0.0496,13435.5984,1491953.41086,USD,Technology Services,Packaged Software,True,EURONEXT,France,EUR,1.11261,0.0149195341085999,0.0001494858113582,0.01,欧洲,,,ENERGISME,,,,,,,,,,
FR0000064529,FR0000064529-ALXP,NSC Groupe,NSGP,ALNSC,D,EUR,710,EPA,ALXP,Euronext Paris,france,False,R,,Machinery: Specialty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR0004065639,FR0004065639-ALXP,NSE,ALNSE,ALNSE,D,EUR,710,EPA,ALXP,Euronext Paris,france,False,R,,Defense,ALNSE,NSE,nse,stock,21.2,6953.6,70703289.8968,USD,Electronic Technology,Aerospace & Defense,True,EURONEXT,France,EUR,1.11261,0.7070328989679999,7.736644896000001e-05,0.0001,欧洲,,,NSE,,,,,,,,,,
FR0004154060,FR0004154060-ALXP,Netgem,NTG,ALNTG,D,EUR,710,EPA,ALXP,Euronext Paris,france,False,R,,Telecommunications Services,ALNTG,NETGEM,netgem-sa,stock,1.04,2449.2,37942002.25167001,USD,Technology Services,Packaged Software,True,EURONEXT,France,EUR,1.11261,0.3794200225167001,2.7250044120000003e-05,0.0001,欧洲,,,NETGEM,,,,,,,,,,
FR0004171346,FR0004171346-ALXP,Nextedia,ALNXT,ALNXT,D,EUR,710,EPA,ALXP,Euronext Paris,france,False,R,,Media Agencies,ALNXT,NEXTEDIA,nextedia,stock,0.642,7509.474,28054283.10366,USD,Commercial Services,Advertising/Marketing Services,True,EURONEXT,France,EUR,1.11261,0.2805428310366,8.355115867140001e-05,0.0003,欧洲,,,NEXTEDIA,,,,,,,,,,
FR0010220475,FR0010220475-XPAR,Alstom,ALO,ALO,B,EUR,710,EPA,XPAR,Euronext Paris,france,True,R,,Electrical Components,ALO,阿尔斯通,alstom,stock,27.34,1890615.68,11593111878.79042,USD,Producer Manufacturing,Trucks/Construction/Farm Machinery,True,EURONEXT,France,EUR,1.11261,115.9311187879042,0.021035179117248,0.0002,欧洲,ALO,阿尔斯通,ALSTOM,,,,XPAR,EUR,27.33,0.22,11:19 CEST21 Jul 2023,27.27,20 Jul 2023
FR0010330613,FR0010330613-ALXP,Ober,ALOBR,ALOBR,D,EUR,710,EPA,ALXP,Euronext Paris,france,False,R,,Forestry,ALOBR,OBER,,stock,11.6,6809.2,18617586.98954,USD,Producer Manufacturing,Building Products,True,EURONEXT,France,EUR,1.11261,0.1861758698954,7.575984012e-05,0.0004,欧洲,,,OBER,,,,,,,,,,
FR0013439627,FR0013439627-ALXP,GROUPE OKWIND,ALOKW,ALOKW,D,EUR,710,EPA,ALXP,Euronext Paris,france,False,R,,Alternative Electricity,ALOKW,GROUPE OKWIND,,stock,25.0,90900.0,232797574.24,USD,Utilities,Alternative Power Generation,True,EURONEXT,France,EUR,1.11261,2.3279757424,0.00101136249,0.0004,欧洲,,,GROUPE OKWIND,,,,,,,,,,
FR0000061244,FR0000061244-ALXP,Mecelec,MCLC,ALORA,D,EUR,710,EPA,ALXP,Euronext Paris,france,False,R,,Diversified Industrials,ALORA,ALTHEORA,altheora-sa,stock,0.59,500.32,8824533.70414,USD,Process Industries,Chemicals: Specialty,True,EURONEXT,France,EUR,1.11261,0.0882453370414,5.5666103520000005e-06,0.0001,欧洲,,,ALTHEORA,,,,,,,,,,
FR0013318052,FR0013318052-ALXP,Ordissimo SA,ALORD,ALORD,D,EUR,710,EPA,ALXP,Euronext Paris,france,False,R,,Computer Hardware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR0013231180,FR0013231180-ALXP,Osmozis SAS,ALOSM,ALOSM,D,EUR,710,EPA,ALXP,Euronext Paris,france,False,R,,Telecommunications Services,ALOSM,OSMOZIS,osmozis-sas,stock,10.3,638.6,33277173.23293,USD,Communications,Specialty Telecommunications,True,EURONEXT,France,EUR,1.11261,0.3327717323293,7.105127460000001e-06,0.0,欧洲,,,OSMOZIS,,,,,,,,,,
