stock-id,name,trading-status,industry,business,child-business,market-cap,update-date,一级行业,二级行业,三级行业,证券名称,证券代码,总市值,asset_subtype,sym,mktcap,ls,am,ric,product_subtype,am_u,yld,pc,pe,nc,ccy,nm,mktcap_u,suspend,涨跌幅,最新价
00041,鷹君,N,地產建築,地產,地產投資,10856942969.4,2023-07-18T18:15:50,地产建筑,地产,地产投资,鹰君,00041.HK,108.6,ODSH,41,10.85,14.520,,0041.HK,,,5.72,0.00,,0.000,HKD,鷹君,B,,0.0,14.520
00042,東北電氣,N,工業,工業工程,工業零件及器材,60876200.0,2023-07-18T18:15:50,工业,工业工程,工业零件及器材,东北电气,00042.HK,0.6,ODSH,42,60.87,0.236,,0042.HK,,,,0.00,,0.000,HKD,東北電氣,M,,0.0,0.236
00045,大酒店,N,非必需性消費,旅遊及休閒設施,酒店及度假村,11331612995.22,2023-07-18T18:15:50,非必需性消费,旅游及休闲设施,酒店及度假村,大酒店,00045.HK,113.3,ODSH,45,11.33,6.870,,0045.HK,,,,0.00,,0.000,HKD,大酒店,B,,0.0,6.870
00046,科聯系統,N,資訊科技,軟件服務,系統開發及顧問,573823283.2,2023-07-18T18:15:50,科技,软件服务,系统开发及顾问,科联系统,00046.HK,5.7,ODSH,46,573.82,2.300,,0046.HK,,,8.26,0.00,12.09,0.000,HKD,科聯系統,M,,0.0,2.300
00048,中國汽車內飾,N,非必需性消費,汽車,汽車零件,45529927.04,2023-07-18T18:15:50,非必需性消费,汽车,汽车零件,中国汽车内饰,00048.HK,0.5,ODSH,48,45.52,0.260,,0048.HK,,,,0.00,,0.000,HKD,中國汽車內飾,M,,0.0,0.260
00050,香港小輪,N,地產建築,地產,地產發展商,1877563363.41,2023-07-18T18:15:50,地产建筑,地产,地产发展商,香港小轮,00050.HK,18.8,ODSH,50,1.87,5.270,,0050.HK,,,23.72,0.00,1.45,0.000,HKD,香港小輪（集團）,B,,0.0,5.270
00051,海港企業,N,非必需性消費,旅遊及休閒設施,酒店及度假村,5124262500.0,2023-07-18T18:15:50,非必需性消费,旅游及休闲设施,酒店及度假村,海港企业,00051.HK,51.2,ODSH,51,5.12,7.230,,0051.HK,,,,0.00,,0.000,HKD,海港企業,B,,0.0,7.230
00052,大快活集團,N,非必需性消費,旅遊及休閒設施,餐飲,1425080580.0,2023-07-18T18:15:50,非必需性消费,旅游及休闲设施,餐饮,大快活集团,00052.HK,14.3,ODSH,52,1.42,11.000,,0052.HK,,,5.73,0.00,31.76,0.000,HKD,大快活集團,B,,0.0,11.000
00053,國浩集團,N,地產建築,地產,地產發展商,19479841281.6,2023-07-18T18:15:50,地产建筑,地产,地产发展商,国浩集团,00053.HK,194.8,ODSH,53,19.47,59.200,,0053.HK,,,3.38,0.00,9.82,0.000,HKD,國浩集團,B,,0.0,59.200
00055,中星集團控股,N,工業,工業支援,印刷及包裝,74741039.52,2023-07-18T18:15:50,工业,工业支援,印刷及包装,中星集团控股,00055.HK,0.7,ODSH,55,74.74,0.295,,0055.HK,,,,0.00,,0.000,HKD,中星集團控股,M,,0.0,0.295
00057,震雄集團,N,工業,工業工程,工業零件及器材,1027766508.0,2023-07-18T18:15:50,工业,工业工程,工业零件及器材,震雄集团,00057.HK,10.3,ODSH,57,1.02,1.630,,0057.HK,,,7.24,0.00,7.89,0.000,HKD,震雄集團,B,,0.0,1.630
00058,新威國際,N,地產建築,建築,建築材料,14368000.0,2023-07-18T18:15:50,地产建筑,建筑,建筑材料,新威国际,00058.HK,0.1,ODSH,58,14.36,0.080,,0058.HK,,,,0.00,,0.000,HKD,新威國際,M,,0.0,0.080
00059,天譽置業,N,地產建築,地產,地產發展商,135141301.84,2023-07-18T18:15:50,地产建筑,地产,地产发展商,天誉置业,00059.HK,1.4,ODSH,59,135.14,0.016,,0059.HK,,,,0.00,,0.000,HKD,天譽置業,M,,0.0,0.016
00060,香港食品投資,N,必需性消費,食品飲料,包裝食品,176518480.0,2023-07-18T18:15:50,必需性消费,食品饮料,包装食品,香港食品投资,00060.HK,1.8,ODSH,60,176.51,0.680,,0060.HK,,,,0.00,170.00,0.000,HKD,香港食品投資,M,,0.0,0.680
00061,綠領控股,N,能源,煤炭,煤炭,42100832.32,2023-07-18T18:15:50,能源,煤炭,煤炭,绿领控股,00061.HK,0.4,ODSH,61,42.10,0.080,,0061.HK,,,,0.00,,0.000,HKD,綠領控股,M,,0.0,0.080
00062,載通,N,非必需性消費,旅遊及休閒設施,公共運輸,5044434489.36,2023-07-18T18:15:50,非必需性消费,旅游及休闲设施,公共运输,载通,00062.HK,50.4,ODSH,62,5.04,10.360,,0062.HK,,,4.83,0.00,33.92,0.000,HKD,載通,B,,0.0,10.360
00063,中亞烯谷集團,N,地產建築,地產,地產投資,459513639.692,2023-07-18T18:15:50,地产建筑,地产,地产投资,中亚烯谷集团,00063.HK,4.6,ODSH,63,459.51,0.163,,0063.HK,,,,0.00,,0.000,HKD,中亞烯谷集團,M,,0.0,0.163
00064,結好控股,N,金融,其他金融,證券及經紀,1420417772.886,2023-07-18T18:15:50,金融,其他金融,证券及经纪,结好控股,00064.HK,14.2,ODSH,64,1.42,0.147,,0064.HK,,,6.80,0.00,7.74,0.000,HKD,結好控股,B,,0.0,0.147
00065,弘海高新資源,N,能源,煤炭,煤炭,689390866.4,2023-07-18T18:15:50,能源,煤炭,煤炭,弘海高新资源,00065.HK,6.9,ODSH,65,689.39,0.400,,0065.HK,,,,0.00,58.82,0.000,HKD,弘海高新資源,M,,0.0,0.400
