证券代码,股票简称,流通市值,PE,扣非PE,PB,扣非ROE,ROE,ROA,股息率,分红比例,扣非净利润增速,营收增速,资产负债率,现金,扣非PEG,扣非市赚率,市赚率,财务健康度
600196.SH,复星医药,541.27,20.28,33.26,1.42,3.3,5.3,4.01,,0.0,-14.32,2.02,48.52,0.21,16.48,20.15,7.65,0.26
600658.SH,电子城,55.71,-11.09,-3.69,1.0,-7.13,-6.7,-1.12,,0.0,18.83,30.59,64.92,0.21,扣非亏损,扣非亏损,亏损,-0.79
002821.SZ,凯莱英,314.81,33.59,39.2,2.07,4.26,4.63,4.2,,0.0,9.74,23.85,12.35,0.21,1.64,18.41,14.51,0.27
300439.SZ,美康生物,29.82,48.57,67.27,1.33,1.06,2.05,1.4,,0.0,-83.86,-7.1,19.34,0.21,-9.48,127.09,47.38,0.22
301587.SZ,中瑞股份,18.34,109.79,116.11,1.84,0.97,1.24,0.59,0.58,0.0,-62.83,0.17,14.08,0.21,668.86,240.15,177.07,0.22
002824.SZ,和胜股份,37.79,46.5,53.85,2.76,4.62,5.62,2.81,,0.0,92.65,12.01,53.05,0.21,4.48,23.3,16.55,0.25
301186.SZ,超达装备,37.14,26.96,31.43,2.49,7.04,7.2,4.52,0.51,32.47,42.85,18.13,29.91,0.21,1.73,4.46,3.74,0.44
920819.BJ,颖泰生物,48.22,-380.1,-11.58,0.96,-0.76,-0.19,1.07,,0.0,82.0,-6.28,56.1,0.21,扣非亏损,扣非亏损,亏损,-0.79
001359.SZ,平安电工,34.55,51.59,56.59,7.0,10.1,10.55,9.59,,0.0,26.01,6.73,16.52,0.21,8.41,11.21,9.78,0.3
605098.SH,行动教育,66.45,23.2,25.96,6.89,20.82,21.17,10.7,3.59,90.91,8.04,15.61,55.37,0.21,1.66,1.25,1.1,1.01
600566.SH,济川药业,243.61,17.93,17.14,1.77,6.02,7.12,6.89,,0.0,-49.43,2.75,16.18,0.21,6.23,5.69,5.04,0.39
688426.SH,康为世纪,8.75,-25.22,-15.54,1.84,-6.58,-5.35,-5.15,,0.0,14.32,-13.19,9.14,0.21,扣非亏损,扣非亏损,亏损,-0.79
301303.SZ,真兰仪表,16.53,19.93,24.86,1.97,5.97,7.5,6.57,0.66,27.78,22.23,12.2,25.05,0.21,2.04,4.16,2.66,0.45
600618.SH,氯碱化工,112.18,21.18,21.84,1.91,6.88,6.92,5.04,,0.0,1.49,7.44,34.38,0.21,2.94,6.35,6.12,0.37
688707.SH,振华新材,74.02,-16.68,-13.76,1.81,-8.0,-7.83,-4.94,,0.0,-1.04,10.18,40.13,0.21,扣非亏损,扣非亏损,亏损,-0.79
301370.SZ,国科恒泰,36.16,58.53,68.38,2.1,2.32,2.67,1.75,,0.0,-40.96,8.2,59.5,0.21,8.34,59.04,43.84,0.23
002041.SZ,登海种业,99.7,138.5,-383.17,2.75,-0.12,1.5,0.92,,0.0,-131.29,5.92,22.0,0.21,扣非亏损,扣非亏损,184.66,-0.79
002367.SZ,康力电梯,64.84,15.21,18.88,1.8,8.04,8.94,4.74,,0.0,12.39,-7.18,51.39,0.21,-2.63,4.7,3.4,0.42
601512.SH,中新集团,139.1,12.57,20.36,0.92,5.24,5.62,3.84,,0.0,17.96,-9.47,43.81,0.21,-2.15,7.77,4.47,0.34
603551.SH,奥普科技,49.48,20.39,17.5,3.65,12.65,12.74,8.92,2.59,85.71,2.82,-3.0,33.93,0.21,-5.83,1.38,1.6,0.93
000088.SZ,盐田港,146.44,16.86,19.48,1.33,5.95,5.94,4.49,1.98,67.69,6.83,6.05,18.42,0.21,3.22,3.27,2.84,0.51
600731.SH,湖南海利,42.58,16.62,20.65,1.39,4.78,6.14,5.18,,0.0,-18.35,-2.07,25.8,0.21,-10.0,8.64,5.41,0.33
603897.SH,长城科技,65.38,22.81,25.32,2.72,8.34,8.66,4.33,1.1,44.78,12.52,7.06,64.96,0.21,3.59,3.04,2.63,0.54
920027.BJ,交大铁发,8.74,118.84,32.29,3.88,2.7,3.13,1.68,0.56,57.14,-11.65,18.0,44.77,0.21,1.79,11.94,37.97,0.29
600699.SH,均胜电子,344.73,26.41,26.97,2.75,8.05,7.91,4.03,,0.0,19.22,7.06,69.22,0.21,3.82,6.7,6.68,0.36
301190.SZ,善水科技,38.93,46.71,67.22,2.68,4.3,4.37,3.71,,0.0,26.67,-0.64,16.19,0.21,-104.41,31.26,21.38,0.24
002928.SZ,华夏航空,119.0,14.4,30.77,2.98,15.39,16.89,5.04,,0.0,94.3,30.51,83.16,0.21,1.01,4.0,1.71,0.46
301503.SZ,智迪科技,12.37,29.64,24.68,2.86,7.11,7.1,5.07,0.83,46.88,13.68,9.42,38.52,0.21,2.62,3.47,4.18,0.5
688080.SH,映翰通,42.2,30.86,29.43,3.76,9.07,9.43,9.84,,0.0,26.79,12.52,17.07,0.21,2.35,6.49,6.55,0.36
603285.SH,键邦股份,22.04,39.71,47.72,3.38,5.88,6.52,6.76,,0.0,-23.17,-12.85,7.81,0.21,-3.71,16.24,12.18,0.27
600517.SH,国网英大,411.73,13.83,17.78,1.78,9.88,9.95,8.07,0.7,20.9,53.62,9.7,44.03,0.21,1.83,1.8,1.39,0.76
300462.SZ,ST华铭,18.34,-473.58,115.4,1.68,-0.05,-0.26,0.14,,0.0,98.77,1.87,29.32,0.21,61.64,困境反转,亏损,0.21
300246.SZ,宝莱特,31.36,-353.05,-41.51,3.39,-2.4,-0.69,0.28,0.62,0.0,6.24,-0.61,49.09,0.21,扣非亏损,扣非亏损,亏损,-0.79
000705.SZ,浙江震元,25.86,40.99,160.0,1.52,1.44,2.82,1.96,,0.0,-21.76,1.64,33.43,0.21,97.57,222.58,29.07,0.21
920132.BJ,泰鹏智能,4.59,107.36,95.53,5.28,3.69,3.71,2.43,,0.0,15.44,-12.81,35.79,0.21,-7.46,51.82,57.87,0.23
301280.SZ,珠城科技,22.55,35.79,45.95,4.12,6.5,8.8,7.12,,0.0,-6.29,15.88,31.25,0.21,2.89,14.13,8.13,0.28
301251.SZ,威尔高,37.58,100.74,126.02,5.98,4.45,4.54,2.74,,0.0,76.39,6.55,45.2,0.21,19.24,56.62,44.38,0.22
001218.SZ,丽臣实业,24.34,25.45,27.13,1.5,4.19,4.5,3.2,,0.0,32.93,9.93,26.07,0.21,2.73,12.96,11.31,0.28
600483.SH,福能股份,306.93,11.57,10.38,1.17,7.54,7.72,6.04,0.77,15.21,11.4,6.51,38.26,0.21,1.6,1.38,1.5,0.93
002204.SZ,大连重工,140.41,21.5,32.42,1.81,4.97,6.5,2.07,,0.0,33.37,16.19,70.96,0.21,2.0,13.04,6.62,0.28
603107.SH,上海汽配,32.62,28.0,25.46,2.38,6.98,6.42,5.79,,0.0,25.89,15.64,21.69,0.21,1.63,7.29,8.72,0.34
920578.BJ,巨能股份,4.71,571.05,1915.8,5.84,-0.86,0.77,0.77,,0.0,82.19,8.9,30.3,0.21,215.26,-4445.53,1483.25,0.21
000519.SZ,中兵红箭,254.56,-324.58,-72.44,2.49,-0.68,-0.58,-0.59,,0.0,-5.92,-14.95,40.76,0.21,扣非亏损,扣非亏损,亏损,-0.79
000885.SZ,城发环境,93.1,7.65,8.34,1.02,9.89,10.34,5.14,,0.0,2.08,5.51,68.4,0.21,1.51,1.69,1.48,0.8
603187.SH,海容冷链,62.75,15.82,17.43,1.5,6.91,7.14,6.3,1.91,0.0,18.23,2.6,25.82,0.2,6.71,5.04,4.43,0.4
603768.SH,常青股份,27.77,-30.61,-40.8,1.18,-3.06,-2.84,-0.45,,0.0,-222.86,4.25,62.44,0.2,扣非亏损,扣非亏损,亏损,-0.8
002127.SZ,南极电商,60.04,129.5,-23.32,1.77,0.1,1.02,0.89,,0.0,-87.76,-2.93,13.85,0.2,扣非亏损,危险信号,253.93,0.2
002010.SZ,传化智联,173.97,20.54,74.72,0.96,2.14,3.57,3.07,0.86,27.13,12.92,-8.41,50.24,0.2,-8.88,34.86,5.75,0.23
300970.SZ,华绿生物,23.57,139.45,938.75,1.98,1.03,1.08,0.96,,0.0,142.91,22.05,33.93,0.2,42.56,1826.9,258.25,0.21
002236.SZ,大华股份,382.35,12.6,22.48,1.55,6.89,9.55,6.82,0.98,0.0,13.04,-0.54,25.16,0.2,-41.58,6.53,2.64,0.36
301157.SZ,华塑科技,11.82,135.27,143.91,3.14,1.03,1.74,1.6,,0.0,-17.86,5.89,12.18,0.2,24.44,279.2,155.48,0.21
603153.SH,上海建科,68.24,48.66,32.8,1.88,1.08,2.85,2.51,,0.0,30.75,6.6,30.71,0.2,4.97,60.46,34.15,0.22
000869.SZ,张裕A,90.61,52.34,121.78,1.25,1.6,1.77,2.11,,0.0,-12.3,-4.74,12.78,0.2,-25.67,152.4,59.14,0.21
301566.SZ,达利凯普,45.94,52.59,61.64,6.16,8.58,9.02,9.25,0.15,13.64,36.51,0.19,4.88,0.2,318.88,7.18,5.83,0.34
603391.SH,力聚热能,17.11,91.17,38.36,3.27,1.66,2.68,2.01,,0.0,-51.75,11.6,36.41,0.2,3.31,46.15,68.04,0.23
603883.SH,老百姓,108.6,15.41,28.31,1.6,7.39,7.83,4.31,0.95,0.0,-18.55,13.13,64.57,0.2,2.16,7.66,3.94,0.33
603569.SH,长久物流,43.51,67.3,132.64,1.45,0.36,1.62,1.82,4.05,1550.0,-83.62,-2.06,45.8,0.2,-64.44,370.51,41.54,0.21
603109.SH,神驰机电,51.9,23.08,24.53,2.61,7.99,8.62,4.83,,0.0,19.15,2.43,45.55,0.2,10.11,6.14,5.36,0.37
600100.SH,同方股份,299.85,68.27,-153.39,1.86,1.2,1.99,0.89,,0.0,157.36,-12.29,58.44,0.2,扣非亏损,危险信号,68.61,0.2
603126.SH,中材节能,48.6,2304.8,-140.09,2.38,-0.22,0.08,0.06,,0.0,-126.21,-6.49,55.72,0.2,扣非亏损,扣非亏损,57620.07,-0.8
002752.SZ,昇兴股份,61.15,21.18,22.11,1.77,5.72,6.25,3.29,,0.0,-39.98,7.29,57.93,0.2,3.03,7.74,6.78,0.33
002264.SZ,新华都,58.73,27.22,32.04,3.24,8.14,9.09,5.59,1.13,47.62,-17.54,-5.44,41.95,0.2,-5.89,3.94,2.99,0.46
000089.SZ,深圳机场,147.04,23.56,28.9,1.27,3.51,4.07,3.47,,0.0,62.31,16.84,51.85,0.2,1.72,16.45,11.58,0.26
600480.SH,凌云股份,129.69,16.78,21.36,1.69,6.61,7.6,4.41,0.81,27.78,16.37,6.25,50.18,0.2,3.42,3.23,2.21,0.51
300978.SZ,东箭科技,23.27,29.57,35.86,3.13,7.52,7.85,6.28,0.8,25.2,-8.67,10.26,36.54,0.2,3.49,4.77,3.77,0.41
600239.SH,云南城投,36.93,-78.64,-15.45,2.88,-8.74,-2.71,1.62,,0.0,-102.3,-27.56,80.34,0.2,扣非亏损,扣非亏损,亏损,-0.8
688006.SH,杭可科技,169.33,32.94,51.07,3.09,6.78,7.15,2.98,0.23,13.75,6.08,9.58,44.38,0.2,5.33,7.53,4.61,0.34
002773.SZ,康弘药业,188.67,18.38,20.27,2.76,11.49,11.55,12.15,,0.0,6.74,7.76,7.29,0.2,2.61,3.53,3.18,0.49
600730.SH,中国高科,54.27,-295.79,-400.72,3.03,-0.74,-0.76,-1.41,,0.0,-237.66,13.47,11.42,0.2,扣非亏损,扣非亏损,亏损,-0.8
603230.SH,内蒙新华,41.75,15.54,21.09,1.49,6.21,7.21,4.28,,0.0,-27.86,4.52,40.65,0.2,4.67,6.79,4.31,0.35
605567.SH,春雪食品,23.38,51.77,65.9,2.14,2.89,3.11,2.41,,0.0,3379.75,8.23,51.7,0.2,8.01,45.6,33.29,0.22
301218.SZ,华是科技,26.65,-169.36,-338.05,4.73,-2.68,-2.07,-2.05,,0.0,-135.25,-0.6,41.98,0.2,扣非亏损,扣非亏损,亏损,-0.8
600269.SH,赣粤高速,116.77,5.38,10.65,0.59,4.86,8.44,6.56,,0.0,1.64,-1.38,43.06,0.2,-7.71,4.38,1.27,0.43
002593.SZ,日上集团,31.91,44.04,50.31,1.9,3.01,3.22,2.55,,0.0,331.66,-5.32,48.32,0.2,-9.46,33.37,27.36,0.23
000881.SZ,中广核技,76.37,-58.84,-18.7,1.53,-2.44,-1.95,-0.6,,0.0,40.21,-8.2,44.49,0.2,扣非亏损,扣非亏损,亏损,-0.8
600208.SH,衢州发展,297.78,41.28,-1007.03,0.72,2.29,1.3,1.77,,0.0,-65.1,1.86,56.66,0.2,扣非亏损,危险信号,63.51,0.2
600635.SH,大众公用,151.9,26.75,50.81,2.04,3.51,5.9,3.65,,0.0,104.79,4.96,54.06,0.2,10.25,28.93,9.07,0.24
603329.SH,上海雅仕,23.07,81.13,150.22,2.52,0.82,2.32,2.87,,0.0,-60.14,33.46,61.53,0.2,4.49,364.58,69.94,0.2
688646.SH,ST逸飞,30.02,-460.26,-91.71,3.29,-1.73,-0.56,-0.32,,0.0,-172.84,21.5,47.9,0.2,扣非亏损,扣非亏损,亏损,-0.8
002056.SZ,横店东磁,419.91,21.7,18.66,4.1,14.42,13.95,7.46,1.95,59.38,65.64,16.57,57.97,0.2,1.13,1.29,1.56,0.97
600613.SH,神奇制药,30.39,50.49,54.92,1.45,2.04,2.14,2.15,,0.0,-16.48,-3.59,21.93,0.2,-15.31,53.73,47.18,0.22
000599.SZ,青岛双星,55.29,-15.91,-12.05,4.2,-20.59,-17.91,-1.5,,0.0,-43.6,3.93,84.25,0.2,扣非亏损,扣非亏损,亏损,-0.8
002109.SZ,兴化股份,66.11,-11.71,-13.77,1.62,-9.56,-9.87,-5.16,,0.0,-36.37,12.12,54.65,0.2,扣非亏损,扣非亏损,亏损,-0.8
002833.SZ,弘亚数控,53.44,17.36,21.04,2.74,10.28,11.52,9.45,1.83,52.63,-30.48,5.42,27.73,0.2,3.88,2.05,1.51,0.69
002541.SZ,鸿路钢构,112.82,23.71,32.4,1.64,3.69,5.08,3.33,,0.0,0.78,3.9,64.65,0.2,8.31,17.56,9.34,0.26
000758.SZ,中色股份,147.82,23.22,41.85,2.5,5.17,8.23,3.28,,0.0,-0.24,11.7,59.28,0.2,3.58,16.19,5.64,0.26
601956.SH,东贝集团,43.2,31.05,44.69,1.7,2.82,4.12,1.85,,0.0,1.91,1.47,62.19,0.2,30.45,31.75,15.07,0.23
002893.SZ,京能热力,23.34,39.35,32.45,2.49,5.21,4.82,3.23,,0.0,47.33,2.14,45.58,0.2,15.14,12.47,16.33,0.28
001390.SZ,古麒绒材,11.4,24.67,,2.87,10.86,14.1,8.31,,0.0,,17.62,26.1,0.2,,,3.5,0.49
002234.SZ,民和股份,28.18,-10.62,-11.73,1.8,-12.52,-11.98,-5.32,,0.0,-6.58,7.89,51.73,0.2,扣非亏损,扣非亏损,亏损,-0.8
000568.SZ,泸州老窖,1586.9,11.06,12.62,3.2,22.13,22.0,21.22,1.17,0.0,-7.11,15.08,23.93,0.2,0.84,1.14,1.01,1.08
600444.SH,国机通用,27.63,57.67,66.82,3.79,5.06,5.0,2.16,,0.0,5.39,-3.04,51.09,0.2,-21.99,26.4,23.07,0.24
002404.SZ,嘉欣丝绸,32.0,19.38,30.26,1.99,6.72,7.7,5.88,,0.0,-3.5,7.52,41.5,0.2,4.03,9.01,5.03,0.31
600825.SH,新华传媒,64.16,381.86,-116.63,2.62,-1.19,0.51,0.2,,0.0,-92.6,3.81,36.73,0.2,扣非亏损,扣非亏损,1497.49,-0.8
688352.SH,颀中科技,49.58,65.48,68.89,2.68,2.95,3.04,2.94,0.4,62.5,-19.43,14.57,17.51,0.2,4.73,23.32,21.54,0.24
300374.SZ,中铁装配,29.9,-54.28,-57.6,4.63,-7.68,-6.22,-0.77,,0.0,15.36,71.0,81.05,0.2,扣非亏损,扣非亏损,亏损,-0.8
000912.SZ,泸天化,94.39,3850.68,-95.92,1.5,-0.62,0.03,0.13,,0.0,-3576.96,-8.09,33.27,0.2,扣非亏损,扣非亏损,256711.75,-0.8
600643.SH,爱建集团,73.32,29.34,-8.62,0.61,0.04,1.58,1.22,,0.0,-98.2,-12.49,50.05,0.2,扣非亏损,危险信号,37.14,0.2
002304.SZ,洋河股份,771.73,14.56,35.16,1.59,7.5,8.06,8.36,,0.0,-55.26,5.32,18.22,0.2,6.61,9.37,3.61,0.31
603466.SH,风语筑,59.48,84.65,276.31,2.82,1.67,2.41,1.45,,0.0,135.96,-14.83,53.56,0.2,-18.64,329.98,70.25,0.2
603175.SH,超颖电子,35.27,124.17,159.55,16.88,9.67,10.79,4.07,,0.0,-17.78,3.23,72.42,0.2,49.33,33.02,23.02,0.23
300095.SZ,华伍股份,35.19,79.44,-15.48,2.61,2.19,2.44,2.12,,0.0,116.52,-5.51,45.48,0.2,扣非亏损,危险信号,65.12,0.13
300355.SZ,蒙草生态,56.97,67.48,-1040.63,1.56,0.7,1.74,0.85,,0.0,605.38,-8.39,67.24,0.2,扣非亏损,危险信号,77.56,0.2
600137.SH,浪莎股份,22.22,85.05,84.42,4.1,3.7,3.65,1.84,,0.0,33.82,-0.74,20.46,0.2,-114.83,45.66,46.6,0.22
002695.SZ,煌上煌,52.32,42.5,87.45,2.04,3.18,3.65,3.39,,0.0,38.87,-9.2,24.08,0.2,-9.51,54.96,23.29,0.22
300006.SZ,莱美药业,52.58,-85.89,-47.12,2.86,-2.61,-2.48,-1.99,,0.0,13.05,-12.57,32.95,0.2,扣非亏损,扣非亏损,亏损,-0.8
002011.SZ,盾安环境,141.24,13.98,13.81,2.26,12.43,12.98,7.26,,0.0,17.29,8.67,46.22,0.2,1.59,2.22,2.15,0.65
688172.SH,燕东微,315.77,-3240.8,-89.95,3.1,-3.29,-0.09,-0.88,,0.0,-184.45,-5.06,12.73,0.2,扣非亏损,扣非亏损,亏损,-0.8
600929.SH,雪天盐业,105.62,242.78,-237.1,1.4,-0.08,0.43,0.52,,0.0,-102.35,6.02,25.93,0.2,扣非亏损,扣非亏损,1129.21,-0.8
301060.SZ,兰卫医学,37.57,-4692.0,-62.28,2.65,-0.47,-0.04,0.94,,0.0,84.79,26.69,31.28,0.2,扣非亏损,扣非亏损,亏损,-0.8
603395.SH,红四方,21.45,140.37,991.9,6.13,2.92,3.29,2.3,,0.0,-62.76,6.48,36.87,0.2,152.97,678.48,85.33,0.2
301508.SZ,中机认检,18.7,47.97,53.96,3.59,5.23,5.7,5.2,,0.0,18.69,15.84,23.94,0.2,3.41,20.63,16.83,0.25
000826.SZ,启迪环境,33.63,-3.69,-1.7,80.26,-30.4,-157.88,-0.96,,0.0,49.55,-14.37,86.17,0.2,扣非亏损,扣非亏损,亏损,-0.8
600611.SH,大众交通,85.04,98.34,-35.69,1.27,-0.62,0.98,1.43,0.37,66.67,-146.93,20.69,44.87,0.2,扣非亏损,扣非亏损,100.35,-0.8
002672.SZ,东江环保,45.35,-7.42,-6.07,1.82,-14.54,-16.84,-4.57,,0.0,-26.75,-4.34,67.36,0.2,扣非亏损,扣非亏损,亏损,-0.8
603409.SH,汇通控股,13.89,30.98,,3.25,10.12,5.63,7.5,,0.0,,37.38,28.22,0.2,,,11.0,0.29
300314.SZ,戴维医疗,19.81,40.99,80.04,3.26,4.7,6.06,5.37,,0.0,-4.46,4.72,15.59,0.2,16.97,34.07,13.53,0.23
600354.SH,敦煌种业,39.06,78.69,67.14,5.67,4.55,5.55,9.25,,0.0,477.79,8.01,49.4,0.2,8.38,29.49,28.36,0.23
001314.SZ,亿道信息,57.34,706.31,488.43,3.18,0.28,0.34,-0.68,,0.0,-47.47,-0.68,46.64,0.2,-723.28,3486.3,4154.75,0.2
605259.SH,绿田机械,39.81,14.9,16.19,2.22,11.28,11.44,8.28,,0.0,36.73,13.2,28.13,0.2,1.23,2.87,2.61,0.55
002664.SZ,信质集团,86.92,54.4,187.87,2.5,3.35,3.51,1.52,,0.0,32.09,21.06,67.83,0.2,8.92,112.09,31.0,0.21
600458.SH,时代新材,129.76,24.54,27.6,1.81,5.36,6.37,3.05,0.53,18.92,35.34,12.67,68.25,0.2,2.18,5.15,3.85,0.39
002841.SZ,视源股份,182.99,21.13,37.27,1.86,5.29,6.7,4.05,,0.0,-20.95,2.01,47.4,0.2,18.5,14.09,6.31,0.27
002515.SZ,金字火腿,75.18,256.12,304.85,2.88,0.82,0.84,0.31,,0.0,5.45,-10.65,2.16,0.2,-28.64,740.93,609.82,0.2
300837.SZ,浙矿股份,29.64,56.69,94.59,2.84,3.62,3.63,3.1,,0.0,-39.16,6.42,35.53,0.2,14.74,52.27,31.23,0.22
600029.SH,南方航空,847.7,37.05,-58.57,3.08,3.97,6.43,3.03,,0.0,345.77,26.1,83.39,0.2,扣非亏损,危险信号,11.53,0.16
000530.SZ,冰山冷热,38.82,45.32,128.65,1.71,2.51,2.86,1.56,,0.0,11.45,33.01,57.16,0.2,3.9,102.59,31.69,0.21
600116.SH,三峡水利,133.66,28.6,64.35,1.18,2.86,3.13,2.48,0.76,0.0,-7.87,0.7,55.72,0.2,91.63,45.02,18.27,0.22
003017.SZ,大洋生物,22.5,25.57,31.02,2.49,6.98,7.42,4.64,1.0,48.29,55.61,6.99,37.13,0.2,4.44,4.45,3.45,0.42
000927.SZ,中国铁物,185.75,30.79,42.27,1.93,4.64,4.78,2.66,,0.0,1.76,-13.89,47.63,0.2,-3.04,18.22,12.88,0.25
603687.SH,大胜达,54.51,44.96,61.95,1.67,1.83,2.77,3.17,,0.0,4.24,9.11,19.96,0.2,6.8,67.83,32.46,0.21
300446.SZ,航天智造,82.18,21.44,20.82,3.28,11.31,11.68,7.5,,0.0,28.83,21.26,44.92,0.2,0.98,3.68,3.67,0.47
688189.SH,南新制药,21.79,-23.81,-5.93,2.52,-7.38,-7.64,-6.83,,0.0,-15.17,-22.14,22.57,0.2,扣非亏损,扣非亏损,亏损,-0.8
002879.SZ,长缆科技,31.81,99.89,96.88,2.53,1.75,1.94,2.03,,0.0,-43.3,6.02,27.76,0.2,16.09,110.92,102.98,0.21
605077.SH,华康股份,48.0,21.64,21.14,1.61,4.72,5.21,3.5,1.35,44.44,-16.19,21.81,58.51,0.2,0.97,4.48,4.15,0.42
301216.SZ,万凯新材,138.4,141.54,-161.35,2.45,0.98,1.45,0.68,,0.0,182.37,30.31,65.62,0.2,扣非亏损,危险信号,195.23,0.19
300183.SZ,东软载波,65.17,-509.18,-183.0,2.4,-0.72,-0.35,-0.65,,0.0,-133.5,4.38,10.98,0.2,扣非亏损,扣非亏损,亏损,-0.8
920720.BJ,吉冈精密,9.68,56.82,59.41,6.86,9.24,9.02,5.77,,0.0,9.01,15.47,48.17,0.2,3.84,12.86,12.6,0.27
688512.SH,慧智微,39.53,-34.84,-15.88,3.28,-11.63,-6.93,-5.6,,0.0,35.96,6.36,24.86,0.19,扣非亏损,扣非亏损,亏损,-0.81
300796.SZ,贝斯美,36.11,86.91,-8194.31,2.1,1.7,1.81,1.06,,0.0,548.69,41.97,45.47,0.19,扣非亏损,危险信号,96.03,0.19
601336.SH,新华保险,1476.49,5.04,5.91,2.2,32.3,33.1,,0.96,14.14,53.38,15.95,94.52,0.19,0.37,0.18,0.15,5.66
002458.SZ,益生股份,74.06,258.18,46.0,2.6,0.9,0.72,0.52,1.79,1500.0,-87.05,16.87,41.83,0.19,2.73,51.14,358.59,0.21
002511.SZ,中顺洁柔,111.19,36.84,45.42,2.06,4.22,4.16,3.45,0.74,52.5,618.28,-2.94,39.96,0.19,-15.46,10.76,8.86,0.29
600158.SH,中体产业,104.2,-370.93,625.35,4.01,-1.08,-0.8,0.2,,0.0,-217.95,42.27,41.59,0.19,14.79,困境反转,亏损,0.2
605058.SH,澳弘电子,46.28,32.47,33.07,2.65,5.85,6.16,3.71,,0.0,19.41,6.92,39.2,0.19,4.78,11.3,10.54,0.28
300755.SZ,华致酒行,59.39,-22.43,-16.35,2.03,-7.87,-6.54,-3.82,,0.0,-260.03,8.82,40.84,0.19,扣非亏损,扣非亏损,亏损,-0.81
920422.BJ,润普食品,8.12,59.69,63.57,2.56,2.78,3.21,2.99,,0.0,104.05,0.41,20.7,0.19,153.97,45.8,37.19,0.22
688505.SH,复旦张江,57.63,-395.63,-95.71,3.72,-1.69,-0.7,-0.66,,0.0,-170.6,-14.56,8.4,0.19,扣非亏损,扣非亏损,亏损,-0.81
002701.SZ,奥瑞金,137.59,9.6,23.55,1.41,6.02,11.38,7.18,,0.0,-23.74,-0.73,65.67,0.19,-32.17,7.82,1.69,0.32
688522.SH,纳睿雷达,45.36,114.47,90.93,4.91,2.96,3.24,2.11,0.13,26.32,125.09,26.14,13.57,0.19,3.48,30.7,35.33,0.23
000607.SZ,华媒控股,36.91,-54.81,-33.71,2.74,-5.2,-3.68,-1.33,,0.0,-4671.83,-9.73,49.48,0.19,扣非亏损,扣非亏损,亏损,-0.81
600409.SH,三友化工,178.98,110.33,134.41,1.29,0.49,0.88,0.81,,0.0,-81.34,-2.61,42.18,0.19,-51.47,547.39,250.76,0.2
301020.SZ,密封科技,32.93,33.61,36.18,3.41,7.65,7.66,5.95,0.68,42.86,21.13,3.73,19.87,0.19,9.71,4.73,4.39,0.41
301631.SZ,壹连科技,28.96,29.23,34.54,3.45,8.44,8.99,5.65,,0.0,18.09,43.61,52.63,0.19,0.79,8.18,6.5,0.32
301175.SZ,中科环保,44.84,26.66,30.18,2.94,8.2,8.17,5.33,1.02,45.01,13.91,3.9,51.21,0.19,7.74,3.68,3.26,0.46
000997.SZ,新大陆,226.77,18.63,20.66,3.17,13.34,12.92,7.83,,0.0,14.03,1.49,44.76,0.19,13.82,3.1,2.88,0.52
300599.SZ,雄塑科技,22.17,-133.33,-38.82,1.89,-1.52,-1.52,-0.9,,0.0,46.92,-24.05,12.26,0.19,扣非亏损,扣非亏损,亏损,-0.81
000682.SZ,东方电子,189.96,28.78,25.91,3.45,8.92,9.26,3.52,0.31,16.41,22.03,18.95,55.21,0.19,1.37,2.91,3.11,0.54
600516.SH,方大炭素,272.16,180.34,-202.16,1.68,-0.08,0.7,0.48,,0.0,-108.21,-4.57,14.87,0.19,扣非亏损,扣非亏损,517.1,-0.81
000998.SZ,隆平高科,139.4,-17.6,-135.16,2.72,-13.34,-12.46,-3.41,,0.0,19.85,6.87,63.85,0.19,扣非亏损,扣非亏损,亏损,-0.81
002266.SZ,浙富控股,237.49,25.7,36.63,2.16,4.66,6.41,3.51,,0.0,-10.1,13.95,55.21,0.19,2.63,15.71,8.02,0.26
301355.SZ,南王科技,13.12,243.73,363.8,1.69,0.39,0.52,0.25,,0.0,-80.73,6.35,41.7,0.19,57.28,1880.58,937.41,0.19
301509.SZ,金凯生科,21.62,33.28,59.74,2.08,3.88,4.74,5.08,,0.0,238.23,0.77,5.22,0.19,77.65,30.81,14.04,0.22
920363.BJ,莱赛激光,9.05,290.1,-347.66,4.81,0.83,1.25,0.81,,0.0,214.33,-15.01,20.24,0.19,扣非亏损,危险信号,464.16,0.19
600203.SH,福日电子,69.02,59.26,-36.29,3.98,3.74,5.15,2.6,,0.0,134.5,-15.63,78.78,0.19,扣非亏损,危险信号,23.01,0.14
688236.SH,春立医疗,57.8,30.1,33.24,2.58,6.23,6.6,5.77,0.92,0.0,311.07,-8.1,15.65,0.19,-4.1,10.68,9.12,0.29
600537.SH,亿晶光电,40.96,-14.37,-2.37,18.22,-64.17,-65.21,-2.72,,0.0,63.19,22.28,95.24,0.19,扣非亏损,扣非亏损,亏损,-0.81
300750.SZ,宁德时代,16898.86,25.09,28.09,5.37,15.55,17.76,6.38,2.17,14.55,35.56,54.79,61.27,0.19,0.51,1.81,1.41,0.75
000948.SZ,南天信息,62.88,-433.54,236.91,2.35,-0.77,-0.4,0.07,,0.0,-138.45,20.73,67.23,0.19,11.43,困境反转,亏损,0.19
