证券代码,股票简称,流通市值,PE,扣非PE,PB,扣非ROE,ROE,ROA,股息率,分红比例,扣非净利润增速,营收增速,资产负债率,现金,扣非PEG,扣非市赚率,市赚率,财务健康度
000525.SZ,红太阳,78.27,-25.34,-6.43,3.51,-11.8,-9.64,-3.38,,0.0,-1889.9,-6.42,60.52,0.02,扣非亏损,扣非亏损,亏损,-0.98
300830.SZ,金现代,43.52,-118.8,2331.58,4.27,-3.43,-3.09,-2.63,,0.0,10.22,-9.27,7.85,0.02,-251.46,困境反转,亏损,0.03
600118.SH,中国卫星,1033.14,5231.48,3022.62,16.27,0.09,0.23,-0.18,,0.0,122.87,-8.77,43.53,0.02,-344.53,70130.31,45491.13,0.02
300299.SZ,富春股份,45.01,-366.91,-42.75,10.49,-2.51,-2.13,-0.28,,0.0,75.34,-19.92,55.79,0.02,扣非亏损,扣非亏损,亏损,-0.98
002277.SZ,友阿股份,98.99,116.21,-241.7,1.47,0.75,0.95,1.92,,0.0,-43.12,-19.8,53.3,0.02,扣非亏损,危险信号,244.66,0.01
300045.SZ,华力创通,122.16,1252.56,-138.99,9.76,0.56,0.59,0.52,,0.0,131.89,6.42,32.61,0.02,扣非亏损,危险信号,4245.97,0.01
300591.SZ,万里马,26.32,-34.71,-21.8,11.99,-22.9,-23.43,-8.35,,0.0,0.79,21.68,60.32,0.02,扣非亏损,扣非亏损,亏损,-0.98
603949.SH,雪龙集团,46.46,57.22,72.09,4.4,5.15,5.89,6.1,,0.0,83.1,-4.26,7.67,0.02,-16.93,28.01,19.43,0.05
920924.BJ,广脉科技,13.94,120.07,128.65,7.27,4.6,4.61,2.82,,0.0,-33.4,3.08,62.96,0.02,41.77,55.96,52.09,0.03
688611.SH,杭州柯林,92.8,11509.65,252.38,10.67,-0.32,0.07,0.24,,0.0,-109.29,50.88,19.38,0.01,4.96,-1554.53,328847.2,0.01
688508.SH,芯朋微,82.73,34.89,148.06,3.05,2.77,6.87,5.77,0.74,0.0,8.02,9.2,18.27,0.01,16.1,106.93,10.16,0.02
603316.SH,诚邦股份,41.78,-34.93,-36.35,7.9,-1.27,0.46,0.06,,0.0,54.02,-35.16,72.67,0.01,扣非亏损,扣非亏损,危险信号,-0.99
