证券代码,股票简称,所属同花顺行业,沪深指数,公司亮点,所属概念,机构持股占流通股比例,最终控制人持股比例,企业性质,最终控制人类型,最终控制人,控制人,三级行业,二级行业,一级行业,主营产品,投资逻辑,index,国家队机构名称,国家队持股比例
300348.SZ,长亮科技,计算机-软件开发-垂直应用软件,中证1000,国内领先的金融核心系统解决方案供应商,"跨境支付(CIPS),化债(AMC),数据安全,数字经济,华为,数据要素,互联网银行,智慧城市,鸿蒙,阿里巴巴,数字货币,人工智能,华为欧拉,互联网金融,金融信息服务,腾讯,华为鲲鹏,信创,财税数字化",6.81,12.78,民营企业,个人,王长春,个人,金融科技,计算机,科技,金融软件,国内领先的金融核心系统解决方案供应商,,,
002095.SZ,生意宝,传媒-文化传媒-数字媒体,中证2000,国内最大行业电子商务运营商和领先的综合B2B运营商之一,"农业信息化,移动支付,互联网金融,跨境电商,NFC,数据要素,电子商务,统一大市场,网络直播,双十一",50.49,31.44,民营企业,个人,孙德良,个人,数字媒体,传媒,科技,产业互联网平台,国内最大行业电子商务运营商和领先的综合B2B运营商,,,
601225.SH,陕西煤业,煤炭-煤炭开采加工-煤炭开采,"沪深300,上证50",拥有完整的煤炭生产、销售和运输体系的大型企业,"煤炭,西部大开发,陕西自贸区,同花顺漂亮100,稀缺煤,证金持股,高股息精选,国企改革,地方国企改革",77.28,65.25,省属国资控股,地方国资委,陕西省国资委,陕西省国资委,煤炭,煤炭,资源,煤炭(西北),拥有完整的煤炭生产、销售和运输体系的大型企业,332.0,证金公司,2.01
300654.SZ,世纪天鸿,传媒-文化传媒-出版,中证2000,以“志鸿优化”为代表的产品体系,"文化传媒,K12教育,人工智能,幼儿教育,平面媒体,ChatGPT,在线教育,AIGC,AI语料,职业教育,三胎,电子商务,网络直播",45.75,30.8,民营企业,个人,任志鸿,个人,出版,传媒,科技,教辅图书,民营书业企业，知名系列教辅图书品牌,,,
831195.BJ,三祥科技,汽车-汽车零部件-底盘与发动机系统,,国家级专精特新“小巨人”，专注深耕车用胶管领域，外销为主,"比亚迪,人民币贬值受益,小鹏汽车,长安汽车,新能源汽车",34.58,21.24,民营企业,个人,魏增祥,个人,汽车软管,汽车零部件,汽车,车用胶管,专注深耕车用胶管领域，外销为主,,,
001378.SZ,德冠新材,基础化工-塑料制品-膜材料,中证2000,功能性BOPP薄膜销量国内占比接近10%,粤港澳大湾区,1.39,32.65,民营企业,个人,"张锦棉,谢嘉辉,罗维满",个人,膜材料,合成材料,化工,功能性BOPP薄膜,,,,
601600.SH,中国铝业,有色金属-工业金属-铝,沪深300,全球第二大氧化铝生产商,"有色铝,央企国企改革,铝材加工,稀有金属,证金持股,稀土整合,稀土永磁,小金属,俄乌冲突,氧化铝,同花顺中特估100,锂电池,国企改革",61.55,29.95,央企国资控股,国资委,国资委,国资委,铝,有色金属,资源,氧化铝、电解铝,全球排名前二的氧化铝生产商及电解铝生产商,343.0,证金公司,3.42
301202.SZ,朗威股份,通信-通信设备-其他通信设备,中证2000,数据中心机柜国内市占率10%以上,"光纤,储能,换电,数据中心,腾讯,东数西算(算力),阿里巴巴,机器人,液冷服务器",,49.47,民营企业,个人,高利擎,个人,IDC/服务器,计算机,科技,综合布线产品和机柜,数据中心机柜国内市占率10%以上,,,
002681.SZ,奋达科技,电子-消费电子-消费电子零部件及组装,中证1000,主营多媒体音箱，且较早布局了智能穿戴产品,"储能,无线充电,小米,星闪,人形机器人,智能穿戴,中俄贸易,家用电器,传感器,华为,电子商务,阿里巴巴,消费电子,无线耳机,体育产业,人民币贬值受益,汽车电子,虚拟现实,VR设备,智能家居,人工智能,跨境电商,智能音箱,血氧仪,机器人,智能手表,互联网医疗",14.76,15.55,民营企业,个人,肖奋,个人,声学电子,消费电子,科技,电声、美发电器,消费电子产品垂直整合制造与服务的高科技企业,,,
603345.SH,安井食品,食品饮料-食品加工制造-预加工食品,中证500,从事速冻食品的研发、生产和销售,"海底捞,养老金持股,预制菜,福建自贸区",49.98,13.77,民营企业,个人,"杭建英,陆秋文",个人,预制菜,食品,必需消费,鱼糜制品,速冻食品龙头，从事速冻食品的研发、生产和销售,393.0,社保基金,1.59
601968.SH,宝钢包装,轻工制造-包装印刷-包装,中证2000,中国宝武钢铁集团旗下，拥有国内研发水平领先的金属包装研发平台，先进的生产设备,"央企国企改革,一带一路,国企改革,食品包装",70.43,54.46,央企国资控股,国资委,国资委,国资委,包装,包装印刷,可选消费,金属包装,快速消费品金属包装的龙头企业,,,
300133.SZ,华策影视,传媒-影视院线-影视院线Ⅲ,中证1000,全网剧的产能规模稳居全行业第一,"网红经济,文化传媒,多模态AI,AIGC,华为,手机游戏,IP,数据要素,东数西算(算力),VR影视,旅游,影视娱乐,Sora(文生视频),短剧游戏,百度,网络视频,元宇宙,NFT,智谱AI,人工智能,AI语料,新媒体,网络直播,知识产权保护,动漫",31.5,34.99,民营企业,个人,"傅梅城,赵依芳",个人,影视,传媒,科技,影视,影视制作行业龙头企业，头部内容市场绝对领先地位,,,
301025.SZ,读客文化,传媒-文化传媒-出版,中证2000,中国书业品牌影响力领先、营销模式领先、生产方式领先的专业文化机构,"文化传媒,电子书,数字阅读,华为,IP,电子商务,知识产权保护",7.96,70.64,民营企业,个人,"华杉,华楠",个人,出版,传媒,科技,纸质图书,图书策划与发行行业内具有较强品牌影响力的企业,,,
600547.SH,山东黄金,有色金属-贵金属-贵金属Ⅲ,沪深300,山东国资委旗下，国内唯一拥有四座累计产金突破百吨的矿企上市公司，控股国内黄金行业排名前十的山金国际,"人民币贬值受益,山东国企改革,黄金,证金持股,国企改革,地方国企改革",69.4,29.56,省属国资控股,地方国资委,山东省国资委,山东省国资委,黄金,贵金属,资源,黄金,国内最大的黄金生产企业之一,253.0,证金公司,3.01
000719.SZ,中原传媒,传媒-文化传媒-出版,中证1000,河南省内从事中小学教材、教辅的编制、印刷及发行业务,"数据交易中心,虚拟数字人,文化传媒,数据确权,数字经济,知识产权保护,职业教育,数据要素,电子商务,一带一路,高股息精选,河南国企改革,地方国企改革,在线教育,NFT,人工智能,腾讯,国企改革",68.86,70.34,省属国资控股,地方政府,河南省,河南省,出版,传媒,科技,大众图书出版,河南知名的文化产业集团,,,
300299.SZ,富春股份,传媒-游戏-游戏Ⅲ,中证2000,国内民营通信网络建设技术服务提供商中的领跑者,"文化传媒,数字经济,AIGC,手机游戏,IP,智慧城市,影视娱乐,虚拟现实,郭台铭,数字中国,抖音,智慧党建,网络游戏,福建自贸区",24.07,25.8,民营企业,个人,缪品章,个人,游戏,传媒,科技,游戏+通信技术服务,“移动游戏+通信信息”双主业,,,
601200.SH,上海环境,环保-环境治理-固废治理,中证1000,拥有国内领先的垃圾焚烧发电技术和烟气控制技术,"节能环保,污水处理,生物质能发电,绿色电力,固废处理,上海国企改革,地方国企改革,土壤修复,垃圾分类,PPP,国企改革,医疗废物处理,上海自贸区",58.26,46.5,省属国资控股,地方国资委,上海市国资委,上海市国资委,垃圾处理,环保,公共事业,固废处理,城市固废综合服务商，新环保板块上市龙头公司之一,,,
301313.SZ,凡拓数创,传媒-文化传媒-数字媒体,中证2000,数字创意产品及数字一体化解决方案的综合提供商,"虚拟数字人,物联网,数字经济,地下管网,AIGC,数据要素,智慧城市,车联网(车路协同),空间计算,数字孪生,百度,虚拟现实,元宇宙,ChatGPT,低空经济,人工智能,水利,智慧党建,智慧政务",4.44,31.82,民营企业,个人,"伍穗颖,王筠",个人,数字媒体,传媒,科技,数字创意产品,数字创意产品及数字一体化解决方案的综合提供商,,,
873152.BJ,天宏锂电,电力设备-电池-锂电池,,国家级专精特新“小巨人”，主营动力型锂电池模组，主要应用于电动助力车、电动搬运车、电动摩托车,"储能,专精特新,锂电池,两轮车",32.72,54.71,民营企业,个人,"周志伟,周新芳,钱旭,都伟云",个人,锂电池,储能,电力设备,锂离子电池模组,公司是锂离子电池模组领先企业,,,
300890.SZ,翔丰华,电力设备-电池-电池化学品,中证2000,国内先进的锂电负极材料专业供应商,"固态电池,储能,比亚迪,特斯拉,碳基材料,新能源汽车,锂电池,石墨电极,钠离子电池,宁德时代,石墨烯",11.34,12.27,民营企业,个人,周鹏伟,个人,负极材料,储能,电力设备,锂电池负极材料,国内先进的锂电池负极材料供应商,,,
603223.SH,恒通股份,石油石化-石油加工贸易-油品石化贸易,中证2000,是国内LNG贸易物流行业的领先企业,"节能环保,天然气,航运,油气运输仓储",29.93,21.06,集体企业,集体企业,龙口市东江街道南山村村民委员会,龙口市东江街道南山村村民委员会,石油贸易,石油,资源,物流仓储,国内首家道路运输A股上市企业,,,
839371.BJ,欧福蛋业,农林牧渔-农产品加工-其他农产品加工,,主营蛋液、蛋粉等,预制菜,3.42,65.8,外资企业,境外,Christian Nicholas Stadil,境外,食品加工,农业,必需消费,蛋液及蛋粉类,公司是中国蛋制品加工业的引领者和积极开拓者,,,
002051.SZ,中工国际,建筑装饰-建筑装饰-专业工程,中证1000,主要从事国外工程总承包（EPC）业务,"央企国企改革,生物安全,乡村振兴,马歇尔计划,污水处理,华为,北京自贸区,基建工程,一带一路,新型城镇化,固废处理,人民币贬值受益,同花顺中特估100,新基建,水利,国企改革,中非合作",65.57,63.64,央企国资控股,国资委,国资委,国资委,建筑工程,基建,建筑业,国际工程承包,平台型国际工程承包商，高质量参与共建“一带一路”,,,
603277.SH,银都股份,机械设备-通用设备-制冷空调设备,,专业生产商用餐饮设备的高新技术企业,"高股息精选,人民币贬值受益,机器人",13.31,50.07,民营企业,个人,周俊杰,个人,温控设备,机械设备,机械,商用餐饮制冷设备,商用餐饮设备生产技术国际先进,,,
600985.SH,淮北矿业,煤炭-煤炭开采加工-煤炭开采,中证500,主营以炼焦精煤、动力煤为主的煤炭采选和以焦炭为主的煤化工,"煤化工,安徽国企改革,煤炭,焦炭,民爆,国企改革,高股息精选,甲醇,地方国企改革",72.99,60.5,省属国资控股,地方国资委,安徽省国资委,安徽省国资委,煤炭,煤炭,资源,煤炭产品,淮北矿区规模较大的煤炭生产企业,,,
300249.SZ,依米康,计算机-计算机设备-其他计算机设备,中证2000,数据中心基础设施整体解决方案领导者,"储能,生物安全,物联网,数据中心,华为,智慧城市,脱硫脱硝,东数西算(算力),阿里巴巴,区块链,5G,数字孪生,数字乡村,西部大开发,百度,人工智能,碳中和,专精特新,服务机器人,液冷服务器",4.43,26.56,民营企业,个人,"张菀,孙屹峥",个人,IDC/服务器,计算机,科技,ICT领域温控产品,国内领先的数据中心和精密环境关键制冷设备提供商,,,
002205.SZ,国统股份,建筑材料-建筑材料-水泥,,全国PCCP其它输水管道行业知名度最高实力最强的企业之一,"央企国企改革,高铁,污水处理,地下管网,南水北调,新型城镇化,抗旱,雄安新区,中铁系,新疆振兴,节水灌溉,西部大开发,风电,PPP,水利,装配式建筑,国企改革",31.2,15.39,央企国资控股,国资委,国资委,国资委,管材,建筑材料,建筑业,PCCP,全国PCCP输水管道行业龙头,,,
603979.SH,金诚信,有色金属-工业金属-铜,中证500,从事矿山资源开发、矿山服务的全产业链模式,"同花顺出海50,磷化工,黄金,白银,稀有金属,一带一路,金属铜,中非合作",58.85,39.29,民营企业,个人,"王先成,王慈成,王亦成,王意成,王友成",个人,铜,有色金属,资源,矿山工程建设,从事矿山资源开发、矿山服务的全产业链龙头,,,
600017.SH,日照港,交通运输-港口航运-港口,中证1000,从事大宗散杂货的港口装卸、堆存和中转服务的公司,"山东国企改革,中韩自贸区,证金持股,免税店,国企改革,地方国企改革",56.26,12.17,地市国资控股,地方国资委,山东省国资委,山东省国资委,港口,水运,交通运输,港口装卸,国内主要的铁矿石中转港,195.0,中央汇金,1.84
002858.SZ,力盛体育,社会服务-其他社会服务-体育,中证2000,中国领先的汽车运动运营服务商，全民健身及数字体育的领跑者,"体育产业,多模态AI,人工智能,在线教育,虚拟现实,数字经济,NFT,AIGC,低空经济,百度,职业教育,无人驾驶,Web3.0",15.18,20.23,民营企业,个人,"余朝旭,夏青",个人,体育,社会服务,可选消费,赛事运营,国内赛车行业龙头，布局了汽车运动全产业链,,,
600236.SH,桂冠电力,公用事业-电力-水电,,水电站的生产管理处国内同行业先进水平,"抗寒,央企国企改革,北部湾自贸区,西部大开发,电力改革,风电,2024三季报预增,绿色电力,高股息精选,国企改革",94.76,46.4,央企国资控股,国资委,国资委,国资委,水电,电力,公共事业,水电（广西）,水电资产占到广西省统调水电装机容量的70%左右,,,
300499.SZ,高澜股份,机械设备-专用设备-其他专用设备,中证2000,致力于为全球客户提供专业的节能产品和整体解决方案,"储能,充电桩,数据中心,一带一路,可控核聚变,光伏,宁德时代,比亚迪,新能源汽车,特高压,风电,柔性直流输电,专精特新,锂电池,人造太阳,军工,液冷服务器",0.01,,民营企业,,,,温控设备,机械设备,机械,电力电子装置用纯水冷却设备,国内电力电子装置用纯水冷却设备专业供应商,,,
600004.SH,白云机场,交通运输-机场航运-机场,中证500,广东省属机场集团旗下，国内三大国际枢纽机场之一，旅客量及货邮吞吐量国内居前,"广东国企改革,同花顺中特估100,粤港澳大湾区,国企改革,地方国企改革",64.18,29.17,省属国资控股,地方政府,广东省,广东省,机场,空运,交通运输,航空主业,国内三大门户复合型枢纽机场之一,,,
600755.SH,厦门国贸,交通运输-物流-物流Ⅲ,中证500,主营供应链管理业务，拥有全资子公司-国贸期货,"美团,航运,期货,中俄贸易,互联网期货,一带一路,海峡两岸,高股息精选,地方国企改革,食盐,台湾,回购增持再贷款,小额贷款,统一大市场,国企改革,福建自贸区",51.58,36.12,地市国资控股,地方国资委,厦门市人民政府国资委,厦门市人民政府国资委,物流,物流,交通运输,供应链管理,主营供应链管理业务，拥有全资子公司-国贸期货,,,
300571.SZ,平治信息,传媒-文化传媒-数字媒体,中证2000,深耕数字阅读领域的领先企业,"虚拟数字人,储能,文化传媒,快手,多模态AI,WiFi 6,数字经济,人形机器人,数据要素,算力租赁,鸿蒙,华为昇腾,数字水印,共封装光学(CPO),富媒体,5G,芯片,短剧游戏,数字阅读,VR设备,元宇宙,F5G,通信基站,虚拟现实,智谱AI,6G,智能家居,智能音箱,机器人",23.24,31.9,民营企业,个人,"郭庆,张晖",个人,数字媒体,传媒,科技,移动阅读平台,专业的电信增值服务内容提供商,,,
002303.SZ,美盈森,轻工制造-包装印刷-包装,中证2000,以瓦楞包装为主业的包装一体化解决方案提供商,"环保包装,工业大麻,军民融合,台湾,预制菜,人造肉,区块链",5.99,41.43,民营企业,个人,王海鹏,个人,包装,包装印刷,可选消费,包装纸制品,以瓦楞包装为主业的包装一体化解决方案提供商,,,
600833.SH,第一医药,医药生物-医药商业-药店,中证2000,公司拥有大型医药零售旗舰店以及百年老字号特色药房,"医药电商,国企改革,上海国企改革,地方国企改革",51.21,31.91,省属国资控股,地方国资委,上海市国资委,上海市国资委,医药商业,医疗服务,生物医药,医药零售,上海地区药品流通企业中的老字号,,,
603056.SH,德邦股份,交通运输-物流-物流Ⅲ,中证500,快递、快运行业标杆企业,"冷链物流,军民融合,华为,快递,双十一,京东,长三角一体化,养老金持股,跨境电商,进口博览会,统一大市场,机器人,智能物流",81.41,46.31,外资企业,境外," Inc.,Jd.Com",境外,快递,物流,交通运输,快递业务,快递、快运行业标杆企业,381.0,社保基金,0.86
600033.SH,福建高速,交通运输-公路铁路运输-高速公路,中证1000,福建省高速公路的投资、建设、运营和管理企业,"海峡两岸,高股息精选,国企改革,福建自贸区,地方国企改革",60.64,5.7,省属国资控股,地方国资委,福建省国资委,福建省国资委,高速公路,公路,交通运输,公路收费福泉高速,福建省内4条高速公路的运营商,,,
002468.SZ,申通快递,交通运输-物流-物流Ⅲ,中证1000,国内主流快递服务商之一,"长三角一体化,乡村振兴,2024三季报预增,快递,阿里巴巴,智能物流,双十一",66.36,35.85,民营企业,个人,"陈小英,陈德军",个人,快递,物流,交通运输,物流,国内主流快递服务商之一,,,
300240.SZ,飞力达,交通运输-物流-物流Ⅲ,中证2000,二十多年制造供应链领域服务经验，可以为客户提供定制化解决方案,"特斯拉,小米,冷链物流,网约车,航运,中俄贸易,一带一路,无人驾驶,车联网(车路协同),双十一,人民币贬值受益,新能源汽车,人工智能,进口博览会,统一大市场,智能物流",47.44,23.19,民营企业,个人,"姚勤,沈黎明,吴有毅",个人,物流,物流,交通运输,供应链管理,国内IT制造业最专业的现代化物流服务商之一,,,
301378.SZ,通达海,计算机-软件开发-垂直应用软件,中证2000,聚焦于“智慧法院”相关的电子政务市场，智慧审判领域市占率全国前二，智慧执行领域市占率全国第一,"化债(AMC),人工智能,数字经济,互联网金融,华为鲲鹏,数据要素,华为昇腾,鸿蒙,阿里巴巴,智慧政务,信创",9.18,32.14,民营企业,个人,郑建国,个人,电子政务,计算机,科技,智慧法院,智慧执行和智慧审判领域龙头，市占率位居行业前二,,,
002110.SZ,三钢闽光,钢铁-钢铁-普钢,,福建省最大的钢铁生产基地,"福建基建,电力改革,数据中心,国企改革,海峡两岸,核电,地方国企改革",66.86,53.94,省属国资控股,地方国资委,福建省国资委,福建省国资委,普钢,钢铁,资源,螺纹钢,福建著名的钢铁生产基地，福建唯一的钢材期货交割品牌,,,
002885.SZ,京泉华,电子-其他电子-其他电子Ⅲ,中证2000,国内磁性元器件行业的引领者,"储能,华为汽车,高压快充,小米,无线充电,OLED设备制造,充电桩,第三代半导体,数据中心,华为,消费电子,光伏,富士康,比亚迪,5G,新能源汽车,汽车电子,粤港澳大湾区,氮化镓,OLED",17.43,9.73,民营企业,个人,张立品,个人,电子功能件,消费电子,科技,磁性元器件,磁性元器件领域的领先企业,,,
300448.SZ,浩云科技,计算机-IT服务-IT服务Ⅲ,中证2000,安防业务业内资质较齐全的企业之一,"物联网,数字经济,数据要素,智慧城市,鸿蒙,机器视觉,电力物联网,车联网(车路协同),安防,区块链,芯片,百度,人工智能,ETC,智能交通,华为鲲鹏,智能医疗,人脸识别,AI眼镜",,27.47,民营企业,个人,茅庆江,个人,安防,计算机,科技,金融安全,国内金融安防行业领先企业之一,,,
600810.SH,神马股份,基础化工-化学纤维-其他纤维,中证1000,尼龙系列产品在国内外市场上享有盛誉,"光伏建筑一体化,粗苯,循环经济,PA66,锦纶,国企改革,河南国企改革,军工,地方国企改革",68.09,40.71,省属国资控股,地方国资委,河南省国资委,河南省国资委,化纤,合成材料,化工,锦纶,中国聚酰胺行业领军企业，居亚洲第一位、世界第四位,,,
002597.SZ,金禾实业,基础化工-化学制品-食品及饲料添加剂,中证1000,从事精细化工产品和基础化工产品生产和销售的企业,"煤化工,调味品,甲酸,生物质能发电,电子商务,双氧水,循环经济,锂电池,合成生物,甲醛,代糖",51.3,21.62,民营企业,个人,"杨乐,杨迎春",个人,添加剂,食品,必需消费,硝酸、三聚氰胺,食品添加剂细分行业中最具规模、最具竞争力的企业之一,,,
001266.SZ,宏英智能,机械设备-自动化设备-工控设备,中证2000,移动机械与专用车辆智能电气控制系统产品及解决方案的提供商,"储能,物联网,充电桩,传感器,智能座舱,无人驾驶,车联网(车路协同),农机,换电,新能源汽车,汽车电子,人工智能,卫星导航,风电,专精特新,商业航天,机器人,新型工业化",9.9,58.41,民营企业,个人,"曾红英,张化宏,曾晖",个人,汽车电气,汽车零部件,汽车,智能电气控制系统,获评中国工程机械零部件品牌100强,,,
000933.SZ,神火股份,有色金属-工业金属-铝,中证500,以煤炭、发电、电解铝生产及产品深加工为主的大型企业,"俄乌冲突,有色铝,煤炭,中原经济区,稀缺煤,宁德时代,高股息精选,国企改革,动力煤,地方国企改革",53.52,19.29,地市国资控股,地方国资委,商丘市人民政府国资委,商丘市人民政府国资委,铝,有色金属,资源,电解铝,全球第六大电解铝厂、国内重要煤炭企业,,,
834765.BJ,美之高,轻工制造-家居用品-成品家居,,专业化提供收纳解决方案的综合服务商,人民币贬值受益,45.47,61.23,民营企业,个人,"蔡秀莹,黄华侨",个人,家具,家居装修,建筑业,置物收纳架,专业化收纳解决方案综合服务商,,,
002785.SZ,万里石,建筑材料-建筑材料-其他建材,中证2000,A股首家建筑装饰及景观石材公司，拥有稳定的全球采购和销售渠道,"锂电池,电子商务,福建自贸区,盐湖提锂",1.27,12.31,民营企业,个人,胡精沛,个人,装饰材料,建筑材料,建筑业,建筑装饰石材,中国知名、领先、产业链完整的石材企业集团之一,,,
603993.SH,洛阳钼业,有色金属-小金属-钼,沪深300,全球最大的白钨生产商之一，全球前七大钼生产商和领先的铜生产商,"白银,同花顺漂亮100,稀有金属,辉钼,宁德时代,小金属,锂电原料,同花顺出海50,钼,磷化工,钨,黄金,金属镍,金属钴,金属铜",72.94,25.83,民营企业,个人,于泳,个人,小金属,有色金属,资源,钼、铜,全球前五大的钼生产企业之一、全球重要铜矿生产商,,,
605198.SH,安德利,食品饮料-饮料制造-软饮料,中证2000,世界浓缩果汁主要生产与供应商之一,"人民币贬值受益,大消费,乡村振兴",91.71,46.32,民营企业,"个人,境外","王安,王萌","个人,境外",软饮,饮料,必需消费,浓缩果汁,公司浓缩果汁加工能力和生产规模居世界首位,,,
601018.SH,宁波港,交通运输-港口航运-港口,,货物吞吐量和集装箱吞吐量持续保持全球港口前列,"航运港口,海洋经济,舟山自贸区,航运,一带一路,证金持股,高股息精选,杭州湾大湾区,地方国企改革,浙江国企改革,同花顺中特估100,国企改革,自由贸易港,集装箱",88.64,16.87,地市国资控股,地方国资委,浙江省国资委,浙江省国资委,港口,水运,交通运输,港口装卸,货物吞吐量和集装箱吞吐量持续保持全球港口前列,314.0,"中央汇金, 证金公司",1.13
600696.SH,岩石股份,食品饮料-白酒-白酒Ⅲ,,战略转型聚焦白酒行业，获赠控股股东酱香型白酒资产,"白酒,电子商务",68.75,55.98,民营企业,个人,韩啸,个人,白酒,饮料,必需消费,酱香型白酒,战略转型聚焦白酒行业，获赠控股股东酱香型白酒资产,,,
603171.SH,税友股份,计算机-IT服务-IT服务Ⅲ,中证1000,国内领先的财税信息化综合服务提供商,"蚂蚁金服,人工智能,数字经济,ChatGPT,AIGC,数据要素,智慧城市,SAAS,智慧政务,信创,财税数字化",65.16,54.94,民营企业,个人,张镇潮,个人,电子政务,计算机,科技,财税信息系统,国内财税信息化龙头企业,,,
836433.BJ,大唐药业,医药生物-中药-中药Ⅲ,,中蒙药制造先进企业,"中医药,西部大开发",46.53,62.53,民营企业,个人,郝艳涛,个人,中药,中药,生物医药,中成药,国际一流的蒙医药科研基地的中药行业领先企业,,,
601008.SH,连云港,交通运输-港口航运-港口,中证2000,连云港是我国25个主枢纽港之一，拥有优越的区位条件,"地方国企改革,中韩自贸区,中俄贸易,一带一路,国企改革,航运港口",59.36,48.69,地市国资控股,地方国资委,连云港市国资委,连云港市国资委,港口,水运,交通运输,港口装卸,我国中西部地区最便捷的出海口,,,
000607.SZ,华媒控股,传媒-文化传媒-广告营销,中证2000,中国报业集团中第三家媒体经营性资产整体上市公司,"融媒体,文化传媒,社区团购,快手,数据确权,数字经济,知识产权保护,职业教育,三胎,幼儿教育,托育服务,物流电商平台,共同富裕示范区,阿里巴巴,区块链,浙江国企改革,长三角一体化,百度,网络视频,在线教育,平面媒体,NFT,国企改革",49.09,53.52,地市国资控股,地方国有企业,杭州日报报业(杭州日报社),杭州日报报业(杭州日报社),广告营销,传媒,科技,互联网广告,平面媒体维持在区域范围内领先,,,
301371.SZ,敷尔佳,美容护理-美容护理-化妆品,中证1000,贴片类专业皮肤护理产品国内市占率第一,"网红经济,重组蛋白,医美,医疗器械,电子商务,抖音,合成生物,网络直播,NMN,黑龙江自贸区",36.13,84.41,民营企业,个人,张立国,个人,化妆品,医美,可选消费,皮肤护理产品,,,,
002042.SZ,华孚时尚,纺织服饰-纺织制造-棉纺,中证2000,安徽省纺织业的龙头企业,"乡村振兴,职业教育,数据中心,算力租赁,电子商务,东数西算(算力),绿色电力,工业互联网,新疆振兴,农业种植,棉花种植,C2M,棉纱,粤港澳大湾区,东盟自贸区",49.33,41.91,民营企业,个人,"陈玲芬,孙伟挺",个人,纺织制造,纺织,可选消费,纯棉纱线,公司是全球最大的色纺纱线企业之一,,,
601566.SH,九牧王,纺织服饰-服装家纺-服装,中证2000,中国男装行业男裤市场的领跑者,"福建自贸区,电子商务",70.71,53.73,外资企业,境外,林聪颖,境外,服装,纺织,可选消费,茄克,中国男装行业男裤市场的领跑者,,,
301276.SZ,嘉曼服饰,纺织服饰-服装家纺-服装,中证2000,中高端童装运营企业,"电子商务,抖音,三胎",25.52,62.2,民营企业,个人,"刘溦,刘林贵,曹胜奎,马丽娟",个人,服装,纺织,可选消费,童装,中高端童装运营企业，中国十大童装品牌,,,
300253.SZ,卫宁健康,计算机-软件开发-垂直应用软件,中证500,医疗卫生领域的信息化管理解决方案的龙头供应商,"养老,DRG/DIP,华为,智慧城市,鸿蒙,区块链,互联网保险,信创,蚂蚁金服,人工智能,ChatGPT,医保目录,华为鲲鹏,智能医疗,医学影像,互联网医疗,家庭医生",17.29,13.1,民营企业,个人,"王英,周炜",个人,医疗软件,计算机,科技,医疗卫生,医疗卫生领域的信息化管理解决方案的龙头供应商,,,
301316.SZ,慧博云通,计算机-IT服务-IT服务Ⅲ,中证1000,软件技术外包服务商,"小米,华为海思,物联网,数字经济,智能穿戴,AIGC,华为,数据要素,机器视觉,阿里巴巴,车联网(车路协同),小米汽车,5G,芯片,百度,虚拟现实,ChatGPT,互联网金融,人工智能,金融信息服务,智能音箱,智能医疗,抖音,机器人,信创,财税数字化",50.22,30.98,民营企业,个人,余浩,个人,软件外包,计算机,科技,软件外包服务,专注于软件信息技术服务的国家高新技术企业,,,
605069.SH,正和生态,环保-环境治理-综合环境治理,,具备大型生态保护和环境治理工程的管理能力,"土壤修复,乡村振兴,污水处理,京津冀一体化,数字经济,元宇宙,碳中和,智谱AI,PPP,物业管理,水利,新型城镇化,雄安新区",11.42,60.96,民营企业,个人,张熠君,个人,综合环保,环保,公共事业,生态保护,具备大型生态保护和环境治理工程的管理能力,,,
300153.SZ,科泰电源,电力设备-其他电源设备-其他电源设备Ⅲ,中证2000,国内柴油发电机组行业技术实力较强、规模较大的企业,"储能,长三角一体化,互联网金融,核电,华为,锂电池,小额贷款,新能源物流车",36.65,31.33,外资企业,"个人,境外","谢松峰,马恩曦,戚韶群,严伟立","个人,境外",电源设备,电气设备,电力设备,智能环保电源设备,国内柴油发电机组行业技术实力较强、规模较大的企业,,,
603758.SH,秦安股份,汽车-汽车零部件-底盘与发动机系统,中证2000,汽车发动机核心零部件的研发、生产及销售，重庆市高新技术企业,"长安汽车,西部大开发,新能源汽车,高股息精选",4.63,64.76,外资企业,境外,YUANMING TANG,境外,动力系统,汽车零部件,汽车,气缸盖,汽车发动机核心零部件专业厂商,,,
001328.SZ,登康口腔,美容护理-美容护理-个护用品,中证2000,重庆国资委旗下，牙膏产品线下零售额市场份额本土品牌前二，主打品牌“冷酸灵”在抗敏感牙膏细分领域的线下零售额占比稳定在60%左右,"网红经济,超级品牌,西部大开发,三胎,医疗器械,电子商务,重庆国企改革,网络直播,国企改革,地方国企改革",16.76,60.25,省属国资控股,地方国资委,重庆市国资委,重庆市国资委,护理品,医美,可选消费,口腔护理用品,国内具有影响力的专业口腔护理企业,,,
600988.SH,赤峰黄金,有色金属-贵金属-贵金属Ⅲ,中证500,主营黄金、白银、电解铜等金属，同时开展资源综合回收利用业务,"沪锡,人民币贬值受益,西部大开发,白银,黄金,金属铜,稀土永磁",30.77,11.44,民营企业,个人,李金阳,个人,黄金,贵金属,资源,黄金,全国12大黄金集团之一，拥有高品位富矿床,,,
301381.SZ,赛维时代,商贸零售-互联网电商-互联网电商Ⅲ,中证1000,技术驱动的出口跨境品牌电商,"人民币贬值受益,ERP,跨境电商,电子商务,智能物流",80.76,49.06,民营企业,个人,陈文平,个人,电商,传媒,科技,跨境电商,技术驱动的出口跨境品牌电商,,,
