证券代码,股票简称,所属同花顺行业,沪深指数,公司亮点,所属概念,机构持股占流通股比例,最终控制人持股比例,企业性质,最终控制人类型,最终控制人,控制人,三级行业,二级行业,一级行业,主营产品,投资逻辑,index,国家队机构名称,国家队持股比例
600516.SH,方大炭素,钢铁-钢铁-冶钢原料,中证500,石墨电极龙头企业，拥有全国唯一的新型炭砖生产基地,"石灰石,石墨烯,西部大开发,锂电池,碳纤维,核电,铁矿石,兰新白试验区,石墨电极",40.99,38.02,民营企业,个人,方威,个人,冶钢原料,钢铁,资源,炭素制品,石墨电极龙头企业，拥有全国唯一的新型炭砖生产基地,,,
000778.SZ,新兴铸管,钢铁-钢铁-普钢,中证500,已形成覆盖全国主要地区的球墨铸铁管产能布局,"储能,央企国企改革,岩棉,地下管网,南水北调,核电,雄安新区,钒电池,铁矿石,际华系,小金属,海绵城市,特钢,西气东输,天然气管道,养老金持股,PPP,水利,太阳能,国企改革",45.52,39.97,央企国资控股,国资委,国资委,国资委,普钢,钢铁,资源,铸管、普钢,公司离心球墨铸铁管、钢格板生产规模居世界首位,47.0,社保基金,0.64
603556.SH,海兴电力,电力设备-电网设备-电气自控设备,中证1000,主营智能电表、配用电系统，公司产品先后通过了各项国际认证,"储能,人民币贬值受益,物联网,充电桩,物联网感知层,一带一路,高股息精选,电力物联网,智能电网,光伏",66.86,20.85,民营企业,个人,周良璋,个人,电控设备,电气设备,电力设备,配用电自动化,业内领先的智能配用电系统解决方案提供商,,,
833266.BJ,生物谷,医药生物-中药-中药Ⅲ,,国内从事灯盏花系列药品生产的龙头企业,"千金藤素,西部大开发,股权转让(并购重组)",6.47,17.67,民营企业,个人,"林弘远,王蕊,林弘立,罗诚",个人,中药,中药,生物医药,灯盏生脉胶囊,拥有自主知识产权的灯盏花专利品种的医药企业,,,
603135.SH,中重科技,机械设备-专用设备-能源及重型设备,中证2000,专注于型钢及带钢智能装备及生产线业务，产品主要应用于金属轧制环节,"节能环保,数字经济,中俄贸易,高端装备,机器人,新型工业化",32.27,59.86,民营企业,个人,"谷峰兰,马冰冰",个人,重型机械,机械设备,机械,智能装备,公司专注于型钢及带钢智能装备及生产线业务,,,
300470.SZ,中密控股,机械设备-通用设备-其他通用设备,中证1000,各类机械密封的设计、研发、制造和销售，国家高新技术企业,"煤化工,西部大开发,新能源汽车,养老金持股,核电,军工,专精特新,水利,四川国企改革,天然气,国企改革",53.48,22.08,省属国资控股,地方国有企业,四川省机械研究设计院,四川省机械研究设计院,通用设备,机械设备,机械,机械密封,各类机械密封的设计、研发、制造和销售,167.0,社保基金,3.73
300500.SZ,启迪设计,建筑装饰-建筑装饰-工程咨询服务,中证2000,全资子公司“嘉力达”自主研发生产了新一代高度集成的屋顶光伏小电站产品,"虚拟数字人,储能,节能环保,乡村振兴,数据中心,绿色电力,新型城镇化,雄安新区,车联网(车路协同),光伏,数字孪生,虚拟现实,光伏建筑一体化,碳中和,风电,建筑节能,装配式建筑,太阳能,房屋检测,医疗废物处理",48.26,,民营企业,,,,工程设计,工程设计,建筑业,建筑设计,江苏省内领先的建筑设计单位,,,
300915.SZ,海融科技,食品饮料-饮料制造-乳品,,我国植脂奶油行业标准的起草单位之一,大消费,7.94,43.2,民营企业,个人,黄海晓,个人,乳制品,食品,必需消费,植脂奶油,植脂奶油第一股,,,
300364.SZ,中文在线,传媒-文化传媒-数字媒体,,中国数字文化内容的开创者之一，积极布局元宇宙相关业务,"虚拟数字人,文化传媒,数据确权,多模态AI,职业教育,IP,影视娱乐,短剧游戏,京津冀一体化,百度,虚拟现实,元宇宙,ChatGPT,抖音,知识产权保护,动漫,快手,数字经济,幼儿教育,AIGC,华为,数据要素,鸿蒙,区块链,同花顺出海50,数字阅读,NFT,平面媒体,在线教育,人工智能,腾讯,AI语料,Web3.0",16.53,13.66,民营企业,个人,童之磊,个人,数字媒体,传媒,科技,数字阅读产品,全球领先的中文数字出版机构之一,,,
600420.SH,国药现代,医药生物-化学制药-化学制剂,中证1000,国内颇具优势的缓释药技术产品生产厂家,"幽门螺杆菌,维生素,重组蛋白,芬太尼,动物疫苗,央企国企改革,中医药,猴痘,仿制药一致性评价,儿童医药医疗,毛发医疗,辅助生殖,抗癌,医美,养老金持股,NMN,医保目录,流感,化妆护肤品,2024三季报预增,合成生物,肝炎,国企改革",67.31,42.76,央企国资控股,国资委,国资委,国资委,制药,生物,生物医药,防治心绞痛药,国内最大的克拉维酸钾供应商,237.0,社保基金,0.73
002069.SZ,獐子岛,农林牧渔-养殖业-水产养殖,中证2000,拥有全国最大的清洁海域，产品以高档海珍品为主,"地方国企改革,辽宁国企改革,乡村振兴,海洋经济,东北亚经贸中心,碳中和,台湾,预制菜,电子商务,国企改革,水产品",44.04,,地市国资控股,地方国资委,大连市人民政府国资委,大连市人民政府国资委,渔业,养殖,必需消费,虾夷扇贝,综合型海洋企业，产品以高档海珍品为主,,,
600261.SH,阳光照明,电子-光学光电子-LED,,中国最大的节能灯生产和出口基地之一,"氢能源,智能家居,证金持股,高股息精选",43.99,46.66,民营企业,个人,陈森洁及其配偶,个人,照明设备,消费电子,科技,LED灯具,中国最大的节能灯生产和出口基地之一,222.0,中央汇金,2.26
002159.SZ,三特索道,社会服务-旅游及酒店-自然景点,,以旅游客运索道为核心的运营公司,"体育产业,露营经济,股权转让(并购重组),湖北国企改革,冰雪产业,旅游,国企改革,地方国企改革",40.13,21.05,地市国资控股,地方政府,武汉东湖新技术开发区管理委员会,武汉东湖新技术开发区管理委员会,旅游,旅游酒店,可选消费,索道,以索道经营为主的旅游企业集团,,,
