证券代码,股票简称,PE,扣非PE,PB,扣非ROE,ROE,ROA,股息率,分红比例,扣非净利润增速,营收增速,资产负债率,现金,扣非PEG,扣非市赚率,市赚率,财务健康度
601377.SH,兴业证券,17.34,18.13,1.04,4.14,4.37,,2.08,0.0,92.81,-9.29,78.75,1.3,-1.95,8.75,7.94,1.42
000090.SZ,天健集团,268.04,24.14,0.64,0.01,-0.07,0.48,2.43,0.0,-99.58,-1.71,76.5,1.28,-14.08,5487.25,-7658.36,1.29
600906.SH,财达证券,24.49,22.15,1.77,5.48,5.41,,1.41,25.0,80.45,3.85,77.32,1.28,5.75,4.04,4.53,1.53
601878.SH,浙商证券,19.27,19.2,1.33,5.2,5.26,,1.23,0.0,49.75,-1.01,78.55,1.26,-19.09,7.38,7.33,1.4
301275.SZ,汉朔科技,58.41,,6.12,10.9,8.67,4.53,,0.0,,42.73,33.49,1.25,,,13.47,1.32
600827.SH,百联股份,40.77,151.03,0.81,0.77,1.49,1.03,2.42,0.0,-3.08,-7.22,60.64,1.24,-20.91,389.95,54.73,1.25
000166.SZ,申万宏源,11.78,13.57,1.13,7.36,7.41,,1.18,20.59,112.51,-6.85,80.67,1.24,-1.98,1.84,1.59,1.78
000402.SZ,金融街,-4.53,-0.95,0.35,-5.05,-5.57,-0.21,,0.0,52.87,-0.69,77.11,1.24,扣非亏损,扣非亏损,亏损,0.24
301491.SZ,汉桑科技,34.54,,3.44,9.86,11.68,7.3,,0.0,,17.15,27.99,1.23,,,5.91,1.4
601688.SH,华泰证券,12.06,13.34,1.19,6.37,7.21,,2.96,18.75,100.04,4.02,79.97,1.23,3.32,2.1,1.67,1.71
603049.SH,中策橡胶,9.84,,1.91,16.49,16.91,8.22,,0.0,,8.7,52.73,1.21,,,1.16,2.07
000404.SZ,长虹华意,9.52,12.1,1.13,7.81,9.08,4.35,4.05,0.0,-5.59,-3.17,62.83,1.2,-3.81,3.1,2.1,1.53
600104.SH,上汽集团,14.95,243.32,0.55,2.44,2.77,1.6,0.42,0.0,578.58,-6.61,62.3,1.18,-36.79,199.3,10.8,1.19
000498.SZ,山东路桥,5.09,4.36,0.6,5.44,6.72,1.56,3.36,4.38,2.57,4.68,76.28,1.17,0.93,0.8,0.76,2.42
600376.SH,首开股份,-3.46,-2.08,2.2,-23.66,-19.77,0.13,,0.0,28.92,-26.32,76.83,1.16,扣非亏损,扣非亏损,亏损,0.16
000039.SZ,中集集团,24.36,15.82,1.05,2.79,3.13,2.84,2.27,0.0,-14.01,5.26,60.62,1.16,3.01,11.34,15.57,1.25
