证券代码,股票简称,PE,扣非PE,PB,扣非ROE,ROE,ROA,股息率,分红比例,扣非净利润增速,营收增速,资产负债率,现金,扣非PEG,扣非市赚率,市赚率,财务健康度
301171.SZ,易点天下,119.97,225.16,8.7,3.08,5.57,3.39,0.5,0.0,-39.16,-6.97,39.85,0.09,-32.33,146.44,43.08,0.1
301078.SZ,孩子王,48.85,74.39,3.28,3.83,5.01,3.74,0.62,17.48,68.34,1.19,64.26,0.09,62.65,19.41,9.75,0.14
600250.SH,南京商旅,138.22,1333.32,5.6,3.03,3.09,5.35,,0.0,-14.0,-1.87,53.9,0.09,-712.74,879.27,89.46,0.09
300349.SZ,金卡智能,24.5,29.39,1.52,4.07,4.66,3.3,3.66,0.0,-29.98,10.5,38.24,0.09,2.8,14.46,10.52,0.16
002429.SZ,兆驰股份,31.57,36.28,2.57,5.49,6.1,4.53,1.85,0.0,-32.41,-0.23,39.46,0.09,-158.56,13.22,10.35,0.17
605218.SH,伟时电子,126.03,118.39,3.09,1.07,1.85,0.46,0.21,0.0,-46.12,19.29,49.26,0.09,6.14,220.74,136.25,0.1
300889.SZ,爱克股份,-120.78,-39.46,3.42,-2.27,-2.11,-1.2,,0.0,54.81,-5.84,45.9,0.09,扣非亏损,扣非亏损,亏损,-0.91
920145.BJ,恒合股份,-147.22,-166.17,4.75,-2.71,-2.39,-3.79,,0.0,26.32,2.76,6.45,0.09,扣非亏损,扣非亏损,亏损,-0.91
301395.SZ,仁信新材,76.97,65.33,2.13,1.96,2.07,2.04,0.9,0.0,37.64,12.17,23.55,0.09,5.37,66.61,74.36,0.11
002953.SZ,日丰股份,33.32,37.94,3.18,6.65,7.33,4.48,0.99,0.0,1.14,8.55,46.06,0.09,4.44,11.41,9.09,0.18
002535.SZ,林州重机,32.24,-184.32,4.32,9.78,10.59,3.89,,0.0,-51.94,67.39,82.59,0.09,扣非亏损,危险信号,6.09,0.07
600389.SH,江山股份,18.75,28.71,2.6,8.58,10.86,5.97,2.08,56.96,103.62,-1.17,53.73,0.09,-24.48,3.35,1.73,0.39
000630.SZ,铜陵有色,42.26,57.43,2.76,4.98,5.18,6.4,3.1,45.45,-35.29,3.89,52.18,0.09,14.76,11.54,8.16,0.18
605228.SH,神通科技,40.3,102.3,3.74,6.94,7.18,4.99,,0.0,666.65,1.02,44.1,0.09,100.53,29.48,11.23,0.13
301628.SZ,强达电路,55.17,58.87,6.18,8.57,8.54,7.33,0.49,0.0,31.04,3.89,24.98,0.09,15.13,13.73,12.92,0.17
002662.SZ,峰璟股份,22.92,26.84,1.41,4.55,4.7,4.72,1.86,0.0,-37.66,-3.82,23.58,0.09,-7.03,11.79,9.75,0.18
300512.SZ,中亚股份,68.09,296.66,2.55,1.9,2.82,2.09,0.88,12.5,7.92,-1.07,39.29,0.09,-278.2,156.39,24.15,0.1
300943.SZ,春晖智控,102.6,116.53,5.6,3.52,4.14,3.25,0.93,0.0,-3.24,-1.07,20.51,0.09,-109.2,66.23,49.57,0.11
000663.SZ,永安林业,-96.92,-35.37,2.55,-2.29,-1.96,-1.37,,0.0,53.36,-4.11,29.8,0.09,扣非亏损,扣非亏损,亏损,-0.91
603002.SH,宏昌电子,316.07,306.9,3.0,0.62,0.71,0.53,0.37,0.0,-29.18,-20.76,33.62,0.09,-14.78,986.33,890.33,0.09
301056.SZ,森赫股份,59.52,69.39,5.36,5.95,6.57,4.03,4.89,0.0,-34.44,7.82,37.35,0.09,8.88,23.33,18.12,0.14
301633.SZ,港迪技术,65.74,52.53,4.16,4.02,4.7,3.58,1.2,0.0,-34.91,12.06,23.35,0.09,4.36,26.15,27.97,0.13
300324.SZ,旋极信息,-41.62,-31.19,3.49,-6.22,-6.09,-3.31,,0.0,-13.5,-3.19,46.18,0.09,扣非亏损,扣非亏损,亏损,-0.91
603757.SH,大元泵业,39.67,40.1,3.52,6.77,8.14,5.48,3.49,81.97,-15.59,8.87,28.73,0.09,4.52,5.92,4.87,0.26
002827.SZ,高争民爆,56.54,66.83,9.37,11.72,13.08,5.91,0.59,0.0,15.7,22.5,57.23,0.09,2.97,11.4,8.65,0.18
300948.SZ,冠中生态,-312.45,-41.44,4.15,-1.47,-0.99,0.41,,0.0,11.91,-21.84,49.58,0.09,扣非亏损,扣非亏损,亏损,-0.91
603385.SH,惠达卫浴,132.63,-108.09,0.72,-1.26,0.4,0.23,1.73,0.0,-205.29,-3.57,24.94,0.09,扣非亏损,扣非亏损,663.14,-0.91
688785.SH,恒运昌,207.93,239.2,32.85,11.75,12.61,11.01,,0.0,-21.1,85.96,12.64,0.09,2.78,40.71,32.98,0.12
000852.SZ,石化机械,805.94,2443.67,2.36,-0.38,0.22,0.7,,0.0,-118.86,5.18,70.46,0.09,471.5,-12987.88,7326.72,0.09
002268.SZ,电科网安,-56.68,153.77,2.99,-4.21,-3.86,-4.39,0.37,0.0,1.28,-4.66,20.1,0.09,-33.01,困境反转,亏损,0.13
601126.SH,四方股份,33.49,40.1,6.65,14.61,15.03,6.58,4.25,0.0,14.49,17.42,60.1,0.09,2.3,5.49,4.46,0.27
688596.SH,正帆科技,99.93,47.4,2.65,0.6,1.97,0.86,0.79,0.0,-93.11,43.89,67.85,0.09,1.08,159.06,101.45,0.1
300538.SZ,同益股份,299.16,-30.66,3.04,0.56,0.76,1.52,,0.0,17.22,2.47,58.14,0.09,扣非亏损,危险信号,787.27,0.08
600979.SH,广安爱众,28.51,63.71,1.24,2.67,3.28,2.31,1.23,0.0,-44.78,10.35,61.25,0.09,6.16,47.81,17.38,0.11
002532.SZ,天山铝业,18.7,18.31,2.87,11.45,11.89,7.65,5.08,44.44,8.08,-0.15,48.1,0.09,-124.02,1.6,1.57,0.72
002324.SZ,普利特,44.96,82.08,4.26,7.27,7.29,3.42,0.73,0.0,68.28,21.03,62.68,0.09,3.9,22.59,12.34,0.14
603997.SH,继峰股份,54.72,69.97,3.56,5.52,5.13,2.15,,0.0,150.06,9.99,75.63,0.09,7.0,25.37,21.33,0.13
300111.SZ,向日葵,3244.72,1315.24,8.22,-0.01,0.13,-0.61,,0.0,-104.98,3.79,14.76,0.09,347.43,-193417.82,49918.76,0.09
300121.SZ,阳谷华泰,27.16,32.54,1.66,4.37,4.51,4.78,1.57,25.0,-6.27,9.18,21.45,0.09,3.54,7.44,6.02,0.23
920368.BJ,连城数控,107.9,-568.57,3.24,1.33,2.26,1.11,0.51,0.0,-83.79,46.15,50.25,0.09,扣非亏损,危险信号,95.49,0.09
600222.SH,太龙药业,111.15,97.26,2.36,1.31,1.59,2.17,0.55,0.0,6.38,7.19,55.88,0.09,13.53,148.62,139.81,0.1
300438.SZ,鹏辉能源,151.6,-72.36,4.44,0.31,2.16,0.93,,0.0,18.04,16.85,73.62,0.09,扣非亏损,危险信号,140.37,0.09
300935.SZ,盈建科,-44.28,-39.94,3.53,-6.59,-5.81,-6.64,,0.0,-16.4,-16.01,5.47,0.09,扣非亏损,扣非亏损,亏损,-0.91
002494.SZ,华斯股份,-364.54,165.34,1.75,-0.54,-0.36,-0.22,,0.0,-452.29,9.29,19.14,0.09,17.8,困境反转,亏损,0.09
301150.SZ,中一科技,177.34,-512.82,2.57,0.25,1.09,0.93,,0.0,108.38,29.97,47.37,0.09,扣非亏损,危险信号,325.39,0.09
600415.SH,小商品城,18.8,21.17,3.91,15.89,15.96,10.43,2.46,0.0,48.59,37.95,50.86,0.09,0.56,2.66,2.36,0.47
002491.SZ,通鼎互联,-121.75,478.32,4.28,0.85,-2.6,0.49,,0.0,-35.34,-0.19,55.8,0.09,-2455.44,1130.65,亏损,0.09
605303.SH,园林股份,-19.13,-11.71,3.02,-11.57,-11.17,-5.26,,0.0,-49.61,-6.96,53.44,0.09,扣非亏损,扣非亏损,亏损,-0.91
920873.BJ,中设咨询,-27.6,-15.95,4.31,-11.61,-11.18,-8.89,,0.0,44.09,-28.04,22.58,0.09,扣非亏损,扣非亏损,亏损,-0.91
600468.SH,百利电气,70.97,-57.92,3.9,4.0,4.21,2.64,,0.0,-17.83,-5.67,44.77,0.09,扣非亏损,危险信号,33.72,0.06
300659.SZ,中孚信息,-19.08,-33.79,3.18,-13.21,-11.76,-8.01,,0.0,20.53,-7.07,31.7,0.09,扣非亏损,扣非亏损,亏损,-0.91
603885.SH,吉祥航空,21.74,53.51,3.21,10.42,11.63,4.62,1.39,0.0,-17.9,41.49,80.33,0.09,1.29,10.27,3.74,0.19
603333.SH,尚纬股份,-142.99,-119.79,2.37,-1.49,-1.24,-0.58,0.18,0.0,-265.91,-8.64,27.88,0.09,扣非亏损,扣非亏损,亏损,-0.91
300880.SZ,迦南智能,40.89,47.39,3.55,5.74,6.36,4.69,2.03,0.0,-63.65,14.94,26.06,0.09,3.17,16.52,12.86,0.15
000661.SZ,长春高新,23.64,29.17,1.6,5.52,5.03,3.76,2.61,0.0,-55.33,8.43,17.55,0.09,3.46,10.58,9.4,0.19
002472.SZ,双环传动,28.8,30.32,3.58,9.19,9.77,6.53,0.74,26.47,19.22,17.89,44.92,0.09,1.69,3.3,2.95,0.39
600558.SH,大西洋,29.25,28.22,2.33,5.53,5.95,6.31,2.46,49.95,86.05,1.15,19.93,0.09,24.49,5.1,4.92,0.29
002498.SZ,汉缆股份,29.71,40.71,2.18,4.93,5.67,4.54,1.18,0.0,-20.87,1.2,32.85,0.09,34.02,16.52,10.48,0.15
688458.SH,美芯晟,335.27,-103.85,2.49,-0.17,0.55,-0.04,,0.0,94.0,3.74,5.98,0.09,扣非亏损,扣非亏损,1219.15,-0.91
000058.SZ,深赛格,88.58,174.57,5.27,3.9,4.54,3.64,0.16,0.0,92.93,-4.64,50.14,0.09,-37.6,89.47,39.02,0.1
300451.SZ,创业慧康,-50.57,-21.44,1.91,-3.26,-2.8,-2.01,,0.0,-382.12,-8.58,20.27,0.09,扣非亏损,扣非亏损,亏损,-0.91
301277.SZ,新天地,40.0,43.68,3.22,5.46,6.02,5.74,2.89,0.0,-36.65,12.48,12.74,0.09,3.5,16.01,13.29,0.15
920185.BJ,贝特瑞,33.72,39.29,2.77,5.22,6.12,4.19,2.04,0.0,-5.09,33.09,57.58,0.09,1.19,15.05,11.02,0.16
600143.SH,金发科技,34.01,46.9,2.53,5.34,5.57,2.87,1.16,0.0,55.76,15.13,66.32,0.09,3.1,17.56,12.21,0.15
688082.SH,盛美上海,50.03,57.24,6.36,10.57,15.25,8.73,0.65,0.0,49.48,52.36,27.08,0.09,1.09,10.83,6.56,0.18
688268.SH,华特气体,46.99,46.15,4.05,5.86,6.02,4.74,1.31,0.0,-10.04,3.34,41.84,0.09,13.81,15.75,15.61,0.15
688226.SH,威腾电气,395.32,-1822.11,4.31,0.61,0.82,1.26,0.6,0.0,-90.42,42.25,64.95,0.09,扣非亏损,危险信号,964.19,0.09
605507.SH,国邦医药,16.23,17.77,1.75,7.59,8.24,7.32,2.91,0.0,9.59,10.2,21.78,0.09,1.74,4.68,3.94,0.3
002606.SZ,大连电瓷,33.68,34.85,2.85,5.8,6.52,4.37,0.8,10.0,-23.63,25.64,43.1,0.09,1.36,6.01,5.17,0.26
605007.SH,五洲特纸,26.42,35.29,1.86,4.76,5.07,2.99,1.95,0.0,-46.38,29.46,70.06,0.09,1.2,14.84,10.42,0.16
688266.SH,泽璟制药,-183.83,-122.26,19.93,-10.04,-7.78,-4.1,,0.0,-15.42,41.52,61.87,0.09,扣非亏损,扣非亏损,亏损,-0.91
301487.SZ,盟固利,920.72,-122.79,5.27,0.56,0.39,0.15,,0.0,76.92,-12.2,46.32,0.09,扣非亏损,危险信号,4721.66,0.09
601899.SH,紫金矿业,19.28,23.14,5.8,22.08,25.45,13.05,2.51,25.09,43.71,10.71,53.01,0.09,2.16,1.05,0.76,1.04
300592.SZ,华凯易佰,84.65,536.33,2.41,1.51,2.1,0.92,0.35,0.0,-81.12,66.29,41.69,0.09,8.09,709.33,80.62,0.09
920571.BJ,国航远洋,19172.96,-81.34,3.8,-2.09,0.01,1.83,,0.0,-151.52,-12.49,65.92,0.09,扣非亏损,扣非亏损,3834591.08,-0.91
600149.SH,廊坊发展,1397.35,145.18,8.77,0.4,0.47,2.65,,0.0,128.09,30.39,42.63,0.09,4.78,731.4,5946.18,0.09
300084.SZ,海默科技,-68.14,-23.69,4.39,-4.64,-4.72,-2.54,,0.0,-5.05,0.76,36.87,0.09,扣非亏损,扣非亏损,亏损,-0.91
920906.BJ,舜宇精工,36.13,-252.9,3.04,2.18,6.49,3.45,0.52,0.0,396.09,0.47,53.75,0.09,扣非亏损,危险信号,11.13,0.09
688076.SH,ST诺泰,18.51,22.39,3.53,15.15,15.41,8.99,1.73,0.0,23.2,39.02,53.15,0.09,0.57,2.96,2.4,0.43
000993.SZ,闽东电力,27.3,38.43,2.07,5.55,5.86,5.37,,0.0,24.91,23.67,27.79,0.09,1.62,13.84,9.32,0.16
300033.SZ,同花顺,115.59,80.67,24.78,15.13,16.1,11.69,1.04,10.75,85.5,6.34,34.49,0.09,12.73,5.33,7.18,0.28
000796.SZ,凯撒旅业,-274.47,-90.23,11.82,-6.18,-3.65,0.05,,0.0,-91.5,11.59,50.16,0.09,扣非亏损,扣非亏损,亏损,-0.91
001231.SZ,农心科技,45.72,41.68,2.45,3.69,4.06,3.05,1.2,0.0,4.68,6.4,31.67,0.09,6.51,22.61,22.52,0.13
920826.BJ,盖世食品,39.45,44.5,5.0,9.14,10.03,7.36,0.96,0.0,25.57,16.47,33.06,0.09,2.7,9.74,7.87,0.19
301096.SZ,百诚医药,670.17,-25.87,2.12,-0.54,0.24,0.54,,0.0,-111.13,36.2,34.49,0.09,扣非亏损,扣非亏损,5584.74,-0.91
301082.SZ,久盛电气,96.68,-146.5,4.06,3.05,3.15,1.83,0.75,0.0,57.67,-0.65,73.09,0.09,扣非亏损,危险信号,61.38,0.08
003039.SZ,顺控发展,35.84,38.88,3.54,7.19,7.47,5.7,1.61,0.0,1.58,11.75,51.21,0.09,3.31,10.82,9.6,0.18
688272.SH,富吉瑞,-34.98,-44.79,4.92,-10.47,-10.0,-6.31,,0.0,-642.95,22.68,38.08,0.09,扣非亏损,扣非亏损,亏损,-0.91
300447.SZ,全信股份,140.88,-610.23,2.96,1.63,1.58,1.23,0.35,0.0,-43.12,-0.36,21.68,0.09,扣非亏损,危险信号,178.33,0.09
002579.SZ,中京电子,204.52,418.94,2.89,0.6,1.06,1.13,,0.0,114.89,0.46,60.47,0.09,915.52,1392.52,385.88,0.09
688515.SH,裕太微,-53.72,-44.06,6.08,-9.26,-8.2,-7.52,,0.0,14.66,23.78,9.5,0.09,扣非亏损,扣非亏损,亏损,-0.91
600684.SH,珠江股份,110.09,361.24,10.84,4.32,7.67,3.7,,0.0,-38.78,-35.66,70.57,0.09,-10.13,167.29,28.71,0.1
601086.SH,国芳集团,82.0,108.21,4.19,2.94,3.82,3.05,1.36,0.0,-18.96,-5.15,42.76,0.09,-21.03,73.69,42.93,0.1
300002.SZ,神州泰岳,24.11,23.06,3.07,9.53,9.9,10.31,0.86,0.0,-16.42,14.56,11.09,0.09,1.58,4.84,4.87,0.3
605399.SH,晨光新材,-98.89,-55.74,2.08,-3.1,-1.55,-1.06,0.86,0.0,-412.1,-8.64,34.61,0.09,扣非亏损,扣非亏损,亏损,-0.91
002299.SZ,圣农发展,13.6,22.0,1.85,5.8,10.62,5.92,2.76,0.0,71.72,8.87,51.58,0.09,2.48,7.59,2.56,0.22
600882.SH,妙可蓝多,49.2,110.53,2.5,2.65,3.9,3.5,,0.0,92.44,-5.77,45.4,0.09,-19.16,83.38,25.23,0.1
688302.SH,海创药业,-33.63,-26.14,4.04,-10.46,-8.65,-7.66,,0.0,28.35,,19.24,0.09,扣非亏损,扣非亏损,亏损,-0.91
002258.SZ,利尔化学,25.22,27.32,1.64,4.97,4.86,3.82,2.42,59.17,229.26,8.89,43.47,0.09,3.08,5.5,5.19,0.27
600130.SH,*ST波导,672.16,-269.34,3.28,-0.51,0.37,0.17,,0.0,31.83,-22.55,13.41,0.09,扣非亏损,扣非亏损,3633.27,-0.91
600867.SH,通化东宝,10.47,94.78,2.35,4.76,17.77,18.73,3.1,0.0,137.92,-12.98,12.46,0.09,-7.3,39.85,1.18,0.11
000883.SZ,湖北能源,10.34,34.33,0.93,4.74,6.82,4.87,2.01,0.0,-33.33,-3.68,56.27,0.09,-9.32,14.47,3.03,0.16
603557.SH,ST起步,-15.71,-15.72,21.89,-153.74,-97.45,-14.2,,0.0,-81.8,-25.04,88.95,0.09,扣非亏损,扣非亏损,亏损,-0.91
603005.SH,晶方科技,53.64,63.89,4.32,5.58,6.1,6.01,0.3,0.0,57.68,-5.11,12.8,0.09,-12.51,22.89,17.59,0.13
300888.SZ,稳健医疗,20.85,25.49,1.77,6.0,6.38,5.14,1.54,53.26,43.93,7.67,33.87,0.09,3.32,4.25,3.27,0.32
301585.SZ,蓝宇股份,53.53,56.91,3.51,4.48,4.95,4.68,0.86,0.0,-45.7,20.73,16.68,0.09,2.74,25.4,21.63,0.13
920651.BJ,天罡股份,31.7,27.3,4.3,9.66,10.26,8.72,2.83,0.0,42.34,7.47,27.39,0.09,3.65,5.65,6.18,0.27
603421.SH,鼎信通讯,-11.4,-9.21,1.83,-11.46,-11.33,-7.64,,0.0,-1055.58,4.0,27.66,0.09,扣非亏损,扣非亏损,亏损,-0.91
001298.SZ,好上好,136.74,195.29,5.56,2.93,3.08,2.89,0.24,0.0,83.19,3.01,55.73,0.09,64.83,133.18,88.79,0.1
300635.SZ,中达安,1540.63,-40.93,5.33,0.24,0.26,1.16,,0.0,-57.87,4.89,70.44,0.09,扣非亏损,危险信号,11851.01,0.09
605183.SH,确成股份,16.64,15.82,2.43,11.49,11.35,11.3,1.78,0.0,8.33,13.75,11.74,0.09,1.15,2.75,2.93,0.45
000969.SZ,安泰科技,65.39,94.72,4.34,4.58,5.12,2.85,1.79,0.0,11.39,6.7,44.0,0.09,14.14,41.32,25.54,0.11
603062.SH,麦加芯彩,24.3,25.91,2.62,6.97,7.9,6.32,4.56,65.38,24.32,13.16,31.08,0.09,1.97,3.72,3.08,0.36
002826.SZ,易明医药,33.58,87.05,4.56,5.18,10.54,10.28,0.97,0.0,144.5,-2.11,24.24,0.09,-41.33,33.58,6.37,0.12
603556.SH,海兴电力,19.33,21.21,2.56,9.67,10.02,6.46,1.89,0.0,-10.16,20.73,24.69,0.09,1.02,4.39,3.86,0.32
600933.SH,爱柯迪,15.93,18.15,2.04,9.6,10.46,6.36,1.84,0.0,24.74,28.65,42.26,0.09,0.63,3.78,3.05,0.35
002887.SZ,绿茵生态,31.62,31.83,1.29,2.39,2.89,2.81,3.59,0.0,28.78,-10.4,38.29,0.09,-3.06,26.61,21.88,0.13
601018.SH,宁波港,14.84,18.2,0.96,4.52,4.89,4.81,2.81,23.08,9.06,7.23,25.77,0.09,2.52,4.02,3.03,0.34
002297.SZ,博云新材,165.28,-136.09,3.15,0.67,1.45,1.18,,0.0,143.53,14.36,31.11,0.09,扣非亏损,危险信号,227.97,0.09
603596.SH,伯特利,33.74,23.8,3.99,12.2,12.52,7.07,0.78,0.0,21.24,42.16,51.29,0.09,0.56,3.9,5.39,0.34
002262.SZ,恩华药业,15.68,18.93,2.85,14.39,14.31,13.91,1.48,0.0,7.59,13.17,11.06,0.09,1.44,2.63,2.19,0.47
603043.SH,广州酒家,17.0,22.17,2.57,11.26,11.44,7.81,2.89,0.0,1.73,9.81,44.67,0.09,2.26,3.94,2.97,0.34
603956.SH,威派格,-38.47,-24.62,1.91,-4.54,-3.86,-2.59,,0.0,50.53,1.73,36.2,0.09,扣非亏损,扣非亏损,亏损,-0.91
002251.SZ,步步高,45.33,-19.64,1.66,-0.35,2.81,2.12,,0.0,91.06,-29.26,61.07,0.09,扣非亏损,扣非亏损,32.26,-0.91
300532.SZ,今天国际,18.52,29.09,2.91,10.63,12.3,5.39,5.25,48.78,-26.68,18.37,60.02,0.09,1.58,2.74,1.51,0.45
300107.SZ,建新股份,512.06,429.96,2.71,0.32,0.4,-0.24,0.17,0.0,-58.26,-0.39,9.72,0.09,-1096.75,2668.08,2560.3,0.09
301538.SZ,骏鼎达,36.65,35.31,4.88,10.06,10.4,10.64,1.04,0.0,19.45,23.16,14.54,0.09,1.52,7.02,7.05,0.23
300094.SZ,国联水产,-3.89,-2.82,4.03,-56.66,-55.81,-19.9,,0.0,-752.8,-6.58,66.88,0.09,扣非亏损,扣非亏损,亏损,-0.91
920475.BJ,三友科技,-175.58,-391.92,4.83,-2.28,-2.04,-1.33,0.31,0.0,-181.84,13.71,34.43,0.09,扣非亏损,扣非亏损,亏损,-0.91
601116.SH,三江购物,63.07,91.77,2.99,2.75,3.56,2.7,1.84,0.0,-10.32,-0.92,36.61,0.09,-99.97,66.76,35.46,0.1
300142.SZ,沃森生物,89.98,-435.55,2.02,0.74,1.72,0.53,0.08,109.89,-68.5,-1.22,17.42,0.09,扣非亏损,危险信号,52.31,0.09
002259.SZ,升达林业,156.69,89.56,15.08,13.8,7.45,4.07,,0.0,-12.86,-13.86,69.91,0.09,-6.46,12.98,42.06,0.17
920489.BJ,佳先股份,414.19,-300.4,4.8,0.16,0.83,1.05,1.1,0.0,-95.03,6.7,57.32,0.09,扣非亏损,危险信号,998.04,0.09
300816.SZ,艾可蓝,52.46,96.31,5.71,6.5,8.56,5.51,0.45,4.46,41.61,4.3,60.77,0.09,22.41,14.82,6.13,0.16
301366.SZ,一博科技,320.9,755.16,3.44,0.38,0.79,0.94,0.92,0.0,-87.67,7.9,23.66,0.09,95.6,3968.24,812.4,0.09
300891.SZ,惠云钛业,-253.66,-170.63,2.99,-0.97,-0.84,0.18,0.12,0.0,-197.25,2.37,56.45,0.09,扣非亏损,扣非亏损,亏损,-0.91
300618.SZ,寒锐钴业,44.25,70.35,2.52,3.16,4.3,3.41,0.44,0.0,-14.93,11.78,37.83,0.09,5.97,44.49,20.58,0.11
002019.SZ,亿帆医药,27.83,,1.63,3.64,4.44,3.7,1.87,0.0,25.17,6.63,33.55,0.09,,,12.54,0.17
300957.SZ,贝泰妮,49.38,216.5,2.94,3.03,4.48,4.15,1.41,0.0,-46.17,12.89,24.15,0.09,16.8,142.9,22.05,0.09
600467.SH,好当家,107.01,175.46,1.13,0.44,0.82,2.02,0.39,0.0,149.57,5.6,47.61,0.09,31.34,790.19,261.01,0.09
002327.SZ,富安娜,27.16,14.88,1.66,3.94,4.21,4.39,7.01,0.0,-44.35,-1.79,23.89,0.09,-8.32,7.55,12.9,0.22
601500.SH,通用股份,49.36,83.99,1.18,1.52,1.83,1.73,,0.0,-74.9,19.04,58.04,0.09,4.41,110.61,53.94,0.1
301380.SZ,挖金客,105.79,69.72,5.18,3.27,3.67,3.5,0.71,0.0,-24.75,14.69,45.13,0.09,4.75,42.62,57.65,0.11
603328.SH,依顿电子,22.53,26.27,2.62,8.52,8.78,7.21,2.01,0.0,-1.07,6.47,35.63,0.09,4.06,6.17,5.13,0.25
000538.SZ,云南白药,15.55,20.6,2.49,11.58,11.92,10.5,4.0,0.0,6.68,3.29,25.36,0.09,6.27,3.56,2.61,0.37
300848.SZ,美瑞新材,93.06,94.8,4.69,3.5,3.98,1.69,0.43,0.0,11.06,8.7,60.93,0.09,10.9,54.12,46.77,0.11
000878.SZ,云南铜业,26.08,51.13,3.52,8.82,10.3,5.45,2.21,0.0,-9.31,12.08,65.48,0.09,4.23,11.6,5.06,0.17
300619.SZ,金银河,525.64,-126.8,5.25,0.56,0.75,1.44,,0.0,149.41,16.33,62.2,0.09,扣非亏损,危险信号,1401.72,0.09
603970.SH,中农立华,17.98,21.05,2.34,9.48,9.73,4.28,3.17,0.0,-13.15,7.77,73.87,0.09,2.71,4.44,3.7,0.31
688138.SH,清溢光电,47.8,52.28,3.35,6.18,6.54,5.96,0.74,31.03,20.88,27.24,29.02,0.09,1.92,8.46,7.31,0.21
688147.SH,微导纳米,91.86,117.69,10.53,6.67,9.06,3.28,0.16,0.0,62.57,88.7,70.0,0.09,1.33,35.31,20.28,0.12
002681.SZ,奋达科技,664.33,-233.35,4.97,0.38,0.53,0.77,,0.0,-93.03,-7.23,50.54,0.09,扣非亏损,危险信号,2506.92,0.09
002642.SZ,荣联科技,650.03,-3522.3,4.72,0.19,0.55,0.37,,0.0,-77.99,-15.67,54.1,0.09,扣非亏损,危险信号,2363.74,0.09
300467.SZ,迅游科技,270.81,621.35,9.99,2.3,2.8,1.29,,0.0,-18.6,-13.46,20.15,0.09,-46.17,540.96,193.44,0.09
300824.SZ,北鼎股份,32.71,33.47,5.02,11.13,11.64,9.02,2.04,49.39,132.46,-3.01,29.36,0.09,-11.12,3.01,2.81,0.42
300303.SZ,聚飞光电,34.8,44.19,2.61,3.67,5.62,3.7,1.91,0.0,-13.83,9.33,40.14,0.09,4.74,24.11,12.39,0.13
688789.SH,宏华数科,26.56,30.42,4.0,10.89,11.69,9.88,1.21,21.43,20.07,25.93,25.4,0.09,1.17,2.79,2.27,0.45
000561.SZ,烽火电子,-81.87,-50.76,3.04,-4.21,-3.4,-1.37,0.11,0.0,-172.01,-6.63,50.45,0.09,扣非亏损,扣非亏损,亏损,-0.91
920396.BJ,常辅股份,68.67,64.88,7.09,7.6,7.99,4.8,1.57,0.0,6.92,4.32,43.25,0.09,15.0,17.07,17.19,0.15
600559.SH,老白干酒,28.06,25.7,2.84,6.86,7.42,5.7,2.62,0.0,-29.99,10.14,40.16,0.09,2.53,7.49,7.56,0.22
603579.SH,荣泰健康,33.06,47.89,1.78,2.75,5.24,4.15,4.48,0.0,-48.28,-14.88,17.81,0.09,-3.22,34.78,12.62,0.12
300885.SZ,海昌新材,112.7,104.72,7.28,4.48,4.88,4.73,1.1,0.0,-7.23,1.46,6.45,0.09,71.74,46.7,46.19,0.11
002897.SZ,意华股份,27.55,66.42,3.6,9.73,10.52,5.93,0.24,0.0,16.67,11.03,60.34,0.09,6.02,13.65,5.24,0.16
301379.SZ,天山电子,36.79,37.14,3.88,7.24,8.02,5.47,1.98,0.0,13.62,10.85,34.5,0.09,3.42,10.25,9.17,0.18
688097.SH,博众精工,39.8,54.16,3.72,4.44,7.23,3.62,0.86,25.55,3.46,9.56,59.68,0.09,5.67,12.2,5.5,0.17
300654.SZ,世纪天鸿,132.44,159.46,5.34,2.38,3.03,3.04,0.55,0.0,-26.26,9.03,26.66,0.09,17.66,134.14,87.42,0.09
920208.BJ,青矩技术,24.84,18.27,3.37,9.99,10.2,8.04,3.21,0.0,6.06,6.19,29.23,0.09,2.95,3.66,4.87,0.36
002006.SZ,精工科技,53.81,54.92,4.32,5.15,6.11,4.09,0.91,0.0,97.05,4.65,42.47,0.09,11.8,21.34,17.62,0.13
603390.SH,通达电气,60.88,79.23,2.76,3.02,3.41,2.98,0.64,55.56,473.73,8.19,14.71,0.09,9.68,26.24,17.85,0.12
002026.SZ,山东威达,22.09,23.76,1.79,5.28,6.16,4.1,1.42,0.0,13.52,-11.9,19.74,0.09,-2.0,8.99,7.17,0.2
688550.SH,瑞联新材,22.06,24.26,2.55,8.83,8.95,8.82,2.27,0.0,59.26,-0.2,10.29,0.09,-118.55,5.49,4.93,0.27
920547.BJ,无锡晶海,29.7,32.27,2.74,7.32,7.07,6.48,1.28,0.0,55.28,-3.82,17.89,0.09,-8.46,8.81,8.4,0.2
002938.SZ,鹏鼎控股,42.45,35.42,4.17,6.93,7.47,5.63,2.74,0.0,16.37,2.28,31.42,0.09,15.55,10.22,11.37,0.18
688261.SH,东微半导,177.35,623.69,3.89,0.7,1.66,1.33,0.09,0.0,374.48,11.0,6.84,0.09,56.69,1789.65,213.67,0.09
300583.SZ,赛托生物,-29.18,-14.86,1.53,-4.02,-3.84,-1.75,0.05,-3.57,-1414.42,-5.84,37.15,0.09,扣非亏损,扣非亏损,亏损,-0.91
