股票代码,股票简称,美股@最新价,美股@最新涨跌幅,美股@gics行业(三级),美股@所属概念,美股@总市值[20230919],美股@gics行业(一级),美股@gics行业(二级),美股@gics行业(四级),美股@上市日期,美股@总股本[20230919],美股@流通股[20230919],美股@上市板块,market_code,code
NOGN.O,Nogin,0.535,-14.861,信息技术服务,,6100907.45,信息技术,软件与服务,互联网服务和基础设施,20210920,11092559.0,11092559.0,Nasdaq Global Market,185,NOGN
CFRX.O,Contrafect,0.586,-3.565,生物科技,,6080328.104,医疗保健,制药、生物科技和生命科学,生物科技,20140912,10704803.0,10704803.0,Nasdaq Capital Market,186,CFRX
OP.O,OceanPal,1.710,1.183,海上运输,,6069617.64,工业,运输,海上运输,20211130,3549484.0,3549484.0,Nasdaq Capital Market,186,OP
AYTU.O,Aytu BioPharma,1.630,-2.439,制药,,6048286.4,医疗保健,制药、生物科技和生命科学,制药,20171020,3780179.0,3780179.0,Nasdaq Capital Market,186,AYTU
BNTC.O,Benitec Biopharma,2.910,0.000,制药,,6005559.06,医疗保健,制药、生物科技和生命科学,制药,20150818,2063766.0,2063766.0,Nasdaq Capital Market,186,BNTC
NXTP.O,NextPlay,1.070,1.000,互动媒体与服务,,5999292.94,通讯业务,媒体与娱乐,互动媒体与服务,20180222,5939894.0,5939894.0,Nasdaq Capital Market,186,NXTP
SSY.A,SunLink卫生系统,0.850,-0.817,医疗保健提供商与服务,,5976862.55,医疗保健,医疗保健设备与服务,保健护理机构,19780106,7031603.0,7031603.0,主板,170,SSY
PRFX.O,PainReform,3.820,-3.769,制药,,5968472.84,医疗保健,制药、生物科技和生命科学,制药,20200901,1558348.0,1558348.0,Nasdaq Capital Market,186,PRFX
SILO.O,Silo Pharma,1.920,0.000,制药,,5875626.33,医疗保健,制药、生物科技和生命科学,制药,20220927,3108797.0,3108797.0,Nasdaq Capital Market,186,SILO
AUMN.A,黄金矿产,0.665,2.093,金属与采矿,稀有金属[US],5855531.116,原材料,原材料,贵重金属与矿石,20100319,8573252.0,8573252.0,主板,170,AUMN
AEY.O,先进科技,0.399,-0.510,通信设备,,5843184.36,信息技术,技术硬件与设备,通信设备,20070912,14982524.0,14982524.0,Nasdaq Capital Market,186,AEY
ADXN.O,Addex Therapeutics,0.394,-3.421,制药,,5827716.4343211,医疗保健,制药、生物科技和生命科学,制药,20200129,15879336.3333,15879336.3333,Nasdaq Capital Market,186,ADXN
LGHL.O,狮子集团控股,1.560,-9.827,资本市场,,5821728.12,金融,金融服务,投资银行业与经纪业,20200617,3731877.0,3731877.0,Nasdaq Capital Market,186,LGHL
NEXI.O,NexImmune,0.225,0.451,生物科技,,5815494.573,医疗保健,制药、生物科技和生命科学,生物科技,20210212,26078451.0,26078451.0,Nasdaq Capital Market,186,NEXI
GCTK.O,GlucoTrack,0.271,-0.714,医疗保健设备与用品,,5808029.654,医疗保健,医疗保健设备与服务,医疗保健设备,20211210,20892193.0,20892193.0,Nasdaq Capital Market,186,GCTK
MRAI.O,Marpai,0.788,0.639,医疗保健技术,,5717581.432,医疗保健,医疗保健设备与服务,医疗保健技术,20211027,7255814.0,7255814.0,Nasdaq Capital Market,186,MRAI
OXBR.O,Oxbridge Re,0.960,0.000,保险,,5635424.64,金融,保险,再保险,20140509,5870234.0,5870234.0,Nasdaq Capital Market,186,OXBR
NURO.O,神经矩阵医疗,0.656,-3.529,医疗保健设备与用品,,5631772.464,医疗保健,医疗保健设备与服务,医疗保健用品,20040722,8585019.0,8585019.0,Nasdaq Capital Market,186,NURO
DMK.O,DMK Pharmaceuticals,0.601,-9.760,制药,抗疫概念[US],5624838.933,医疗保健,制药、生物科技和生命科学,制药,20131213,9359133.0,9359133.0,Nasdaq Capital Market,186,DMK
TANH.O,碳博士控股,1.570,3.871,化学制品,"中概股指数[US],美国中资概念股",5610788.82,原材料,原材料,商品化工,20150324,3484962.0,3484962.0,Nasdaq Capital Market,186,TANH
YOSH.O,Yoshiharu Global,0.420,0.000,酒店、餐馆与休闲,,5564200.0,非日常生活消费品,消费者服务,餐馆,20220909,12940000.0,12940000.0,Nasdaq Capital Market,186,YOSH
VRAX.O,Virax Biolabs Group,0.356,-1.111,医疗保健设备与用品,,5534763.684,医疗保健,医疗保健设备与服务,医疗保健用品,20220721,15547089.0,15547089.0,Nasdaq Capital Market,186,VRAX
UUU.A,通用安全仪器,2.390,1.271,电子设备、仪器和元件,,5527799.93,信息技术,技术硬件与设备,电子设备和仪器,20030728,2312887.0,2312887.0,主板,170,UUU
WAVD.O,WaveDancer,0.274,-2.069,信息技术服务,,5526592.856,信息技术,软件与服务,互联网服务和基础设施,20211126,19459834.0,19459834.0,Nasdaq Capital Market,186,WAVD
SLE.O,Super League,1.520,-7.879,娱乐,,5456800.0,通讯业务,媒体与娱乐,互动家庭娱乐,20190226,3590000.0,3590000.0,Nasdaq Capital Market,186,SLE
CETX.O,Cemtrex,5.450,17.204,电子设备、仪器和元件,,5440920.3,信息技术,技术硬件与设备,电子设备和仪器,20150625,998334.0,998334.0,Nasdaq Capital Market,186,CETX
CNSP.O,CNS Pharmaceuticals,1.290,-9.155,制药,,5420489.7,医疗保健,制药、生物科技和生命科学,制药,20191108,4201930.0,4201930.0,Nasdaq Capital Market,186,CNSP
PALI.O,Palisade Bio,0.599,-2.970,生物科技,,5410432.608,医疗保健,制药、生物科技和生命科学,生物科技,20150713,9201416.0,9201416.0,Nasdaq Capital Market,186,PALI
IKT.O,Inhibikase,1.010,-33.553,生物科技,,5401809.26,医疗保健,制药、生物科技和生命科学,生物科技,20201223,5348326.0,5348326.0,Nasdaq Capital Market,186,IKT
XTLB.O,Xtl生物制药,0.980,0.000,制药,,5394570.8751,医疗保健,制药、生物科技和生命科学,制药,20130715,5449061.49,5449061.49,Nasdaq Capital Market,186,XTLB
SPCB.O,Supercom,0.450,3.472,电子设备、仪器和元件,,5372988.276,信息技术,技术硬件与设备,电子设备和仪器,20130917,12020108.0,12020108.0,Nasdaq Capital Market,186,SPCB
GMBL.O,电子竞技娱乐,0.112,0.000,酒店、餐馆与休闲,博彩[US],5346638.08,非日常生活消费品,消费者服务,赌场与赌博,20200414,47737840.0,47737840.0,Nasdaq Capital Market,186,GMBL
PIXY.O,兼职精灵,0.439,1.152,专业服务,,5345786.849,工业,商业和专业服务,人力资源与就业服务,20170630,12177191.0,12177191.0,Nasdaq Capital Market,186,PIXY
SVFD.O,Save Foods,0.550,2.430,化学制品,,5309687.628,原材料,原材料,化肥与农用药剂,20210514,9689211.0,9689211.0,Nasdaq Capital Market,186,SVFD
JAGX.O,Jaguar Health,0.277,-1.773,医疗保健设备与用品,,5295472.156,医疗保健,医疗保健设备与服务,医疗保健用品,20150513,19117228.0,19117228.0,Nasdaq Capital Market,186,JAGX
QNRX.O,Quoin制药,5.480,0.414,生物科技,,5273713.64136,医疗保健,制药、生物科技和生命科学,生物科技,20160729,987217.08,987217.08,Nasdaq Capital Market,186,QNRX
PXMD.O,PaxMedica,0.306,-1.608,制药,,5265222.354,医疗保健,制药、生物科技和生命科学,制药,20220826,17206609.0,17206609.0,Nasdaq Capital Market,186,PXMD
RELI.O,Reliance,2.410,2.066,保险,,5252079.56,金融,保险,保险经纪商,20210209,2126348.0,2126348.0,Nasdaq Capital Market,186,RELI
WINT.O,Windtree,1.020,-3.774,生物科技,,5251183.38,医疗保健,制药、生物科技和生命科学,生物科技,20200520,5148219.0,5148219.0,Nasdaq Capital Market,186,WINT
SNGX.O,Soligenix,0.524,4.102,制药,,5245708.182,医疗保健,制药、生物科技和生命科学,制药,20161214,9841854.0,9841854.0,Nasdaq Capital Market,186,SNGX
MYSZ.O,My Size,1.170,0.000,软件,,5214446.64,信息技术,软件与服务,应用软件,20160725,4456792.0,4456792.0,Nasdaq Capital Market,186,MYSZ
SWVL.O,Swvl Holdings,0.970,-0.208,软件,,5188801.92,信息技术,软件与服务,应用软件,20210315,5405002.0,5405002.0,Nasdaq Capital Market,186,SWVL
JVA.O,Coffee控股,0.880,-1.099,饮料,,5137739.1,日常消费品,食品、饮料与烟草,软饮料与不含酒精饮料,20100316,5708599.0,5708599.0,Nasdaq Capital Market,186,JVA
AMBO.A,安博教育,0.180,-2.703,综合消费者服务,"中概股指数[US],内地教育[US],美国中资概念股",5105477.16,非日常生活消费品,消费者服务,教育服务,20180601,28363762.0,28363762.0,主板,170,AMBO
CLVR.O,Clever Leaves,3.390,-6.868,制药,,5085000.0,医疗保健,制药、生物科技和生命科学,制药,20201218,1500000.0,1500000.0,Nasdaq Capital Market,186,CLVR
BTOG.O,Bit Origin,1.590,0.658,专业服务,"美国中资概念股,中概股指数[US]",5049000.0,工业,商业和专业服务,数据处理和外包服务,20190814,3300000.0,3300000.0,Nasdaq Capital Market,186,BTOG
CDIO.O,Cardio Diagnostics,0.428,-5.934,生物科技,,5040219.164,医疗保健,制药、生物科技和生命科学,生物科技,20220114,11776213.0,11776213.0,Nasdaq Capital Market,186,CDIO
