证券代码,股票简称,PE,扣非PE,PB,扣非ROE,ROE,ROA,股息率,分红比例,毛利率,净利率,扣非净利润增速,营收增速,商誉占比,资产负债率,扣非PEG,扣非市赚率,市赚率
300258.SZ,精锻科技,29.85,34.73,1.28,2.5,3.07,2.67,1.16,30.89,25.06,7.9,-43.87,20.56,,43.71,1.69,13.88,9.72
300346.SZ,南大光电,68.9,154.4,9.98,8.26,11.3,7.26,0.31,15.2,42.64,20.5,19.92,44.6,2.78,53.21,3.46,18.7,6.1
002252.SZ,上海莱士,20.91,29.29,1.64,5.72,6.03,6.44,0.38,19.79,40.64,29.12,-3.64,43.23,16.27,6.56,0.68,5.12,3.47
301329.SZ,信音电子,55.09,55.71,2.32,3.19,3.01,2.72,1.06,64.09,25.12,8.05,-25.25,-3.31,,13.9,-16.83,17.49,18.3
688336.SH,三生国健,49.35,56.09,3.02,4.35,4.67,3.59,0.22,15.72,75.38,23.71,44.46,17.84,0.01,14.74,3.14,12.89,10.57
300409.SZ,道氏技术,47.28,79.72,1.72,2.18,2.47,2.31,1.8,92.74,17.89,2.85,429.78,36.32,6.53,53.83,2.2,36.58,19.14
002409.SZ,雅克科技,33.27,39.97,4.58,10.7,8.42,6.82,0.65,29.31,32.88,15.07,56.23,30.08,20.64,37.69,1.33,3.74,3.95
300307.SZ,慈星股份,15.33,56.25,1.97,4.18,9.93,7.16,,27.72,31.57,18.37,54.58,22.97,0.01,36.05,2.45,13.44,1.54
601968.SH,宝钢包装,29.89,38.4,1.65,3.95,4.7,2.73,1.91,50.31,8.37,2.77,-26.14,11.21,,55.52,3.43,9.73,6.36
301206.SZ,三元生物,53.91,60.45,1.29,1.75,1.81,1.65,0.87,58.33,10.3,15.73,94.68,9.4,,5.03,6.43,34.47,29.79
301007.SZ,德迈仕,46.39,51.97,3.85,5.49,6.18,4.23,0.89,47.21,19.85,7.83,-6.76,13.37,7.72,35.76,3.89,9.47,7.51
301020.SZ,密封科技,35.35,40.16,3.39,6.58,7.16,5.37,0.92,47.77,31.79,16.84,18.2,2.82,,22.56,14.22,6.1,4.94
002972.SZ,科安达,29.03,38.15,2.23,5.05,5.59,5.64,2.32,65.37,65.15,34.31,61.44,-10.22,,14.39,-3.73,7.55,5.19
300824.SZ,北鼎股份,57.98,57.21,4.44,4.81,5.48,4.2,2.21,81.3,47.36,7.68,-25.2,-0.49,,25.22,-116.56,11.9,10.58
300982.SZ,苏文电能,56.39,-51.65,1.32,1.4,1.73,1.37,0.61,30.88,16.84,4.29,-75.4,25.63,,32.73,扣非亏损,扣非转亏,32.6
301123.SZ,奕东电子,211.38,-945.63,1.64,0.38,0.59,-0.3,,97.87,15.42,1.32,170.95,8.62,0.23,21.69,扣非亏损,扣非转亏,358.26
