证券代码,股票简称,PE,扣非PE,PB,扣非ROE,ROE,ROA,股息率,分红比例,毛利率,净利率,扣非净利润增速,营收增速,商誉占比,资产负债率,扣非PEG,扣非市赚率,市赚率
300124.SZ,汇川技术,37.3,40.1,6.27,12.3,13.09,7.12,0.71,0.0,31.02,13.45,2.91,38.77,8.08,49.29,1.03,6.52,5.7
688290.SH,景业智能,401.71,175.61,3.08,-0.58,0.57,-0.27,0.22,0.0,42.17,4.1,42.16,18.99,,18.02,9.25,转盈,1409.52
000950.SZ,重药控股,26.21,26.12,0.89,2.45,2.57,2.09,1.01,0.0,7.44,0.68,-40.86,21.62,9.63,76.6,1.21,21.37,20.4
603527.SH,众源新材,22.69,28.31,1.4,3.7,4.68,3.49,3.24,0.0,3.27,1.35,-10.13,29.42,,50.04,0.96,15.29,9.7
600215.SH,派斯林,30.55,41.04,1.75,4.2,4.28,2.77,1.17,0.0,16.4,5.97,-41.08,21.06,33.78,44.1,1.95,19.57,14.27
300217.SZ,东方电热,21.85,22.72,2.0,6.59,7.08,4.52,1.26,0.0,22.64,10.0,-14.95,20.27,1.24,39.7,1.12,6.9,6.17
301290.SZ,东星医疗,31.53,45.67,1.24,1.92,2.95,3.13,2.17,0.0,48.77,20.71,-15.45,5.46,24.02,8.04,8.37,47.69,21.37
688265.SH,南模生物,-111.36,-52.15,1.36,-1.9,-0.88,-0.95,0.34,0.0,43.63,-5.74,-13.16,23.79,,11.82,扣非亏损,扣非亏损,亏损
601990.SH,南京证券,37.18,42.9,1.98,3.99,4.01,,1.0,0.0,,29.58,23.26,4.15,0.03,68.92,10.33,21.49,18.54
601633.SH,长城汽车,17.4,25.74,3.14,11.48,14.27,6.05,1.19,0.0,20.76,7.33,119.93,19.61,0.04,62.16,1.31,4.48,2.44
002467.SZ,二六三,72.29,-42.62,3.33,2.88,3.5,3.43,,0.0,44.65,10.69,-19.85,-2.76,28.44,14.94,扣非亏损,扣非转亏,41.31
300721.SZ,怡达股份,128.98,78.16,2.03,1.24,1.18,1.43,0.67,0.0,11.51,0.46,129.45,22.77,,51.95,3.43,126.43,218.61
600596.SH,新安股份,64.35,-235.66,0.93,-0.03,1.08,0.92,1.1,0.0,10.0,1.33,-103.47,11.15,1.45,37.16,扣非亏损,扣非亏损,119.17
301038.SZ,深水规院,-716.84,130.22,4.46,-0.42,-0.46,-0.47,,0.0,21.53,-0.75,95.47,-3.18,,53.03,-40.94,扣非亏损,亏损
601989.SH,中国重工,92.7,-2632.21,1.37,0.92,1.1,0.06,0.24,0.0,12.43,2.67,415.03,10.23,,60.76,扣非亏损,扣非转亏,168.54
600628.SH,新世界,52.42,173.79,1.08,1.27,1.55,1.6,0.43,0.0,41.18,8.03,23.49,5.91,0.19,24.42,29.42,274.45,67.64
002272.SZ,川润股份,-138.67,-66.19,3.58,-2.85,-1.97,0.2,0.73,0.0,20.66,-2.42,-58.74,9.71,0.44,54.4,扣非亏损,扣非亏损,亏损
600973.SH,宝胜股份,183.58,-145.84,1.6,0.3,0.66,1.58,,0.0,4.72,0.04,-86.48,9.05,2.12,79.34,扣非亏损,扣非转亏,556.31
000949.SZ,新乡化纤,25.85,56.93,1.06,3.25,3.36,2.63,,0.0,11.67,3.56,2782.73,26.36,,50.79,2.16,35.07,15.39
688517.SH,金冠电气,22.9,22.43,2.58,7.59,8.32,5.98,3.17,0.0,35.81,14.12,31.83,2.99,,38.86,7.5,5.91,5.5
600560.SH,金自天正,68.45,70.31,3.75,3.95,4.05,2.37,0.48,0.0,25.34,8.43,4.31,11.58,,44.13,6.07,35.63,33.8
688358.SH,祥生医疗,23.25,33.36,2.22,6.51,7.14,6.02,2.12,0.0,59.15,27.17,-33.86,14.07,,13.29,2.37,10.25,6.51
002937.SZ,兴瑞科技,21.5,20.88,3.72,12.24,12.46,8.4,1.53,0.0,26.96,12.99,0.74,25.0,,36.69,0.84,3.41,3.45
301383.SZ,天键股份,27.23,40.73,3.02,6.47,8.61,6.65,0.55,0.0,18.63,10.06,23.19,16.02,,26.85,2.54,12.59,6.32
600113.SH,浙江东日,38.87,34.56,2.3,4.38,4.47,3.47,2.19,0.0,40.15,17.26,8.53,19.13,0.32,29.41,1.81,15.77,17.39
002524.SZ,光正眼科,-85.59,-62.5,8.7,-10.58,-7.51,0.89,,0.0,36.9,-2.9,-1150.98,8.98,136.5,80.68,扣非亏损,扣非亏损,亏损
002443.SZ,金洲管道,20.35,20.96,0.97,2.74,3.61,3.26,0.88,0.0,10.96,4.21,-56.15,6.2,0.07,18.64,3.38,15.31,11.28
603515.SH,欧普照明,16.28,17.17,2.08,7.65,8.93,7.41,4.89,0.0,40.19,12.29,-11.05,0.13,,30.78,128.02,4.49,3.65
688196.SH,卓越新能,26.11,152.04,1.18,3.2,3.41,1.8,0.8,0.0,3.56,3.11,-50.07,32.84,,21.59,4.63,94.9,15.31
600203.SH,福日电子,-45.68,-23.64,4.28,-9.3,-6.79,-0.44,,0.0,5.76,-1.68,-25.03,-1.31,22.62,74.64,扣非亏损,扣非亏损,亏损
301119.SZ,正强股份,27.56,28.56,2.41,6.3,6.74,5.09,0.39,0.0,33.11,21.94,-14.98,14.64,,26.49,1.95,9.07,8.18
600880.SH,博瑞传播,321.86,1956.1,1.73,0.34,0.4,0.56,0.2,0.0,45.28,3.91,-72.89,10.31,12.97,18.72,189.78,11578.01,1609.28
000881.SZ,中广核技,-45.07,-8.07,1.48,-3.86,-2.44,-0.48,,0.0,12.5,-2.89,-22.68,-0.48,6.31,47.95,扣非亏损,扣非亏损,亏损
301002.SZ,崧盛股份,93.09,-1752.61,2.92,0.61,2.23,1.28,0.48,0.0,27.69,0.77,-58.85,10.97,,46.58,扣非亏损,扣非转亏,83.49
300055.SZ,万邦达,694.61,-17.94,0.92,-0.37,0.1,0.04,0.24,0.0,5.65,0.47,-196.73,85.83,,31.04,扣非亏损,扣非亏损,13892.18
600604.SH,市北高新,-73.6,-41.25,1.52,-1.48,-1.54,0.48,,0.0,30.85,-13.78,-73.73,-4.36,0.68,62.2,扣非亏损,扣非亏损,亏损
603916.SH,苏博特,34.49,43.55,0.87,1.57,1.85,2.59,1.47,0.0,32.89,5.72,-48.74,0.8,3.18,39.76,54.67,55.6,37.28
000548.SZ,湖南投资,21.37,15.38,1.28,4.38,4.54,4.27,1.65,0.0,40.27,17.85,87.25,65.37,,26.03,0.24,7.03,9.41
000021.SZ,深科技,39.76,38.27,3.03,5.48,5.81,3.33,0.8,0.0,16.6,7.48,64.96,-1.19,0.08,53.57,-32.06,13.97,13.69
301578.SZ,辰奕智能,90.13,71.32,4.27,3.36,3.55,2.67,0.81,0.0,19.03,5.29,-53.44,8.21,,31.32,8.69,42.44,50.78
600710.SH,苏美达,9.0,11.75,1.6,12.41,13.79,6.1,4.65,0.0,6.57,2.95,27.28,13.97,0.35,75.19,0.84,1.89,1.3
600997.SH,开滦股份,12.85,15.23,0.78,4.43,4.56,2.69,4.5,0.0,12.71,2.28,-35.4,7.69,0.07,44.28,1.98,6.88,5.63
300456.SZ,赛微电子,-98.9,-224.59,3.09,-2.5,-2.31,-2.19,0.15,0.0,30.52,-21.43,-154.68,23.8,9.18,23.53,扣非亏损,扣非亏损,亏损
600020.SH,中原高速,8.58,13.34,0.83,5.34,6.5,3.5,4.05,0.0,39.67,17.49,-9.47,6.52,,70.46,2.05,5.0,2.64
301120.SZ,新特电气,245.62,993.22,2.37,0.05,0.71,0.66,0.47,0.0,29.03,1.65,-98.64,9.9,,4.78,100.36,42445.23,691.9
688768.SH,容知日新,884.97,39.59,4.0,0.26,0.34,-0.96,0.31,0.0,61.87,0.79,109.41,26.45,,22.77,1.5,305.36,5205.72
600137.SH,浪莎股份,71.11,65.58,2.76,2.8,2.92,1.99,0.99,0.0,18.63,6.57,45.82,5.34,,19.55,12.28,46.8,48.7
300229.SZ,拓尔思,269.1,-1259.06,3.74,-0.47,1.32,1.06,0.18,0.0,62.73,6.71,-2688.83,-15.7,14.38,8.63,扣非亏损,扣非亏损,407.73
300802.SZ,矩子科技,64.09,127.54,3.22,3.19,3.73,3.75,0.84,0.0,30.4,11.91,-12.79,6.75,,10.54,18.9,79.88,34.37
000070.SZ,ST特信,935.67,-18.02,2.89,-2.58,0.23,1.87,,0.0,14.11,1.33,29.61,2.1,12.29,70.56,扣非亏损,扣非亏损,8136.23
300444.SZ,双杰电气,38.54,44.32,3.57,7.65,7.29,2.92,,0.0,20.0,4.73,19.7,40.88,1.32,70.44,1.08,11.58,10.57
600491.SH,龙元建设,-15.52,-6.26,0.63,-3.03,-2.97,1.29,,0.0,19.77,-4.39,48.96,-18.01,0.83,79.19,扣非亏损,扣非亏损,亏损
300631.SZ,久吾高科,118.02,62.74,2.65,1.32,1.69,0.94,0.62,0.0,35.27,6.76,263.23,13.68,,33.35,4.58,94.91,139.67
603344.SH,星德胜,24.5,,2.3,8.75,8.4,6.91,,0.0,16.34,7.73,,13.63,,28.92,,,5.83
002102.SZ,能特科技,47.32,-190.09,1.8,2.56,2.9,1.77,,0.0,2.2,1.39,-25.2,-4.42,31.31,48.29,扣非亏损,扣非转亏,32.63
002962.SZ,五方光电,57.36,61.34,2.69,3.22,3.49,2.27,0.85,0.0,16.12,7.35,61.89,15.41,,13.2,3.98,38.15,32.87
002775.SZ,文科股份,259.49,-11.9,9.54,-6.8,1.93,1.87,,0.0,19.0,0.66,25.52,-21.4,13.14,94.04,扣非亏损,扣非亏损,268.9
600665.SH,天地源,22.09,-7.54,0.74,0.24,2.54,0.74,,0.0,16.09,4.64,41.96,30.71,,86.93,扣非亏损,扣非转亏,17.39
002629.SZ,仁智股份,-117.27,-71.51,51.83,-18.01,-21.46,-4.85,,0.0,4.15,-7.83,81.17,24.67,0.33,79.79,扣非亏损,扣非亏损,亏损
832023.BJ,田野股份,47.89,67.12,1.65,2.4,2.59,2.35,0.28,0.0,22.66,8.46,43.1,24.24,,23.43,2.77,55.86,36.98
600478.SH,科力远,292.7,-80.72,2.97,0.13,0.76,1.05,,0.0,13.49,-0.39,-77.7,13.99,5.09,65.77,扣非亏损,扣非转亏,770.25
301395.SZ,仁信新材,57.84,58.54,1.64,1.38,2.03,1.93,5.32,0.0,2.23,2.1,4.08,25.79,,16.46,2.27,84.63,56.98
002455.SZ,百川股份,38.27,-15.76,2.98,4.02,5.35,1.07,,0.0,8.76,-1.0,199.41,26.61,,80.37,扣非亏损,扣非转亏,14.31
002377.SZ,国创高新,-46.44,-27.9,5.94,-9.31,-9.16,-4.01,,0.0,7.82,-11.53,54.53,-39.42,,50.18,扣非亏损,扣非亏损,亏损
003001.SZ,中岩大地,109.9,145.84,4.55,3.19,3.11,2.31,0.67,0.0,24.96,6.68,194.39,-3.58,0.25,31.85,-40.79,91.31,70.68
600616.SH,金枫酒业,-93.72,-64.07,1.92,-1.67,-1.51,-2.11,0.8,0.0,39.24,-8.68,-17.55,-1.57,1.92,11.95,扣非亏损,扣非亏损,亏损
002191.SZ,劲嘉股份,21.6,102.61,1.02,3.91,3.46,3.17,5.59,0.0,25.12,11.29,-29.63,-0.22,9.69,21.9,-460.54,52.47,12.49
002548.SZ,金新农,95.76,-13.81,2.35,1.43,1.86,2.34,,0.0,10.88,0.83,107.35,0.98,2.21,72.22,扣非亏损,扣非转亏,102.97
600985.SH,淮北矿业,7.42,8.06,0.98,10.32,10.21,5.78,6.01,0.0,17.58,6.99,-16.51,12.02,0.4,48.09,0.67,1.56,1.45
002949.SZ,华阳国际,20.28,23.83,2.12,6.55,7.15,4.24,5.73,0.0,34.03,14.61,-2.1,-0.71,0.05,49.08,-33.53,7.28,5.67
600125.SH,铁龙物流,15.31,20.85,1.11,5.37,5.49,5.84,1.82,0.0,8.16,3.9,-12.94,2.49,,26.09,8.37,7.77,5.58
300550.SZ,和仁科技,3337.65,169.06,3.86,-0.1,0.09,-0.21,0.2,0.0,43.47,0.2,-108.7,0.54,0.09,24.58,315.55,转盈,74169.98
000868.SZ,安凯客车,-774.46,-29.22,6.55,-6.92,-0.63,-0.54,,0.0,10.05,-0.74,39.46,-5.85,,72.06,扣非亏损,扣非亏损,亏损
000008.SZ,神州高铁,-31.38,-8.34,2.23,-6.07,-6.07,-0.68,,0.0,28.82,-18.45,-40.87,12.41,68.91,66.81,扣非亏损,扣非亏损,亏损
300643.SZ,万通智控,28.62,29.52,2.94,7.38,7.86,7.1,1.28,0.0,33.58,10.82,2.76,11.36,6.17,21.45,2.6,8.0,7.28
600892.SH,大晟文化,-130.88,-50.43,21.59,-13.34,-11.65,-4.35,,0.0,91.5,-13.01,36.23,-7.33,92.28,53.83,扣非亏损,扣非亏损,亏损
603896.SH,寿仙谷,28.9,22.28,2.12,4.4,5.36,3.26,1.21,0.0,80.52,25.14,-18.15,7.76,,26.93,2.87,10.12,10.79
002856.SZ,美芝股份,-17.73,-5.75,4.76,-18.19,-18.48,-2.08,,0.0,-4.48,-13.24,-235.77,27.78,12.49,84.51,扣非亏损,扣非亏损,亏损
301107.SZ,瑜欣电子,34.27,44.33,2.27,4.58,4.91,3.32,1.25,0.0,26.2,11.29,-13.02,12.17,,21.69,3.64,19.35,13.96
300615.SZ,欣天科技,-107.46,-59.56,4.87,-4.24,-3.35,-2.32,0.63,0.0,20.34,-9.89,-130.5,43.01,,19.66,扣非亏损,扣非亏损,亏损
600584.SH,长电科技,57.48,51.66,3.08,3.86,4.07,2.66,0.33,0.0,12.93,4.29,36.73,4.6,12.45,46.89,11.23,26.76,28.25
301566.SZ,达利凯普,68.19,73.3,6.06,6.79,6.84,6.4,0.21,0.0,59.6,35.13,-3.21,3.53,,6.15,20.79,21.59,19.94
002630.SZ,华西能源,40.39,39.24,6.52,13.1,9.55,2.98,,0.0,20.65,3.09,138.75,14.22,,92.13,2.76,5.99,8.46
300043.SZ,星辉娱乐,-13.83,-11.02,2.51,-13.54,-12.68,-6.53,,0.0,23.7,-22.39,-567.05,0.92,41.15,59.51,扣非亏损,扣非亏损,亏损
002284.SZ,亚太股份,30.04,42.72,2.19,4.92,5.55,1.85,1.14,0.0,17.68,5.23,129.98,10.3,,57.1,4.15,17.35,10.82
603036.SH,如通股份,32.29,34.5,2.36,4.74,5.45,5.52,1.36,0.0,42.97,25.0,18.94,10.09,,11.59,3.42,14.55,11.85
002763.SZ,汇洁股份,17.25,33.41,1.43,5.79,6.11,6.98,4.76,0.0,68.57,6.68,-43.29,8.11,0.58,26.31,4.12,11.55,5.65
300549.SZ,优德精密,143.85,293.55,4.38,1.54,2.27,2.19,0.52,0.0,28.8,4.91,-30.21,4.36,,20.28,67.3,381.26,126.74
300230.SZ,永利股份,18.58,19.07,1.29,5.11,5.25,4.76,3.1,0.0,31.83,10.19,-7.79,-12.75,4.98,26.62,-1.5,7.46,7.08
688277.SH,天智航,-49.03,-23.51,4.22,-9.5,-6.3,-5.75,,0.0,67.45,-82.69,1.87,16.46,,21.46,扣非亏损,扣非亏损,亏损
002389.SZ,航天彩虹,2771.09,-28800.39,2.86,-0.1,0.08,0.17,0.32,0.0,23.74,0.33,-106.16,1.4,5.99,19.4,扣非亏损,扣非亏损,69277.25
003013.SZ,地铁设计,16.41,14.84,2.55,11.88,11.97,5.88,2.99,0.0,36.09,15.69,3.94,11.74,,55.14,1.26,2.5,2.74
001212.SZ,中旗新材,57.92,63.44,1.85,2.06,2.22,1.52,0.63,0.0,18.82,9.48,-46.63,8.78,,23.76,7.23,61.66,52.18
836871.BJ,派特尔,31.03,35.4,3.9,9.66,10.06,9.9,2.27,0.0,35.11,20.14,56.94,4.76,,14.7,7.44,7.33,6.17
603990.SH,麦迪科技,-15.39,-7.93,3.74,-24.97,-16.63,-2.99,,0.0,12.87,-46.14,-153.7,34.51,3.38,72.14,扣非亏损,扣非亏损,亏损
300071.SZ,福石控股,-98.91,-91.62,15.41,-14.03,-11.83,-2.45,,0.0,24.56,-3.5,-28.54,12.54,21.55,82.18,扣非亏损,扣非亏损,亏损
837242.BJ,建邦科技,20.37,21.67,3.68,14.22,13.94,13.37,4.25,0.0,30.6,14.07,50.76,16.18,,28.05,1.34,3.05,2.92
002069.SZ,獐子岛,-74.55,-53.58,50.73,-47.65,-37.69,1.14,,0.0,13.53,-2.05,-256.16,-3.95,1.97,95.72,扣非亏损,扣非亏损,亏损
300996.SZ,普联软件,215.2,45.91,3.61,0.63,1.25,0.4,0.44,0.0,35.96,1.93,119.58,21.66,3.78,12.04,2.12,145.93,344.32
688184.SH,帕瓦股份,-4.82,-4.98,1.02,-14.73,-14.53,-12.7,,0.0,-12.61,-45.19,-3509.98,36.7,,27.05,扣非亏损,扣非亏损,亏损
601368.SH,绿城水务,24.4,76.73,0.91,2.5,2.76,2.39,0.49,0.0,36.53,7.21,-4.77,15.47,,78.35,4.96,61.41,17.68
838924.BJ,广脉科技,61.23,62.42,6.31,7.41,7.97,4.13,0.42,0.0,22.28,8.62,30.97,9.1,,67.56,6.86,16.84,15.36
300708.SZ,聚灿光电,38.81,29.61,3.08,5.42,5.93,3.0,1.42,0.0,14.1,7.89,2408.97,22.03,,44.3,1.34,10.92,13.09
603356.SH,华菱精工,-25.36,-15.55,3.2,-8.68,-8.66,-3.19,,0.0,5.38,-7.11,7.71,-5.37,1.82,55.54,扣非亏损,扣非亏损,亏损
002950.SZ,奥美医疗,15.8,29.91,1.68,7.5,8.13,6.81,0.29,0.0,27.99,10.84,15.22,-4.77,2.92,34.83,-6.27,7.98,3.89
000962.SZ,东方钽业,36.83,41.92,2.99,5.87,6.28,5.43,,0.0,19.32,17.5,20.45,17.98,,14.05,2.33,14.29,11.73
688371.SH,菲沃泰,175.43,2414.15,3.35,0.92,1.4,1.53,,0.0,52.35,7.86,129.25,15.67,,6.04,154.05,5275.1,250.61
300136.SZ,信维通信,39.49,78.76,3.91,5.77,7.35,4.39,0.42,0.0,20.8,8.26,-16.91,6.58,13.69,47.55,11.97,27.3,10.75
600803.SH,新奥股份,12.96,18.12,2.66,12.72,15.03,6.99,3.92,0.0,13.72,6.93,42.01,19.31,0.96,57.05,0.94,2.85,1.72
688400.SH,凌云光,73.94,118.24,2.78,2.11,2.83,1.1,0.19,0.0,37.22,6.87,-25.62,15.89,0.02,20.73,7.44,111.98,52.26
002418.SZ,康盛股份,-231.52,-162.83,2.01,-0.93,-0.65,0.22,,0.0,8.8,-0.84,-202.7,2.17,,37.73,扣非亏损,扣非亏损,亏损
831039.BJ,国义招标,28.31,33.0,2.98,6.64,7.05,4.16,3.05,0.0,48.56,18.83,-24.68,4.65,,40.84,7.09,9.94,8.03
600746.SH,江苏索普,30.78,22.97,1.58,3.8,3.91,3.36,,0.0,10.88,4.2,232.7,25.22,0.78,18.58,0.91,12.08,15.75
300311.SZ,任子行,-44.7,-45.19,8.44,-14.53,-13.35,-6.9,,0.0,51.99,-36.25,6.59,-8.92,,48.4,扣非亏损,扣非亏损,亏损
300363.SZ,博腾股份,-40.78,-28.78,2.11,-3.84,-3.73,-2.81,1.94,0.0,23.28,-12.56,-150.29,42.85,5.22,37.76,扣非亏损,扣非亏损,亏损
688687.SH,凯因科技,34.12,35.63,2.7,6.17,6.04,5.25,0.72,0.0,81.94,12.5,16.26,18.61,,29.1,1.91,11.55,11.3
002986.SZ,宇新股份,13.18,15.33,1.15,6.27,6.7,4.71,0.64,0.0,19.25,4.61,-34.74,46.82,,45.82,0.33,4.89,3.93
300598.SZ,诚迈科技,-128.85,-99.85,8.96,-6.22,-5.48,-4.58,0.28,0.0,16.37,-6.1,40.59,27.8,,30.37,扣非亏损,扣非亏损,亏损
601579.SH,会稽山,35.34,33.76,1.46,2.74,3.07,3.1,1.96,0.0,50.15,10.6,2.67,8.66,6.31,14.71,3.9,24.6,23.02
300603.SZ,立昂技术,647.9,455.55,3.31,0.41,0.38,0.01,,0.0,14.7,0.62,111.78,-10.05,1.24,34.35,-45.34,2239.11,3409.98
600511.SH,国药股份,13.42,12.32,1.6,9.2,9.17,5.67,2.98,0.0,7.02,4.14,4.04,7.41,1.1,46.25,1.66,2.68,2.93
300947.SZ,德必集团,101.73,238.63,2.4,1.34,1.74,2.48,,0.0,34.13,3.16,-6.29,15.42,0.59,77.56,15.47,355.9,116.93
002126.SZ,银轮股份,20.25,22.77,2.69,9.47,10.41,4.78,0.54,0.0,20.07,7.41,32.78,20.67,2.6,60.73,1.1,4.81,3.89
601860.SH,紫金银行,5.87,6.58,0.55,7.05,7.07,,3.95,0.0,,39.04,1.22,-0.42,,92.76,-15.66,1.87,1.66
688051.SH,佳华科技,-47.82,-12.08,2.53,-5.44,-3.89,-2.54,,0.0,24.81,-12.76,56.33,-17.17,,28.34,扣非亏损,扣非亏损,亏损
601000.SH,唐山港,12.14,13.8,1.25,7.66,7.81,8.76,5.71,0.0,50.17,39.7,-3.7,-8.66,,9.3,-1.59,3.6,3.11
603766.SH,隆鑫通用,14.53,22.36,1.95,9.8,10.41,6.67,1.94,0.0,18.3,7.23,19.44,8.48,,39.45,2.64,4.56,2.79
688395.SH,正弦电气,40.32,61.33,2.2,3.01,4.13,3.76,0.87,0.0,36.08,11.01,-43.83,-1.34,,12.42,-45.63,40.79,19.52
300655.SZ,晶瑞电材,14219.57,-683.99,4.88,-0.48,0.03,0.53,0.29,0.0,19.82,-1.09,-123.5,16.31,4.54,28.33,扣非亏损,扣非亏损,947971.47
000799.SZ,酒鬼酒,271.62,174.66,5.1,1.22,1.31,0.19,1.37,0.0,71.81,4.74,-89.27,25.15,,20.52,6.94,286.02,414.69
600231.SH,凌钢股份,-3.36,-3.82,1.02,-16.99,-20.23,-11.1,,0.0,-6.49,-9.82,-445.57,1.85,,60.73,扣非亏损,扣非亏损,亏损
605088.SH,冠盛股份,13.86,15.74,1.84,9.62,10.19,5.18,2.61,0.0,26.63,7.49,3.47,20.49,,56.22,0.77,3.27,2.72
603778.SH,国晟科技,-12.37,-7.54,3.08,-17.28,-17.28,-7.13,,0.0,-3.11,-20.29,-1214.37,126.55,,64.2,扣非亏损,扣非亏损,亏损
300083.SZ,创世纪,50.16,94.51,2.64,3.3,4.03,3.69,,0.0,23.16,6.45,89.59,5.86,32.09,50.57,16.12,57.26,24.89
688107.SH,安路科技,-60.11,-49.37,9.83,-14.06,-11.56,-10.4,,0.0,30.95,-31.83,-18.31,54.09,,10.34,扣非亏损,扣非亏损,亏损
688120.SH,华海清科,52.14,65.62,8.13,10.52,12.31,7.95,0.29,0.0,45.82,29.4,33.85,88.51,,43.64,0.74,12.47,8.47
002998.SZ,优彩资源,16.2,17.27,1.23,5.44,5.29,4.09,2.52,0.0,11.38,6.01,-18.36,22.15,,31.54,0.78,6.35,6.13
300031.SZ,宝通科技,26.78,26.37,2.21,7.03,6.39,4.64,0.32,0.0,40.65,11.3,174.34,11.62,18.09,29.96,2.27,7.51,8.38
300018.SZ,中元股份,37.8,48.76,2.62,5.2,5.33,4.44,0.82,0.0,46.44,19.59,101.11,3.32,0.47,11.61,14.67,18.75,14.18
835185.BJ,贝特瑞,34.17,31.8,2.58,5.8,5.68,3.11,1.75,0.0,22.3,6.57,-47.64,92.75,,55.96,0.34,10.97,12.03
000524.SZ,岭南控股,39.29,108.78,3.15,2.65,6.21,4.55,,0.0,18.85,4.44,10.26,59.36,2.53,40.74,1.83,82.24,12.65
002694.SZ,顾地科技,-59.39,-45.38,9.75,-16.68,-11.35,-5.16,,0.0,8.86,-10.84,-1035.98,-12.15,,56.38,扣非亏损,扣非亏损,亏损
688331.SH,荣昌生物,-13.8,-12.48,8.33,-37.8,-36.92,-18.18,,0.0,79.75,-88.63,-3.45,15582.57,,58.54,扣非亏损,扣非亏损,亏损
002406.SZ,远东传动,44.09,84.51,1.27,1.21,2.15,2.09,1.57,0.0,23.81,9.01,10.73,-10.71,,16.57,-7.89,139.14,41.01
601515.SH,东峰集团,-28.61,-51.1,1.34,-3.46,-3.41,-3.58,0.62,0.0,21.05,-21.8,-271.72,-2.45,6.77,18.2,扣非亏损,扣非亏损,亏损
001288.SZ,运机集团,49.14,49.47,2.79,3.81,3.98,2.97,1.49,0.0,30.93,9.71,22.28,15.1,0.44,46.73,3.28,25.97,24.69
000735.SZ,罗牛山,16.17,37.69,1.71,8.07,8.2,3.83,0.35,0.0,17.86,12.18,284.99,25.49,0.98,53.03,1.48,9.34,3.94
300891.SZ,惠云钛业,242.54,116.19,3.08,0.98,0.89,0.56,0.31,0.0,7.98,1.0,-33.47,23.09,,52.04,5.03,237.64,545.04
601567.SH,三星医疗,17.9,20.77,3.7,15.4,15.31,10.26,3.17,0.0,36.21,17.47,31.32,18.18,13.26,44.26,1.14,2.7,2.34
300878.SZ,维康药业,53.78,-23.13,2.35,-3.46,3.25,2.36,0.99,0.0,47.39,12.46,-173.94,-5.61,1.26,25.67,扣非亏损,扣非亏损,33.1
603129.SH,春风动力,16.22,18.66,4.04,19.39,19.76,9.32,2.03,0.0,31.53,9.82,36.74,41.63,,55.84,0.45,1.93,1.64
002138.SZ,顺络电子,31.73,35.62,4.28,9.82,10.41,7.12,1.11,0.0,37.31,16.77,33.41,14.39,5.0,45.98,2.47,7.25,6.1
301156.SZ,美农生物,49.78,49.21,2.84,3.6,4.12,4.18,2.92,0.0,28.59,9.29,-37.1,7.58,,5.35,6.49,27.36,24.16
603989.SH,艾华集团,23.8,31.0,1.71,4.86,5.52,4.54,1.23,0.0,21.19,6.47,-32.03,11.04,,35.97,2.81,12.75,8.62
300935.SZ,盈建科,-35.35,-28.55,2.08,-5.31,-4.33,-5.22,,0.0,92.17,-50.33,-22.75,7.74,,5.07,扣非亏损,扣非亏损,亏损
002682.SZ,龙洲股份,-28.92,-8.9,1.94,-5.44,-5.17,0.14,,0.0,3.4,-3.93,33.91,4.31,25.34,75.93,扣非亏损,扣非亏损,亏损
002057.SZ,中钢天源,30.13,49.32,2.02,4.19,4.97,3.85,2.25,0.0,22.43,9.36,-38.0,20.76,1.31,31.25,2.38,23.52,12.12
605169.SH,洪通燃气,13.91,14.42,1.6,8.78,8.88,7.75,1.77,0.0,17.27,8.29,56.61,33.81,,22.09,0.43,3.29,3.13
688383.SH,新益昌,66.39,98.03,4.33,4.5,4.92,3.3,0.19,0.0,35.71,8.39,30.5,18.9,1.4,51.05,5.19,43.55,26.99
603211.SH,晋拓股份,75.21,76.57,3.66,3.63,3.69,2.84,0.31,0.0,16.8,5.1,15.89,13.2,,34.89,5.8,42.17,40.76
000151.SZ,中成股份,-29.44,-12.61,10.52,-24.0,-23.75,-7.5,,0.0,-0.45,-26.67,-781.14,29.81,21.19,77.13,扣非亏损,扣非亏损,亏损
300667.SZ,必创科技,-902.71,589.52,3.56,-0.67,-0.3,-0.06,0.58,0.0,33.39,-0.85,-206.76,6.37,28.2,18.28,92.57,扣非亏损,亏损
301075.SZ,多瑞医药,-76.94,-86.15,2.42,-2.63,-2.24,-2.38,0.47,0.0,40.75,-13.24,-433.64,-10.96,0.51,28.4,扣非亏损,扣非亏损,亏损
002431.SZ,棕榈股份,-5.45,-3.74,1.61,-25.79,-19.59,-1.4,,0.0,8.37,-24.83,-159.33,-5.24,8.5,85.29,扣非亏损,扣非亏损,亏损
831396.BJ,许昌智能,65.72,49.55,3.75,4.37,5.56,2.42,3.99,0.0,24.62,5.94,-4.73,21.71,,44.62,2.28,22.66,23.64
300095.SZ,华伍股份,98.1,-416.29,1.54,0.83,1.17,1.26,1.22,0.0,25.2,2.18,-75.76,1.02,12.51,38.09,扣非亏损,扣非转亏,167.69
301132.SZ,满坤科技,50.34,56.4,2.76,3.86,4.18,2.14,1.41,0.0,19.17,7.87,-21.01,9.33,,29.54,6.05,29.25,24.09
688038.SH,中科通达,747.02,-20.7,2.82,0.15,0.28,0.06,,0.0,24.71,0.3,104.18,-22.09,,50.32,扣非亏损,扣非转亏,5335.85
