证券代码,证券名称,流通市值,总市值,最新价,涨跌幅,振幅,成交额,换手率,明星股,高分红,中概股,中概种类,SEC摘牌,SPAC,空壳公司,所属概念,三级行业,二级行业,一级行业,上市板块,异动值
SCPH,scPharmaceuticals,1.94,1.94,5.38,-3.58,6.27,0.01,0.4,,,,,,,,,制药,制药,医疗保健,Nasdaq Global Select Market,0.032306468781416534
DNB,邓白氏,42.39,42.39,9.66,-3.59,4.29,0.52,1.21,,,,,,,,,数据处理和外包服务,信息技术服务,科技,主板,0.4315476990585119
GRND,Grindr,17.84,17.84,10.19,-3.6,7.19,0.08,0.43,,,,,,SPAC（特殊目的收购公司）,,,应用软件,软件,科技,主板,0.164497694926148
SAVA,疼痛治疗,9.16,9.16,21.18,-3.6,4.51,0.08,0.83,,,,,,,,"阿尔茨海默病,WSB",制药,制药,医疗保健,Nasdaq Capital Market,0.10241703507282028
MCRB,Seres Therapeutics,1.21,1.21,0.8,-3.61,7.23,0.02,1.75,,,,,,,,,制药,制药,医疗保健,Nasdaq Global Select Market,0.09095848438306124
GAMB,Gamb,3.3,3.3,8.8,-3.61,18.18,0.07,1.96,,,,,,,,博彩,互动媒体与服务,媒体娱乐,科技,Nasdaq Global Market,0.7807466598057994
BITF,Bitfarms,8.14,8.14,2.4,-3.61,6.43,0.68,8.04,,,,,,,,,应用软件,软件,科技,Nasdaq Global Market,1.4711419893778457
ESPR,Esperion Therapeutics,3.9,3.9,2.11,-3.65,8.22,0.1,2.45,,,,,,,,,制药,制药,医疗保健,Nasdaq Global Market,0.37450924864553115
SCOR,康姆斯克,0.72,0.72,15.21,-3.67,6.33,0.01,1.03,,,,,,,,,互联网服务和基础设施,信息技术服务,科技,Nasdaq Global Select Market,0.044107649204939564
TYRA,Tyra Biosciences,8.79,8.79,16.73,-3.68,5.47,0.02,0.23,,,,,,,,,生物科技,生物科技,医疗保健,Nasdaq Global Select Market,0.033906318291079
WB,微博,22.03,22.03,9.08,-3.71,2.33,0.17,0.76,明星股,,中概股,回港中概股,,,,"互联网+,阿里巴巴,直播股,CDR,社交媒体",互动媒体与服务,媒体娱乐,科技,Nasdaq Global Select Market,0.13229823376824176
BBAI,BigBear.ai,5.02,5.02,2.07,-3.72,8.37,0.2,3.97,,,,,,,,"人工智能,ChatGPT",应用软件,软件,科技,主板,0.7109117347960943
GHRS,GH Research PLC,5.51,5.51,10.59,-3.73,11.0,0.02,0.43,,,,,,,,,制药,制药,医疗保健,Nasdaq Global Market,0.09944977366262035
PEN,Penumbra,88.07,88.07,227.56,-3.73,4.85,0.71,0.79,,,,,,,,,医疗保健设备,医疗保健设备与服务,医疗保健,主板,0.6085111931081351
ICU,SeaStar Medical Holding,0.5,0.5,0.77,-3.75,7.5,0.02,3.01,,,,,,,,,医疗保健设备,医疗保健设备与服务,医疗保健,Nasdaq Capital Market,0.12194667641784493
JACK,Jack in the Box,13.38,13.38,68.51,-3.79,3.95,0.35,2.55,,,,,,,,餐饮连锁,餐馆,酒店餐饮,可选消费,Nasdaq Global Select Market,0.3361674979236668
RXRX,Recursion Pharmaceuticals,24.99,24.99,10.65,-3.79,10.75,0.86,3.42,,,,,,,,英伟达持股,生物科技,生物科技,医疗保健,Nasdaq Global Select Market,2.7997441054703907
INFY,印孚瑟斯,753.75,753.75,18.21,-3.8,1.9,4.19,0.55,明星股,高分红,,,,,,"印度科技,印度,信息技术",信息科技咨询与其它服务,信息技术服务,科技,主板,1.8304663207775975
KIDS,OrthoPediatrics,6.24,6.24,26.5,-3.81,5.81,0.04,0.6,,,,,,,,,医疗保健设备,医疗保健设备与服务,医疗保健,Nasdaq Global Market,0.08117325588114889
EQ,Equillium,0.97,0.97,2.77,-3.82,6.25,0.01,0.77,,,,,,,,"抗疫,生物医药",制药,制药,医疗保健,Nasdaq Capital Market,0.03983981648060568
HIPO,Hippo,4.15,4.15,17.05,-3.84,7.61,0.02,0.38,,,,,,,,,财产与意外伤害保险,保险,金融,主板,0.0662369633755509
IKNA,Ikena Oncology,0.72,0.72,1.5,-3.85,10.26,0.02,3.05,,,,,,,,,生物科技,生物科技,医疗保健,Nasdaq Global Market,0.1689953467597605
BNOX,Bionomics,0.11,0.11,1.0,-3.85,12.5,0.02,19.31,,,,,,,,,制药,制药,医疗保健,Nasdaq Global Market,0.3060070425475377
MVIS,维视图像,3.4,3.4,1.74,-3.87,10.5,0.06,1.85,,,,,,,,"激光雷达,WSB",电子元件,计算机设备,科技,Nasdaq Global Market,0.32487784164167094
JD,京东,424.41,424.41,27.05,-3.87,4.09,4.24,0.99,明星股,,热门中概股,回港中概股,SEC确定摘牌名单,,,"互联网金融,大消费,电子商务,大数据,CDR,新零售,人工智能,电子竞技,腾讯,平台经济,互联网",互联网与直销零售,电商,科技,Nasdaq Global Select Market,2.224160925372481
OCEA,Ocean Biomedical,1.52,1.52,4.46,-3.88,9.05,0.02,1.49,,,,,,,,,生物科技,生物科技,医疗保健,Nasdaq Capital Market,0.11464391689382887
SILV,SilverCrest Metals,9.76,9.76,6.64,-3.91,5.21,0.09,0.92,,,,,,,,,贵重金属与矿石,金属与采矿,原材料,主板,0.1386102032881492
PLCE,The Children's Place,1.65,1.65,13.19,-3.93,7.72,0.07,4.11,,,,,,,,,服装零售,零售业,可选消费,Nasdaq Global Select Market,0.31590370224450004
