证券代码,证券名称,流通市值,总市值,最新价,涨跌幅,振幅,成交额,换手率,明星股,高分红,中概股,中概种类,SEC摘牌,SPAC,空壳公司,所属概念,三级行业,二级行业,一级行业,上市板块,异动值
TCBK,TriCo Bancshares,11.9,11.9,35.77,1.48,1.93,0.05,0.4,,,,,,,,,区域性银行,银行,金融,Nasdaq Global Select Market,0.01722918164603986
MBC,MasterBrand,23.6,23.6,18.58,1.47,2.13,0.21,0.88,,,,,,,,,家庭装饰零售,零售业,可选消费,主板,0.0711359906336389
CSGP,科斯塔,399.14,399.14,97.73,1.47,2.27,1.88,0.47,,,,,,,,房地产服务,房地产服务,房地产管理和开发,房地产,Nasdaq Global Select Market,0.42130262681623104
SAGE,Sage Therapeutics,12.0,12.0,19.97,1.47,5.18,0.16,1.32,,,,,,,,,制药,制药,医疗保健,Nasdaq Global Market,0.23147815340346917
HUBG,枢纽集团,26.46,26.46,42.11,1.47,2.05,0.15,0.56,,,,,,,,物流,地面货运,运输,工业,Nasdaq Global Select Market,0.04672869300759198
KVUE,Kenvue,396.51,396.51,20.71,1.47,2.45,3.8,0.96,,,,,,,,次新上市股,个人护理用品,日常用品,日常消费品,主板,0.9553881642998514
ICE,洲际交易所,790.78,790.78,138.1,1.47,1.99,3.65,0.46,明星股,,,,,,,,金融交易所和数据,综合金融,金融,主板,0.6108169822967788
W,Wayfair,79.06,79.06,65.69,1.47,4.62,2.19,2.78,,,,,,,,互联网,大卖场与超市,零售业,可选消费,主板,1.7880525086864942
PFS,Provident Financial Services In,11.51,11.51,15.22,1.47,2.2,0.11,1.0,,,,,,,,,商业与住宅抵押贷款金融,综合金融,金融,主板,0.04662556867308745
FSS,联邦信号,50.25,50.25,82.34,1.47,1.91,0.18,0.35,,,,,,,,,汽车零件与设备,汽车,可选消费,主板,0.04398820803351158
AHCO,AdaptHealth,14.73,14.73,11.08,1.47,2.75,0.13,0.91,,,,,,,,,保健护理产品经销商,医疗保健设备与服务,医疗保健,Nasdaq Capital Market,0.07213611168232387
VPG,Vishay精密集团,4.64,4.64,34.7,1.46,2.43,0.02,0.39,,,,,,,,传感器,电子元件,计算机设备,科技,主板,0.012710347790836523
LOCO,El Pollo Loco,2.82,2.82,9.03,1.46,2.36,0.03,0.96,,,,,,,,餐饮连锁,餐馆,酒店餐饮,可选消费,Nasdaq Global Select Market,0.021290174897797057
EFC,Ellington投资,10.06,10.06,11.82,1.46,2.15,0.1,1.02,,,,,,,,,抵押房地产投资信托,综合金融,金融,主板,0.04242540005592604
COHU,科休半导体,14.73,14.73,31.29,1.46,2.11,0.11,0.78,,,,,,,,,材料与设备,半导体,科技,Nasdaq Global Select Market,0.041108265705578684
MTH,Meritage Homes,60.16,60.16,166.32,1.46,2.2,0.72,1.19,,,,,,,,,住宅建筑,耐用商品,可选消费,主板,0.21047166237627274
PTVE,Pactiv Evergreen,24.86,24.86,13.92,1.46,1.9,0.04,0.17,,,,,,,,,纸材料包装,容器与包装,原材料,Nasdaq Global Select Market,0.011256808395742696
PFBC,保富银行,10.31,10.31,75.89,1.46,1.98,0.05,0.47,,,,,,,,,区域性银行,银行,金融,Nasdaq Global Select Market,0.01860160675648099
MRAM,Everspin Technologies,1.77,1.77,8.36,1.46,2.43,0.01,0.45,,,,,,,,,半导体产品,半导体,科技,Nasdaq Global Market,0.008593462109326325
TPR,Tapestry,110.3,110.3,48.09,1.46,1.79,1.56,1.41,,,,,,,,"特朗普,奢侈品",服装、服饰与奢侈品,纺织服装,可选消费,主板,0.2982961387557428
PDSB,PDS Biotechnology,1.52,1.52,4.88,1.46,3.53,0.03,1.94,,,,,,,,,生物科技,生物科技,医疗保健,Nasdaq Global Select Market,0.046731996404028
ONTF,ON24,2.91,2.91,6.98,1.45,1.6,0.01,0.37,,,,,,,,,应用软件,软件,科技,主板,0.0038853255373435106
PRK,Park National,21.43,21.43,132.96,1.45,1.81,0.05,0.25,,,,,,,,,区域性银行,银行,金融,主板,0.01351536477868121
AORT,Artivion,8.66,8.66,21.01,1.45,3.62,0.06,0.74,,,,,,,,,医疗保健设备,医疗保健设备与服务,医疗保健,主板,0.05706150436740712
BHLB,Berkshire Hills Bancorp,9.79,9.79,22.44,1.45,1.72,0.05,0.52,,,,,,,,,区域性银行,银行,金融,主板,0.015201117927928996
LZB,La-Z-Boy,15.86,15.86,37.2,1.45,2.35,0.14,0.89,,,,,,,,特朗普,家庭装饰零售,零售业,可选消费,主板,0.06040398741565809
ALCO,阿里科,2.25,2.25,29.48,1.45,1.93,0.01,0.29,,,,,,,,农产品,农产品,食品饮料,日常消费品,Nasdaq Global Select Market,0.005626234131307673
JAMF,Jamf Holding,23.19,23.19,18.25,1.45,2.61,0.08,0.35,,,,,,,,,应用软件,软件,科技,Nasdaq Global Select Market,0.03686995112800293
LEVI,李维斯,75.59,75.59,18.99,1.44,1.82,0.31,0.42,,,,,,,,品牌服饰,服装、服饰与奢侈品,纺织服装,可选消费,主板,0.06506684453750178
TRN,Trinity Industries,21.88,21.88,26.73,1.44,3.64,0.13,0.59,,,,,,,,,建筑机械和重型运输设备,资本品,工业,主板,0.09859922830901337
VECO,维易科精密仪器,19.84,19.84,35.19,1.44,4.58,0.14,0.69,,,,,,,,,材料与设备,半导体,科技,Nasdaq Global Select Market,0.15056207848842754
AAL,美国航空,96.77,96.77,14.78,1.44,1.51,3.76,3.9,,,,,,,,航空,航空公司,运输,工业,Nasdaq Global Select Market,0.5651050482318295
BOH,夏威夷银行,24.67,24.67,62.03,1.44,2.29,0.16,0.64,,,,,,,,,其它综合性金融服务,综合金融,金融,主板,0.05983433394367022
VBTX,Veritex,10.78,10.78,19.78,1.44,2.05,0.07,0.61,,,,,,,,,综合性银行,银行,金融,Nasdaq Global Market,0.027130865660716683
ECO,Okeanis Eco Tankers,9.79,9.79,30.41,1.43,1.9,0.01,0.12,,,,,,,,,石油与天然气的储存和运输,石油,能源,主板,0.00354226005176226
TDG,TransDigm Group,685.28,685.28,1232.38,1.43,2.13,2.51,0.37,,,,,,,,军工,航天航空与国防,资本品,工业,主板,0.47446903707817306
UA,安德玛-C,15.03,30.86,7.09,1.43,2.29,0.27,1.82,,,,,,,,品牌服饰,服装、服饰与奢侈品,纺织服装,可选消费,主板,0.09608123082886744
JBHT,JB亨特运输服务,204.38,204.38,197.85,1.43,2.3,1.62,0.79,,,,,,,,"物流,基础建设",地面货运,运输,工业,Nasdaq Global Select Market,0.4093003822025315
ASX,日月光半导体,248.58,248.58,11.35,1.43,1.88,0.91,0.36,,,中概股,台资中概股,,,,"集成电路,信息技术",半导体产品,半导体,科技,主板,0.16436262269986696
KPTI,Karyopharm Therapeutics,1.63,1.63,1.42,1.43,6.43,0.01,0.57,,,,,,,,,生物科技,生物科技,医疗保健,Nasdaq Global Select Market,0.0353353749000727
AIV,公寓投资管理,11.31,11.31,7.81,1.43,2.08,0.08,0.68,,,,,,,,财产管理,住宅REIT,股权房地产投资信托 (REITs),房地产,主板,0.03129937367331061
AMGN,安进,1484.23,1484.23,276.95,1.43,1.29,6.89,0.46,明星股,高分红,,,,,,"生物医药,医疗保健",生物科技,生物科技,医疗保健,Nasdaq Global Select Market,0.6392403576638512
SHBI,Shore Bancshares,3.78,3.78,11.37,1.43,2.05,0.01,0.23,,,,,,,,,区域性银行,银行,金融,Nasdaq Global Select Market,0.005239044052623859
DOCN,DigitalOcean,36.16,36.16,39.83,1.43,3.39,0.4,1.09,,,,,,,,,互联网服务和基础设施,信息技术服务,科技,主板,0.24506695533243672
DOLE,都乐,11.49,11.49,12.1,1.42,2.35,0.05,0.44,,,,,,,,农产品,农产品,食品饮料,日常消费品,主板,0.02340897308816641
TRDA,Entrada Therapeutics,4.55,4.55,13.54,1.42,5.17,0.01,0.21,,,,,,,,,制药,制药,医疗保健,Nasdaq Global Market,0.018953852402935994
ANSS,安西斯,303.0,303.0,348.2,1.42,1.79,1.28,0.42,,,,,,,,,应用软件,软件,科技,Nasdaq Global Select Market,0.20814284817978287
UHAL_B,U-Haul Holding Co-N,117.11,130.12,66.36,1.42,2.23,0.11,0.1,,,,,,,,,地面货运,运输,工业,主板,0.02855820372443439
AMCR,Amcor,134.13,134.13,9.28,1.42,1.42,0.44,0.33,,,,,,,,,纸材料包装,容器与包装,原材料,主板,0.0567600926633048
CNHI,CNH Industrial NV,207.7,207.7,12.85,1.42,2.05,1.65,0.8,,,,,,,,,农用农业机械,资本品,工业,主板,0.34960519297414544
NVRI,Enviri,6.84,6.84,8.57,1.42,1.78,0.03,0.49,,,,,,,,废物管理,环境与设施服务,商业服务,工业,主板,0.010619294592371868
PCG,太平洋煤气电力,429.05,429.05,16.43,1.42,1.91,2.32,0.54,,,,,,,,天然气,独立电力生产商与能源贸易商,电力,公用事业,主板,0.39622805873960926
NRDS,NerdWallet,12.11,12.11,15.73,1.42,2.71,0.07,0.57,,,,,,,,,信息科技咨询与其它服务,信息技术服务,科技,Nasdaq Capital Market,0.039950730450913
MTDR,Matador Resources Co,82.05,82.05,68.65,1.42,2.02,0.88,1.07,,,,,,,,,石油与天然气的勘探与生产,石油,能源,主板,0.21333320919353568
VMC,火神材料,364.4,364.4,275.59,1.42,2.02,2.83,0.78,,,,,,,,特朗普,建筑材料,建筑材料,原材料,主板,0.5387723570924332
AES,爱依斯电力,112.02,112.02,15.76,1.42,2.57,5.47,4.87,,,,,,,,光伏,独立电力生产商与能源贸易商,电力,公用事业,主板,1.8007589342376422
UAL,联合航空,152.96,152.96,46.63,1.41,1.65,2.58,1.7,,,,,,,,航空,航空公司,运输,工业,Nasdaq Global Select Market,0.4116771871167282
ITGR,Integer,38.35,38.35,114.79,1.41,2.13,0.29,0.75,,,,,,,,,医疗保健用品,医疗保健设备与服务,医疗保健,主板,0.08835931499132924
TREX,Trex Co,108.4,108.4,99.79,1.41,2.04,0.58,0.53,,,,,,,,,林业产品,纸类与林业产品,原材料,主板,0.13581805838267266
IBOC,国际银行,34.82,34.82,56.01,1.41,1.47,0.14,0.42,,,,,,,,,区域性银行,银行,金融,Nasdaq Global Select Market,0.024599182044595724
BHB,Bar Harbor Bankshares,3.93,3.93,25.88,1.41,2.55,0.01,0.3,,,,,,,,,区域性银行,银行,金融,主板,0.007181443181271909
LBRT,Liberty Energy,34.65,34.65,20.86,1.41,2.53,0.45,1.3,,,,,,,,,石油天然气设备与服务,油服工程,能源,主板,0.1812466786176315
GLW,康宁,282.76,282.76,33.13,1.41,1.59,1.79,0.63,,,,,,,,"苹果股,生物医药,电子元件,信息技术",电子设备和仪器,计算机设备,科技,主板,0.2448547089021942
PR,Permian Resources,133.45,133.45,17.29,1.41,2.05,2.24,1.68,,,,,,,,,综合性石油与天然气企业,石油,能源,主板,0.5099797483897377
LTRX,创力,1.35,1.35,3.61,1.4,2.25,0.01,0.54,,,,,,,,,通信设备,计算机设备,科技,Nasdaq Capital Market,0.008337744751741994
BLDE,Blade Air Mobility,2.18,2.18,2.89,1.4,5.26,0.03,1.44,,,,,,,,太空探索,航空货运与物流,运输,工业,Nasdaq Capital Market,0.07328221687982367
VLRS,Volaris航空,8.32,8.32,7.23,1.4,2.52,0.02,0.22,,,,,,,,,航空公司,运输,工业,主板,0.011332146262171917
NAMS,NewAmsterdam Pharma Co NV,20.04,20.04,22.45,1.4,3.12,0.02,0.08,,,,,,SPAC（特殊目的收购公司）,,,制药,制药,医疗保健,Nasdaq Global Market,0.012391221220897222
WAB,美国西屋制动,256.44,256.44,144.86,1.4,1.38,1.12,0.44,,,,,,,,,建筑机械和重型运输设备,资本品,工业,主板,0.1273860034882341
ENV,Envestnet,31.36,31.36,57.24,1.4,2.21,0.35,1.12,,,,,,,,,应用软件,软件,科技,主板,0.11766078522033181
BRKR,布鲁克,129.78,129.78,94.27,1.4,1.61,0.41,0.31,,,,,,,,,医疗保健设备,医疗保健设备与服务,医疗保健,Nasdaq Global Select Market,0.0647264055124287
TWO,Two Harbors Investment,13.51,13.51,13.06,1.4,2.25,0.15,1.12,,,,,,,,,抵押房地产投资信托,综合金融,金融,主板,0.06311152241985439
ITRI,埃创,41.31,41.31,90.12,1.4,1.91,0.39,0.94,,,,,,,,,电子设备和仪器,计算机设备,科技,Nasdaq Global Select Market,0.09915808207211031
SAFE,Safehold,14.99,14.99,21.09,1.39,4.38,0.11,0.7,,,,,,,,,多样化房地产活动,房地产管理和开发,房地产,主板,0.11888633654601269
PFIS,人民金服,2.98,2.98,42.2,1.39,2.96,0.01,0.17,,,,,,,,,区域性银行,银行,金融,Nasdaq Global Select Market,0.009749567109264865
CORT,Corcept Therapeutics,25.62,25.62,24.75,1.39,2.54,0.19,0.74,,,,,,,,,制药,制药,医疗保健,Nasdaq Capital Market,0.08222700494561608
JPM,摩根大通,5733.67,5733.67,199.06,1.39,1.58,22.26,0.39,明星股,高分红,,,,,,财产管理,综合性银行,银行,金融,主板,2.0763251695596323
MSM,MSC Industrial Direct Co,55.97,55.97,99.23,1.39,1.71,0.37,0.66,,,,,,,,,贸易公司与经销商,资本品,工业,主板,0.07469456916740069
VLCN,Volcon,0.01,0.01,0.73,1.39,8.33,0.01,59.85,,,,,,,,,摩托车制造商,汽车,可选消费,Nasdaq Capital Market,0.09774361969690733
BBVA,西班牙毕尔巴鄂比斯开银行(ADR),682.46,682.46,11.69,1.39,0.87,0.35,0.05,,高分红,,,,,,,综合性银行,银行,金融,主板,0.034254999498787984
HESM,Hess Midstream LP-A,85.18,85.18,35.82,1.39,1.59,0.17,0.2,,,,,,,,,石油与天然气的储存和运输,石油,能源,主板,0.028333129141128413
MCO,穆迪,722.25,722.25,395.62,1.39,1.22,2.89,0.4,明星股,,,,,,,"现代服务业,巴菲特持股",金融交易所和数据,综合金融,金融,主板,0.28073792763328975
WKC,World Kinect,15.78,15.78,26.36,1.38,2.23,0.21,1.31,,,,,,,,能源,煤与消费用燃料,石油,能源,主板,0.08386155845214308
JHG,骏利亨德森集团,52.22,52.22,32.29,1.38,1.79,0.25,0.48,,,,,,,,,资产管理与托管银行,综合金融,金融,主板,0.0548940122838654
BCO,布林克,39.12,39.12,87.46,1.38,1.68,0.14,0.37,,,,,,,,,安全和报警服务,商业服务,工业,主板,0.029555308085941513
ESS,埃塞克斯信托,156.66,156.66,244.01,1.38,1.93,0.77,0.49,,,,,,,,现代服务业,住宅REIT,股权房地产投资信托 (REITs),房地产,主板,0.1557373477394872
ATHM,汽车之家,32.7,32.7,26.54,1.38,2.71,0.12,0.38,明星股,,中概股,回港中概股,SEC确定摘牌名单,,,"互联网+,AR股,大消费",互动媒体与服务,媒体娱乐,科技,主板,0.05417371365214421
VVV,胜牌,58.33,58.33,44.99,1.37,2.12,0.45,0.78,,,,,,,,,商品化工,化学制品,原材料,主板,0.12514064546421896
GTE,Gran Tierra Energy,2.14,2.14,6.65,1.37,3.51,0.03,1.29,,,,,,,,,石油与天然气的勘探与生产,石油,能源,主板,0.0415964241374448
PRIM,Primoris Services,22.13,22.13,41.42,1.37,1.66,0.47,2.14,,,,,,,,,建筑与工程,资本品,工业,主板,0.1103522413984005
URI,联合租赁,483.14,483.14,719.05,1.37,2.35,4.27,0.88,,,,,,,,"现代服务业,特朗普",贸易公司与经销商,资本品,工业,主板,0.981120839111386
NKGN,NKGen Biotech,0.49,0.49,2.22,1.37,13.24,0.02,3.83,,,,,,,,,生物科技,生物科技,医疗保健,Nasdaq Global Market,0.260424787575754
DLX,豪华,9.14,9.14,20.77,1.37,1.76,0.07,0.72,,,,,,,,,商业印刷,商业服务,工业,主板,0.02246237663736852
DAL,达美航空,295.93,295.93,46.0,1.37,1.85,4.5,1.53,,,,,,,,航空,航空公司,运输,工业,主板,0.7724323177215198
CECO,CECO环保,8.02,8.02,23.0,1.37,1.63,0.05,0.65,,,,,,,,,环境与设施服务,商业服务,工业,Nasdaq Global Select Market,0.014771255009984668
IIIN,Insteel Industries,7.36,7.36,37.84,1.37,2.49,0.04,0.54,,,,,,,,,钢铁,金属与采矿,原材料,主板,0.02303927787618061
DOC,Healthpeak Properties,126.45,126.45,17.82,1.37,1.82,1.02,0.81,,,,,,,,,医疗保健REIT,股权房地产投资信托 (REITs),房地产,主板,0.1954464879186708
CPT,卡姆登物业信托,106.65,106.65,99.7,1.36,2.34,1.08,1.01,,,,,,,,,住宅REIT,股权房地产投资信托 (REITs),房地产,主板,0.3118550159845423
ONB,Old National Bancorp,50.11,50.11,17.12,1.36,1.89,0.31,0.62,,,,,,,,,区域性银行,银行,金融,Nasdaq Global Select Market,0.07459018749173081
GNRC,Generac,72.28,72.28,119.93,1.36,3.93,1.14,1.57,,,,,,,,,电气部件与设备,资本品,工业,主板,0.7526912940384033
HLLY,Holley,5.31,5.31,4.47,1.36,2.95,0.01,0.25,,,,,,,,,汽车零件与设备,汽车,可选消费,主板,0.008128327904277201
OPY,奥本海默控股,4.13,4.13,39.49,1.36,2.16,0.02,0.4,,,,,,,,,投资银行业与经纪业,综合金融,金融,主板,0.01103577472950291
SEIC,SEI Investments Co,93.04,93.04,70.83,1.36,2.03,0.38,0.41,,,,,,,,,资产管理与托管银行,综合金融,金融,Nasdaq Global Select Market,0.09073364374871666
ASND,Ascendis Pharma AS ADR,85.09,85.09,146.19,1.36,2.58,0.5,0.59,,,,,,,,,生物科技,生物科技,医疗保健,Nasdaq Global Select Market,0.17381303358505587
NNN,NNN REIT,77.84,77.84,42.66,1.35,1.24,0.58,0.75,,,,,,,,,工业REIT,股权房地产投资信托 (REITs),房地产,主板,0.07601759376553077
TDW,潮水海运,46.97,46.97,89.85,1.35,2.48,0.57,1.21,,,,,,,,,海运,运输,工业,主板,0.2092856655647733
INVA,Innoviva,9.48,9.48,14.99,1.35,2.23,0.1,1.08,,,,,,,,,制药,制药,医疗保健,Nasdaq Global Select Market,0.04554622793185053
RYAM,Rayonier Advanced Materials,2.94,2.94,4.5,1.35,3.15,0.02,0.55,,,,,,,,,特种化学制品,化学制品,原材料,主板,0.021442102142571147
STAG,STAG Industrial,69.61,69.61,38.28,1.35,1.27,0.31,0.45,,,,,,,,,工业REIT,股权房地产投资信托 (REITs),房地产,主板,0.04148215119690249
HPQ,惠普,294.33,294.33,30.08,1.35,2.32,2.02,0.68,明星股,,,,,,,"量子通信,大数据,智慧城市,信息技术",电脑硬件,计算机设备,科技,主板,0.4889458021725977
DGII,美国迪进国际,10.91,10.91,30.1,1.35,0.88,0.05,0.5,,,,,,,,物联网,通信设备,计算机设备,科技,Nasdaq Global Select Market,0.010115091095108913
GEL,Genesis Energy LP,13.83,13.83,11.29,1.35,1.97,0.03,0.19,,,,,,,,,石油与天然气的储存和运输,石油,能源,主板,0.0102634737064592
NOAH,诺亚财富,6.91,6.91,10.54,1.35,1.25,0.01,0.17,明星股,,中概股,回港中概股,,,,财产管理,资产管理与托管银行,综合金融,金融,主板,0.002292864027946086
CWH,露营世界控股,21.66,21.66,25.62,1.34,2.1,0.24,1.12,,,,,,,,,汽车零售,零售业,可选消费,主板,0.08116021821038374
HIW,海伍兹物业,27.16,27.16,25.69,1.34,1.93,0.2,0.73,,,,,,,,,办公REIT,股权房地产投资信托 (REITs),房地产,主板,0.05651405494865582
PGNY,Progyny,35.75,35.75,37.05,1.34,3.17,0.31,0.85,,,,,,,,,保健护理服务,医疗保健设备与服务,医疗保健,Nasdaq Global Market,0.1727473543205272
DOV,都福,248.88,248.88,177.9,1.34,1.69,3.63,1.46,,,,,,,,油气装备,工业机械,资本品,工业,主板,0.5564599188061198
GME,游戏驿站,41.73,41.73,13.66,1.34,4.01,0.46,1.11,,,,,,,,"网络游戏,马斯克,WSB",电脑与电子产品零售,零售业,可选消费,主板,0.34801558253852843
TW,Tradeweb Markets,249.02,249.02,105.63,1.33,1.55,0.78,0.31,,,,,,,,,投资银行业与经纪业,综合金融,金融,Nasdaq Global Select Market,0.10453466808957898
GPC,通用配件,219.42,219.42,157.38,1.33,1.52,0.98,0.45,,,,,,,,汽车制造,汽车零件与设备,汽车,可选消费,主板,0.129900494074724
ORRF,Orrstown Financial Services,2.85,2.85,26.62,1.33,2.47,0.02,0.74,,,,,,,,,区域性银行,银行,金融,Nasdaq Capital Market,0.015140914693042016
APLE,Apple Hospitality REIT,40.43,40.43,16.74,1.33,1.57,0.24,0.6,,,,,,,,,酒店及度假村REIT,股权房地产投资信托 (REITs),房地产,主板,0.04529985726785791
AQN,Algonquin Power & Utilities Cor,41.99,41.99,6.09,1.33,2.33,0.22,0.53,,,,,,,,,电力公用事业,电力,公用事业,主板,0.07528976024189447
KTB,Kontoor Brands,33.12,33.12,59.39,1.33,2.13,0.32,0.96,,,,,,,,品牌服饰,服装、服饰与奢侈品,纺织服装,可选消费,主板,0.10056947949409571
GM,通用汽车,501.25,501.25,43.42,1.33,1.75,6.6,1.32,明星股,高分红,,,,,,"汽车制造,新能源汽车,无人驾驶,新能源汽车,巴菲特持股",汽车制造商,汽车,可选消费,主板,0.9644632735010945
MPTI,M-tron Industries,1.15,1.15,41.24,1.33,3.24,0.01,1.04,,,,,,,,,电子设备和仪器,计算机设备,科技,主板,0.015000664528146902
DEA,Easterly Government Properties ,11.76,11.76,11.49,1.32,1.23,0.08,0.65,,,,,,,,,办公REIT,股权房地产投资信托 (REITs),房地产,主板,0.015314497604877464
UTL,Unitil,8.44,8.44,52.19,1.32,2.66,0.03,0.34,,,,,,,,,复合型公用事业,复合型,公用事业,主板,0.018343288014694464
AHH,Armada Hoffler Properties,7.19,7.19,10.76,1.32,1.69,0.07,1.02,,,,,,,,,多样化REIT,股权房地产投资信托 (REITs),房地产,主板,0.022551139946614278
GWW,固安捷,505.85,505.85,1029.55,1.32,2.16,2.07,0.41,,,,,,,,"现代服务业,ESG",贸易公司与经销商,资本品,工业,主板,0.416399445155915
EXR,Extra Space Storage,301.18,301.18,142.35,1.32,2.32,1.96,0.65,,,,,,,,财产管理,特种REIT,股权房地产投资信托 (REITs),房地产,主板,0.47280170392455495
EAF,GrafTech International,3.96,3.96,1.54,1.32,3.95,0.01,0.34,,,,,,,,,电子元件,计算机设备,科技,主板,0.013534832751441185
GIII,G-III Apparel Group,13.04,13.04,28.52,1.31,2.77,0.16,1.19,,,,,,,,品牌服饰,服装、服饰与奢侈品,纺织服装,可选消费,Nasdaq Global Select Market,0.09253583961527334
COP,康菲石油,1452.98,1452.98,123.51,1.31,1.57,6.06,0.42,明星股,高分红,,,,,,"油气装备,页岩油,天然气,能源",石油与天然气的勘探与生产,石油,能源,主板,0.6524244391110288
CSWI,CSW Industrials,37.29,37.29,240.1,1.31,1.92,0.21,0.57,,,,,,,,,商品化工,化学制品,原材料,Nasdaq Global Select Market,0.05497685566071608
SABR,Sabre,8.8,8.8,2.32,1.31,3.93,0.1,1.1,,,,,,,,旅游观光,酒店、度假村与豪华游轮,酒店餐饮,可选消费,Nasdaq Global Select Market,0.10649529173824765
NTGR,NETGEAR,4.6,4.6,15.5,1.31,2.61,0.04,0.93,,,,,,,,,通信设备,计算机设备,科技,Nasdaq Global Select Market,0.028341646774210843
ACIW,ACI环球,34.66,34.66,32.57,1.31,1.28,0.15,0.42,,,,,,,,,应用软件,软件,科技,Nasdaq Global Select Market,0.021995922500452656
PMT,PennyMac Mortgage Investment Tr,12.77,12.77,14.74,1.31,1.72,0.09,0.74,,,,,,,,,抵押房地产投资信托,综合金融,金融,主板,0.025519953632981537
ATKR,Atkore,68.49,68.49,186.27,1.31,2.09,0.71,1.03,,,,,,,,,电气部件与设备,资本品,工业,主板,0.18740685044721658
EWCZ,European Wax Center,8.03,8.03,13.22,1.3,3.52,0.05,0.66,,,,,,,,,特殊消费者服务,社会服务,可选消费,Nasdaq Global Select Market,0.046636767096993326
PWFL,PowerFleet,1.74,1.74,4.67,1.3,6.29,0.06,3.63,,,,,,,,,无线电信业务,电信业务,科技,Nasdaq Global Market,0.20151779426281616
UVSP,宾夕法尼亚裕益银行,5.98,5.98,20.26,1.3,1.95,0.02,0.4,,,,,,,,,区域性银行,银行,金融,Nasdaq Global Select Market,0.008461840334077902
GEF,格瑞夫-A,16.97,31.01,65.8,1.29,1.43,0.12,0.71,,,,,,,,,金属与玻璃容器,容器与包装,原材料,主板,0.02069926010759075
MAC,马塞里奇房产,37.19,37.19,17.24,1.29,3.11,0.41,1.1,,,,,,,,现代服务业,零售业REIT,股权房地产投资信托 (REITs),房地产,主板,0.22036930847846659
FLIC,长岛第一国民银行,2.47,2.47,10.98,1.29,2.03,0.02,0.8,,,,,,,,,区域性银行,银行,金融,Nasdaq Capital Market,0.011796774681614677
EXC,爱克斯龙电力,370.2,370.2,37.03,1.29,1.78,2.44,0.66,明星股,高分红,,,,,,,电力公用事业,电力,公用事业,Nasdaq Global Select Market,0.38201121265641824
VICI,VICI Properties,304.49,304.49,29.19,1.28,1.32,1.8,0.59,,,,,,,,,酒店及度假村REIT,股权房地产投资信托 (REITs),房地产,主板,0.18178978117653122
TRTX,TPG房地产金融信托,6.17,6.17,7.92,1.28,2.81,0.04,0.7,,,,,,,,,抵押房地产投资信托,综合金融,金融,主板,0.028973146579096866
UNIT,Uniti Group,15.16,15.16,6.35,1.28,2.71,0.09,0.61,,,,,,,,,多样化REIT,股权房地产投资信托 (REITs),房地产,Nasdaq Global Select Market,0.048524872611384585
CRON,Cronos Group,9.11,9.11,2.39,1.27,5.08,0.08,0.83,,,,,,,,大麻股,制药,制药,医疗保健,Nasdaq Global Market,0.1211847160038852
HSHP,Himalaya Shipping,3.51,3.51,8.0,1.27,3.16,0.01,0.37,,,,,,,,次新上市股,海运,运输,工业,主板,0.010189923823974765
SHG,新韩金融,192.9,192.9,37.62,1.27,2.37,0.09,0.05,,,,,,,,,其它综合性金融服务,综合金融,金融,主板,0.024000718106716598
ADSK,欧特克,568.48,568.48,265.75,1.27,1.91,4.51,0.79,明星股,,,,,,,"软件外包,SaaS",应用软件,软件,科技,Nasdaq Global Select Market,0.7408033824373452
SM,SM Energy Co,56.52,56.52,48.83,1.27,1.6,0.69,1.22,,,,,,,,,石油与天然气的勘探与生产,石油,能源,主板,0.1254192579771589
VREX,Varex Imaging,7.16,7.16,17.62,1.26,2.18,0.05,0.67,,,,,,,,,医疗保健设备,医疗保健设备与服务,医疗保健,Nasdaq Global Select Market,0.023785886671734847
EEFT,嘉银通,50.36,50.36,110.0,1.26,1.94,0.27,0.53,,,,,,,,互联网,交易与支付处理服务,综合金融,金融,Nasdaq Global Select Market,0.06754077688636191
BCAB,BioAtla,1.16,1.16,2.41,1.26,6.72,0.01,0.47,,,,,,,,,制药,制药,医疗保健,Nasdaq Global Market,0.04170453556281851
GMS,GMS,38.73,38.73,97.24,1.26,2.75,0.44,1.14,,,,,,,,,建筑产品,资本品,工业,主板,0.19583782953656761
MIR,Mirion Technologies,25.45,25.45,11.26,1.26,1.35,0.21,0.81,,,,,,,,,调查和咨询服务,商业服务,工业,主板,0.034554840887537894
GRBK,Green Brick Partners,26.41,26.41,58.72,1.26,1.47,0.21,0.81,,,,,,,,,住宅建筑,耐用商品,可选消费,主板,0.03918925479953782
WRLD,环球验收,8.42,8.42,138.46,1.26,2.73,0.06,0.66,,,,,,,,,消费信贷,综合金融,金融,Nasdaq Global Select Market,0.03814525078568202
MEC,Mayville Engineering Co,2.95,2.95,14.49,1.26,4.82,0.01,0.33,,,,,,,,,工业机械,资本品,工业,主板,0.019648769570255808
MAA,MAA房产信托,155.16,155.16,132.94,1.26,1.72,0.87,0.56,,,,,,,,,住宅REIT,股权房地产投资信托 (REITs),房地产,主板,0.14768809068209973
NXRT,NexPoint Residential Trust,8.1,8.1,31.44,1.26,2.06,0.04,0.55,,,,,,,,,住宅REIT,股权房地产投资信托 (REITs),房地产,主板,0.016874718202042265
