isin,euronext_code,证券名称,degiro_symbol,证券代码,category,currency,exchangeId,exchange_degiro,exchange_mic_code,exchange_name,market,isShortable,feedQuality,feedQualitySecondary,icb_industry,full_symbol,isin_tv,logoid,type,Value.Traded,market_cap_basic,fundamental_currency_code,sector,industry,is_primary,exchange,country,currency_id,forex_rate,总市值,成交额,换手率,地区,is_primary_listing,primary_symbol,ticker_title,code,correct_industry,名称翻译,en_name,dr_name,一级行业,二级行业,三级行业,市场,异动值,exchange_code,trade_currency,最新价,涨跌幅,last_traded_at,close_price,trading_date
NL0011821202,NL0011821202-BGEM,(荷兰国际),1INGA,1INGA,B,EUR,608,MIL,BGEM,Borsa Italiana S.p.A.,italy,False,D15,,Banks,MIL:1INGA,NL0011821202,ing,stock,7450.0,51411458536.6797,USD,Finance,Major Banks,False,MIL,Netherlands,EUR,1.07119,514.114585366797,7.9803655e-05,0.0,欧洲,False,EURONEXT:INGA,ING GROEP N.V.,,,,ING Groep,荷兰国际,金融,银行,主要银行,意大利,8.871468265844257e-06,,,,,,,
FR0000121485,FR0000121485-BGEM,(开云(巴黎春天)),1KER,1KER,D,EUR,608,MIL,BGEM,Borsa Italiana S.p.A.,italy,False,D15,,Clothing and Accessories,MIL:1KER,FR0000121485,kering,stock,302663.7,43227329168.8554,USD,Consumer Non-Durables,Consumer Sundries,False,MIL,France,EUR,1.07119,432.273291688554,0.00324210328803,0.0,欧洲,False,EURONEXT:KER,KERING,,,,Kering SA,开云(巴黎春天),消费,日常消费,小商品,意大利,0.0013577684316299,,,,,,,
DE0008232125,DE0008232125-BGEM,(汉莎航空),1LHA,1LHA,C,EUR,608,MIL,BGEM,Borsa Italiana S.p.A.,italy,False,D15,,Airlines,MIL:1LHA,DE0008232125,lufthansa,stock,86060.992,8536023689.8583,USD,Transportation,Airlines,False,MIL,Germany,EUR,1.07119,85.360236898583,0.0009218767402048,0.0,欧洲,False,XETR:LHA,LUFTHANSA AG VNA O.N.,,,,Deutsche Lufthansa AG,汉莎航空,制造业,运输,航空公司,意大利,0.0001362728030454,,,,,,,
DE0007100000,DE0007100000-BGEM,(梅赛德斯奔驰),1MBG,1MBG,C,EUR,608,MIL,BGEM,Borsa Italiana S.p.A.,italy,False,D15,,Automobiles,MIL:1MBG,DE0007100000,daimler,stock,18699.5,84028350646.1588,USD,Consumer Durables,Motor Vehicles,False,MIL,Germany,EUR,1.07119,840.283506461588,0.00020030717405,0.0,欧洲,False,XETR:MBG,Merck,,,,Mercedes-Benz Group AG,梅赛德斯奔驰,制造业,汽车,汽车整车,意大利,3.102376251359091e-05,,,,,,,
DE0008430026,DE0008430026-BGEM,(慕尼黑再保险),1MUV2,1MUV2,D,EUR,608,MIL,BGEM,Borsa Italiana S.p.A.,italy,False,D15,,Reinsurance,MIL:1MUV2,DE0008430026,munichre,stock,8212.0,61951991537.6321,USD,Finance,Life/Health Insurance,False,MIL,Germany,EUR,1.07119,619.519915376321,8.796612280000002e-05,0.0,欧洲,False,XETR:MUV2,MUENCH.RUECKVERS.VNA O.N.,,,,Muenchener Rueckversicherungs Gesellschaft AG in Muenchen,慕尼黑再保险,金融,保险,人寿/健康保险,意大利,2.8974112695849777e-05,,,,,,,
FI0009000681,FI0009000681-BGEM,Nokia Oyj,1NOKIA,1NOKI,B,EUR,608,MIL,BGEM,Borsa Italiana S.p.A.,italy,False,D15,,Telecommunications Equipment,,,,,,,,,,,,,,,,,,,,,,,,,Nokia Oyj,,,,,,,,,,,,,
FR0000133308,FR0000133308-BGEM,(法国电信),1ORA,1ORA,D,EUR,608,MIL,BGEM,Borsa Italiana S.p.A.,italy,False,D15,,Telecommunications Services,MIL:1ORA,FR0000133308,orange,stock,7637.86,29905267559.2936,USD,Communications,Wireless Telecommunications,False,MIL,France,EUR,1.07119,299.052675592936,8.1815992534e-05,0.0,欧洲,False,EURONEXT:ORA,ORANGE,,,,Orange SA,法国电信,科技,通信,电信运营,意大利,2.382955662349261e-06,,,,,,,
NL0000009538,NL0000009538-BGEM,(飞利浦),1PHIA,1PHIA,B,EUR,608,MIL,BGEM,Borsa Italiana S.p.A.,italy,False,D15,,Medical Equipment,MIL:1PHIA,NL0000009538,philips,stock,1937.0,18781920808.853,USD,Health Technology,Medical Specialties,False,MIL,Netherlands,EUR,1.07119,187.81920808853,2.07489503e-05,0.0,欧洲,,,,,,,Koninklijke Philips,飞利浦,医药,医疗,医疗器械,意大利,2.5368301430676813e-07,,,,,,,
DE0006969603,DE0006969603-BGEM,Puma SE,1PUM,1PUM,D,EUR,608,MIL,BGEM,Borsa Italiana S.p.A.,italy,False,D15,,Footwear,,,,,,,,,,,,,,,,,,,,,,,,,Puma SE,,,,,,,,,,,,,
DE0007037129,DE0007037129-BGEM,(RWE AG),1RWE,1RWE,D,EUR,608,MIL,BGEM,Borsa Italiana S.p.A.,italy,False,D15,,Multi-utilities,MIL:1RWE,DE0007037129,rwe,stock,97666.80000000002,25445618589.3368,USD,Utilities,Electric Utilities,False,MIL,Germany,EUR,1.07119,254.456185893368,0.00104619699492,0.0,欧洲,False,XETR:RWE,RWE AG INH O N,,,,RWE AG,RWE AG,公用事业,电力,电力公司,意大利,0.0001336832615154,,,,,,,
DE0007037129,DE0007037129-BGEM,(RWE AG),1RWE,1RWE,D,EUR,608,MIL,BGEM,Borsa Italiana S.p.A.,italy,False,D15,,Multi-utilities,MIL:1RWE,DE0007037129,rwe,stock,97666.80000000002,25445618589.3368,USD,Utilities,Electric Utilities,False,MIL,Germany,EUR,1.07119,254.456185893368,0.00104619699492,0.0,欧洲,False,XETR:RWE,RWE AG INH O N,,,,RWE AG,RWE AG,公用事业,电力,电力公司,意大利,0.0001336832615154,,,,,,,
FR0000120578,FR0000120578-BGEM,(赛诺菲),1SAN,1SAN,D,EUR,608,MIL,BGEM,Borsa Italiana S.p.A.,italy,False,D15,,Pharmaceuticals,MIL:1SAN,FR0000120578,sanofi,stock,262160.0,123494463130.0893,USD,Health Technology,Pharmaceuticals: Major,False,MIL,France,EUR,1.07119,1234.944631300893,0.002808231704,0.0,欧洲,False,EURONEXT:SAN,Sanofi,,,,Sanofi SA,赛诺菲,医药,制药,主要制药,意大利,0.0002052080067657,,,,,,,
ES0113900J37,ES0113900J37-BGEM,(西班牙国际银行),1SANX,1SANX,A,EUR,608,MIL,BGEM,Borsa Italiana S.p.A.,italy,False,D15,,Banks,MIL:1SANX,ES0113900J37,santander,stock,31051.44,80457671852.49069,USD,Finance,Major Banks,False,MIL,Spain,EUR,1.07119,804.5767185249069,0.000332619920136,0.0,欧洲,False,BME:SAN,Santander,,,,Banco Santander SA,西班牙国际银行,金融,银行,主要银行,意大利,9.315417915422044e-05,,,,,,,
DE0007164600,DE0007164600-BGEM,(SAP),1SAP,1SAP,C,EUR,608,MIL,BGEM,Borsa Italiana S.p.A.,italy,False,D15,,Software,MIL:1SAP,DE0007164600,sap,stock,23286.52,213084779556.616,USD,Technology Services,Packaged Software,False,MIL,Germany,EUR,1.07119,2130.84779556616,0.000249442873588,0.0,欧洲,False,XETR:SAP,SAP,,,,SAP SE,SAP,科技,IT技术,软件开发,意大利,2.9911277909207805e-05,,,,,,,
DE0007236101,DE0007236101-BGEM,(西门子),1SIE,1SIE,C,EUR,608,MIL,BGEM,Borsa Italiana S.p.A.,italy,False,D15,,Diversified Industrials,MIL:1SIE,DE0007236101,siemens,stock,38720.0,146975479537.5909,USD,Producer Manufacturing,Industrial Machinery,False,MIL,Germany,EUR,1.07119,1469.7547953759092,0.000414764768,0.0,欧洲,False,XETR:SIE,Siemens,,,,Siemens AG,西门子,制造业,机械,机械加工设备,意大利,3.948850283426343e-05,,,,,,,
ES0178430E18,ES0178430E18-BGEM,(西班牙电信),1TEF,1TEF,B,EUR,608,MIL,BGEM,Borsa Italiana S.p.A.,italy,False,D15,,Telecommunications Services,MIL:1TEF,ES0178430E18,telefonica,stock,64324.880000000005,25599343254.1287,USD,Communications,Specialty Telecommunications,False,MIL,Spain,EUR,1.07119,255.993432541287,0.000689041682072,0.0,欧洲,False,BME:TEF,Telefónica,,,,Telefonica SA,西班牙电信,科技,通信,电信运营,意大利,0.0017971624258601,,,,,,,
DE0007664039,DE0007664039-BGEM,(大众),1VOW3,1VOW3,B,EUR,608,MIL,BGEM,Borsa Italiana S.p.A.,italy,False,CX,D15,Automobiles,MIL:1VOW3,DE0007664039,volkswagen,stock,154344.9,69676180055.8924,USD,Consumer Durables,Motor Vehicles,False,MIL,Germany,EUR,1.07119,696.7618005589239,0.00165332713431,0.0,欧洲,False,XETR:VOW,Volkswagen,,,,Volkswagen AG,大众,制造业,汽车,汽车整车,意大利,0.0001773793739857,,,,,,,
IT0001233417,IT0001233417-MTAA,A2A S.P.A.,A2A,A2A,A,EUR,608,MIL,MTAA,Borsa Italiana S.p.A.,italy,False,CX,D15,Conventional Electricity,MIL:A2A,IT0001233417,a2a,stock,10748865.6375,6020635709.9897,USD,Utilities,Electric Utilities,True,MIL,Italy,EUR,1.07119,60.206357099897005,0.1151407738223362,0.0019,欧洲,True,MIL:A2A,A2A,,,,A2A S.P.A.,,公用事业,电力,电力公司,意大利,0.0,MTAA,EUR,1.797,0.31,15:33 CEST26 Apr 2024,1.7915,25 Apr 2024
FR0000062465,FR0000062465-XPAR,Verneuil Participations,VRNL,AAA,D,EUR,710,EPA,XPAR,Euronext Paris,france,False,R,,Diversified Financial Services ,EURONEXT:AAA,FR0000062465,,stock,7770.299999999999,440967437.2057,USD,Commercial Services,Miscellaneous Commercial Services,True,EURONEXT,France,EUR,1.07119,4.409674372057,8.323467657e-05,0.0,欧洲,True,EURONEXT:AAA,ALAN ALLMAN ASSOCIATES,,,,Verneuil Participations,,消费,商业服务,综合商业,法国,3.0293011303498417e-05,XPAR,EUR,8.90,-1.11,15:27 CEST26 Apr 2024,9.00,25 Apr 2024
NL0000852564,NL0000852564-XAMS,Aalberts Industries,AALB,AALB,B,EUR,200,EAM,XAMS,Euronext Amsterdam,netherlands,True,R,,Electronic Equipment: Control and Filter,EURONEXT:AALB,NL0000852564,aalberts-n-v,stock,1111097.6800000002,5190779247.0445,USD,Producer Manufacturing,Semiconductors,True,EURONEXT,Netherlands,EUR,1.07119,51.907792470445,0.011901967238392,0.0002,欧洲,True,EURONEXT:AALB,AALBERTS N.V.,AALB,Semiconductors,,Aalberts Industries,,科技,电子,半导体,荷兰,0.0018186924303691,XAMS,EUR,44.44,1.55,15:32 CEST26 Apr 2024,43.76,25 Apr 2024
FR0010557264,FR0010557264-XPAR,AB Science,AB,AB,D,EUR,710,EPA,XPAR,Euronext Paris,france,False,R,,Biotechnology,EURONEXT:AB,FR0010557264,ab-science-sa,stock,39662.816,105233910.2754,USD,Health Technology,Pharmaceuticals: Other,True,EURONEXT,France,EUR,1.07119,1.052339102754,0.0004248641187104,0.0004,欧洲,True,EURONEXT:AB,AB SCIENCE,,,,AB Science,,医药,制药,其他制药,法国,0.0004041179472879,XPAR,EUR,1.912,1.49,15:28 CEST26 Apr 2024,1.884,25 Apr 2024
FR0004040608,FR0004040608-XPAR,ABC Arbitrage,ABCA,ABCA,D,EUR,710,EPA,XPAR,Euronext Paris,france,False,R,,Investment Services,EURONEXT:ABCA,FR0004040608,abc-arbitrage,stock,253282.155,246928945.0404,USD,Finance,Investment Managers,True,EURONEXT,France,EUR,1.07119,2.469289450404,0.0027131331161445,0.0011,欧洲,True,EURONEXT:ABCA,ABC ARBITRAGE,,,,ABC Arbitrage,,金融,资产管理,投资经理,法国,0.0009112773494206,XPAR,EUR,3.98,2.05,15:32 CEST26 Apr 2024,3.90,25 Apr 2024
FR0013185857,FR0013185857-XPAR,Abeo SAS,ABEO,ABEO,D,EUR,710,EPA,XPAR,Euronext Paris,france,False,R,,Recreational Products,EURONEXT:ABEO,FR0013185857,,stock,7117.0,88672313.6891,USD,Consumer Durables,Recreational Products,True,EURONEXT,France,EUR,1.07119,0.886723136891,7.62365923e-05,0.0001,欧洲,True,EURONEXT:ABEO,ABEO,,,,Abeo SAS,,消费,可选消费,休闲产品,法国,0.0,XPAR,EUR,11.00,0,15:03 CEST26 Apr 2024,11.00,25 Apr 2024
BE0974293251,BE0974293251-XBRU,(百威英博),ABI,ABI,A,EUR,320,EBR,XBRU,Euronext Brussels,belgium,True,R,,Brewers,EURONEXT:ABI,BE0974293251,anheuser-busch-inbev,stock,21851764.44,122738695950.434,USD,Consumer Non-Durables,Beverages: Alcoholic,True,EURONEXT,Belgium,EUR,1.07119,1227.38695950434,0.234073915504836,0.0002,欧洲,,,,,,,Anheuser Busch Inbev SA,百威英博,消费,食品饮料,酒,比利时,0.0005975566031066,XBRU,EUR,56.02,-0.07,15:33 CEST26 Apr 2024,56.06,25 Apr 2024
NL0011540547,NL0011540547-XAMS,ABN Amro Bank,ABN,ABN,B,EUR,200,EAM,XAMS,Euronext Amsterdam,netherlands,True,R,,,EURONEXT:ABN,NL0011540547,abn-amro,dr,27336927.435,14739980506.6234,USD,Finance,Major Banks,True,EURONEXT,Netherlands,EUR,1.07119,147.399805066234,0.2928304329909765,0.002,欧洲,,,,,,,ABN Amro Bank,,金融,银行,主要银行,荷兰,0.1848143361038163,XAMS,EUR,15.215,1.53,15:33 CEST26 Apr 2024,15.875,25 Apr 2024
FR0012616852,FR0012616852-XPAR,Abionyx Pharma SA,ABNX,ABNX,D,EUR,710,EPA,XPAR,Euronext Paris,france,False,R,,Biotechnology,EURONEXT:ABNX,FR0012616852,abionyx-pharma-sa,stock,12645.596,35135576.2272,USD,Health Technology,Pharmaceuticals: Major,True,EURONEXT,France,EUR,1.07119,0.351355762272,0.0001354583597924,0.0004,欧洲,True,EURONEXT:ABNX,ABIONYX PHARMA,,,,Abionyx Pharma SA,,医药,制药,主要制药,法国,0.0,XPAR,EUR,1.02,0.2,15:31 CEST26 Apr 2024,1.018,25 Apr 2024
BE0974278104,BE0974278104-XBRU,ABO-Group Environment,ABO,ABO,D,EUR,320,EBR,XBRU,Euronext Brussels,belgium,False,R,,Engineering and Contracting Services,EURONEXT:ABO,BE0974278104,abo-environment,stock,3270.0,61787095.2108,USD,Commercial Services,Miscellaneous Commercial Services,True,EURONEXT,Belgium,EUR,1.07119,0.617870952108,3.5027913000000006e-05,0.0001,欧洲,True,EURONEXT:ABO,ABO,,,,ABO-Group Environment,,消费,商业服务,综合商业,比利时,0.0,"XBRU, XPAR",EUR,5.45,0,14:42 CEST26 Apr 2024,5.45,25 Apr 2024
