股票代码,股票简称,PE,扣非PE,PB,扣非ROE,ROE,ROA,股息率,分红比例,毛利率,净利率,扣非净利润增速,营收增速,商誉占净资产比例,资产负债率,扣非PEG,扣非市赚率,市赚率
688056.SH,莱伯泰科,45.59,79.0,2.64,3.45,4.21,3.73,2.39,33.5,44.87,11.28,14.89,3.72,1.93,11.57,21.26,22.93,10.83
688375.SH,国博电子,85.74,76.33,5.83,4.98,4.98,3.6,0.79,124.29,36.39,16.9,-27.25,-35.83,,25.29,-2.13,15.32,17.22
000338.SZ,潍柴动力,11.02,12.16,1.43,9.3,10.14,3.82,3.8,54.93,21.86,6.39,36.73,0.98,20.38,64.73,12.41,1.31,1.09
000937.SZ,冀中能源,13.66,11.86,1.02,5.46,5.59,4.74,8.4,70.56,35.89,10.66,-50.11,-27.66,0.38,52.48,-0.43,2.17,2.44
001336.SZ,楚环科技,53.26,47.3,1.97,2.3,2.78,2.0,0.35,12.8,34.57,7.95,5.24,-3.76,,36.53,-12.58,20.59,19.16
002009.SZ,天奇股份,-73.25,-23.14,2.68,-5.19,-2.76,0.15,,-10.25,13.37,-2.73,69.75,-24.21,16.99,64.27,扣非亏损,扣非亏损,亏损
002075.SZ,沙钢股份,121.0,-697.66,2.66,-0.13,1.58,0.48,1.31,52.72,4.66,1.0,-121.88,-6.29,,63.49,扣非亏损,扣非亏损,76.58
002353.SZ,杰瑞股份,18.56,17.55,1.97,7.08,8.09,5.94,1.74,11.29,35.02,20.49,-8.66,-8.1,0.42,39.95,-2.17,2.48,2.29
002363.SZ,隆基机械,59.43,86.95,1.38,1.53,1.72,0.85,0.98,72.89,9.48,1.97,8.55,5.48,0.32,34.78,15.87,56.95,34.55
002734.SZ,利民股份,41.81,42.0,1.15,1.24,1.88,2.21,2.51,166.75,18.13,1.76,198.44,-1.58,1.24,60.02,-26.66,33.76,22.24
002833.SZ,弘亚数控,12.28,13.95,2.7,15.44,16.04,12.83,6.76,42.23,32.59,21.21,-6.85,5.78,,27.33,2.41,0.9,0.77
300320.SZ,海达股份,46.12,45.58,3.13,5.12,5.21,4.31,0.32,14.0,18.1,5.18,29.37,23.09,7.08,36.2,1.97,8.91,8.85
