股票代码,股票简称,港股@最新价,港股@最新涨跌幅,港股@所属恒生行业(二级),港股@所属概念,港股@总市值[20240308],港股@流通市值[20240308],港股@所属恒生行业,market_code,code
0256.HK,冠城钟表珠宝,1.060,1.923,纺织及服饰,"奢侈品股[HK],物业投资[HK]",4613001498.36,4613001498.36,非必需性消费,177,HK0256
0465.HK,富通科技,0.265,1.923,软件服务,现代服务业[HK],82481250.0,82481250.0,资讯科技业,177,HK0465
1189.HK,大湾区聚变力量,0.053,1.923,旅游及消闲设施,连锁酒店[HK],41828185.438,41828185.438,非必需性消费,177,HK1189
8329.HK,海王英特龙,0.159,1.923,药品及生物科技,生物医药[HK],266802000.0,67734000.0,医疗保健业,178,HK8329
2450.HK,淮北绿金股份,0.530,1.923,建筑,,139920000.0,34980000.0,地产建筑业,177,HK2450
6608.HK,百融云-W,13.840,1.915,软件服务,"SaaS概念[HK],同股不同权[HK]",7020301455.6,7020301455.6,资讯科技业,177,HK6608
0564.HK,郑煤机,10.660,1.912,汽车,"国企改革[HK],比亚迪概念[HK]",28896916389.551,2592876572.0,非必需性消费,177,HK0564
1712.HK,龙资源,1.600,1.911,黄金及贵金属,"金属镍[HK],黄金[HK]",252954580.8,252954580.8,原材料业,177,HK1712
2696.HK,复宏汉霖,13.960,1.898,药品及生物科技,"生物医药B类[HK],肝炎概念[HK]",7587188147.88,2281462432.36,医疗保健业,177,HK2696
0535.HK,金地商置,0.270,1.887,地产,"物业投资[HK],香港房地产[HK]",4485695443.29,4485695443.29,地产建筑业,177,HK0535
1896.HK,猫眼娱乐,8.640,1.887,媒体及娱乐,"影视娱乐[HK],新经济概念[HK],电影概念[HK],腾讯概念[HK]",10005235248.96,10005235248.96,非必需性消费,177,HK1896
8041.HK,荟萃国际(控股),0.270,1.887,软件服务,电子商务[HK],216414616.05,216414616.05,资讯科技业,178,HK8041
8300.HK,今米房集团,0.270,1.887,旅游及消闲设施,餐饮连锁[HK],713707200.0,713707200.0,非必需性消费,178,HK8300
8403.HK,天平道合,0.540,1.887,媒体及娱乐,,64800000.0,64800000.0,非必需性消费,178,HK8403
1093.HK,石药集团,5.950,1.884,药品及生物科技,"CAR-T[HK],创新药[HK],医药股[HK],抗疫[HK],抗癌概念[HK],新经济[HK],生物医药[HK],红筹股[HK]",70824157405.4,70824157405.4,医疗保健业,177,HK1093
9989.HK,海普瑞,2.730,1.866,药品及生物科技,,12294447475.486,600857985.0,医疗保健业,177,HK9989
0737.HK,湾区发展,1.640,1.863,工用运输,,10146833215.996,5053972064.12,工业,177,HK0737
0037.HK,远东酒店实业,0.550,1.852,地产,连锁酒店[HK],413891395.5,413891395.5,地产建筑业,177,HK0037
0337.HK,绿地香港,0.275,1.852,地产,"内地房地产[HK],物业投资[HK],知名公司[HK],红筹股[HK]",767768287.825,767768287.825,地产建筑业,177,HK0337
1618.HK,中国中冶,1.650,1.852,建筑,"MSCI概念[HK],一带一路[HK],内地房地产[HK],冬奥会[HK],国企改革[HK],土壤修复[HK],基础建设[HK],生物质能发电[HK],金属铅[HK],金属锌[HK],金属镍[HK]",70431798849.006,4737150000.0,地产建筑业,177,HK1618
1753.HK,兑吧,0.275,1.852,媒体及娱乐,SaaS概念[HK],296126380.0,296126380.0,非必需性消费,177,HK1753
2342.HK,京信通信,0.550,1.852,资讯科技器材,"5G[HK],华为概念[HK],电讯设备[HK],移动互联网[HK]",1521163967.4,1521163967.4,资讯科技业,177,HK2342
2153.HK,达丰设备,1.100,1.852,工业工程,,1283558375.0,1283558375.0,工业,177,HK2153
0848.HK,茂业国际,0.166,1.841,专业零售,"物业投资[HK],百货业[HK],零售股[HK]",853294116.0,853294116.0,非必需性消费,177,HK0848
1843.HK,快餐帝国,0.166,1.841,旅游及消闲设施,餐饮连锁[HK],132800000.0,132800000.0,非必需性消费,177,HK1843
0127.HK,华人置业,1.110,1.835,地产,"物业投资[HK],知名公司[HK],香港概念[HK]",2117457177.69,2117457177.69,地产建筑业,177,HK0127
3868.HK,信义能源,1.110,1.835,公用事业,"光伏太阳能[HK],碳中和[HK],绿色电力[HK]",9164813403.72,9164813403.72,公用事业,177,HK3868
0179.HK,德昌电机控股,11.120,1.832,汽车,"工业4.0[HK],汽车热管理[HK]",10390661818.08,10390661818.08,非必需性消费,177,HK0179
6098.HK,碧桂园服务,5.560,1.832,地产,"物业管理[HK],知名公司[HK]",18587193068.16,18587193068.16,地产建筑业,177,HK6098
3990.HK,美的置业,3.900,1.828,地产,"内地房地产[HK],粤港澳[HK]",5598104783.7,5598104783.7,地产建筑业,177,HK3990
9866.HK,蔚来-SW,44.650,1.824,汽车,"回港中概股[HK],新能源汽车[HK],知名公司[HK],腾讯概念[HK]",76758068612.0,76758068612.0,非必需性消费,177,HK9866
0035.HK,远东发展,1.120,1.818,地产,"物业投资[HK],香港房地产[HK]",3155716710.72,3155716710.72,地产建筑业,177,HK0035
0629.HK,悦达国际控股,0.224,1.818,其他金融,"小金属[HK],红筹股[HK]",261772339.584,261772339.584,金融业,177,HK0629
0993.HK,华融金控,0.056,1.818,其他金融,财产管理[HK],487736816.616,487736816.616,金融业,177,HK0993
2007.HK,碧桂园,0.560,1.818,地产,"内地房地产[HK],智慧城市[HK],知名公司[HK],粤港澳[HK],钙钛矿电池[HK]",15673564449.76,15673564449.76,地产建筑业,177,HK2007
1284.HK,新传企划,0.280,1.818,媒体及娱乐,次新股[HK],168000000.0,168000000.0,非必需性消费,177,HK1284
0777.HK,网龙,11.220,1.815,软件服务,"互联网出海[HK],元宇宙[HK],手机游戏[HK],教育服务[HK],新经济[HK],移动互联网[HK],网络游戏[HK]",5960765620.26,5960765620.26,资讯科技业,177,HK0777
0751.HK,创维集团,2.810,1.812,家庭电器及用品,"F5G概念[HK],LED[HK],MSCI概念[HK],人工智能[HK],家用电器[HK],消费电子[HK],电子信息[HK],知名公司[HK]",6673366210.2,6673366210.2,非必需性消费,177,HK0751
0267.HK,中信股份,7.980,1.786,综合企业,"F5G概念[HK],中信系[HK],冬奥会[HK],红筹股[HK],腾讯概念[HK],航空股[HK],财产管理[HK]",232140295787.4,232140295787.4,综合企业,177,HK0267
0400.HK,硬蛋创新,1.140,1.786,软件服务,"人工智能[HK],机器人[HK],物联网[HK],电子信息[HK],芯片替代[HK],虚拟现实[HK]",1589459514.48,1589459514.48,资讯科技业,177,HK0400
0635.HK,彩星集团,0.570,1.786,家庭电器及用品,"婴童[HK],玩具及消闲用品[HK]",1179900000.0,1179900000.0,非必需性消费,177,HK0635
0716.HK,胜狮货柜,0.570,1.786,工业工程,,1357857373.26,1357857373.26,工业,177,HK0716
6136.HK,康达环保,0.285,1.786,公用事业,节能环保[HK],609824475.0,609824475.0,公用事业,177,HK6136
2325.HK,云康集团,11.400,1.786,药品及生物科技,数字经济[HK],7082255700.0,7082255700.0,医疗保健业,177,HK2325
0780.HK,同程旅行,19.460,1.778,旅游及消闲设施,"新经济概念[HK],旅游及观光[HK],独角兽[HK],知名公司[HK],腾讯概念[HK],节假日概念[HK]",43999962982.92,43999962982.92,非必需性消费,177,HK0780
6680.HK,金力永磁,7.440,1.778,一般金属及矿石,比亚迪概念[HK],22857767517.677,1493547264.0,原材料业,177,HK6680
0542.HK,中国文旅农业,0.172,1.775,地产,"物业投资[HK],连锁酒店[HK]",1322191182.88,1322191182.88,地产建筑业,177,HK0542
1950.HK,帝王实业控股,0.172,1.775,原材料,,123840000.0,123840000.0,原材料业,177,HK1950
1065.HK,天津创业环保股份,2.870,1.773,公用事业,"国企改革[HK],土壤修复[HK],环保[HK],节能环保[HK]",8214749566.3527,975800000.0,公用事业,177,HK1065
2235.HK,微泰医疗-B,4.070,1.750,医疗保健设备和服务,生物医药B类[HK],1732772382.0,707530598.94,医疗保健业,177,HK2235
8513.HK,加和国际控股,0.233,1.747,医疗保健设备和服务,医疗器械[HK],158916752.484,158916752.484,医疗保健业,178,HK8513
2883.HK,中海油田服务,7.000,1.744,石油及天然气,"国企改革[HK],天然气[HK],石油股[HK]",61179117556.547,12677868000.0,能源业,177,HK2883
1870.HK,益美国际控股,1.760,1.734,建筑,,1098240000.0,1098240000.0,地产建筑业,177,HK1870
6185.HK,康希诺生物,16.500,1.726,药品及生物科技,抗疫[HK],8916600006.7785,2189069850.0,医疗保健业,177,HK6185
0655.HK,香港华人有限公司,0.295,1.724,地产,现代服务业[HK],589492628.615,589492628.615,地产建筑业,177,HK0655
1235.HK,专业旅运,0.118,1.724,旅游及消闲设施,"在线旅游[HK],旅游及观光[HK]",60163362.0,60163362.0,非必需性消费,177,HK1235
1815.HK,金猫银猫,0.295,1.724,专业零售,,365173136.8,365173136.8,非必需性消费,177,HK1815
2369.HK,酷派集团,0.059,1.724,资讯科技器材,"人工智能[HK],智能穿戴[HK],电讯设备[HK],移动互联网[HK]",966479469.345,966479469.345,资讯科技业,177,HK2369
2878.HK,晶门半导体,0.295,1.724,半导体,"军工股[HK],电子信息[HK],芯片替代[HK]",736217443.545,736217443.545,资讯科技业,177,HK2878
2150.HK,奈雪的茶,2.970,1.712,旅游及消闲设施,餐饮连锁[HK],5093924656.59,5093924656.59,非必需性消费,177,HK2150
0583.HK,长城环亚控股,0.300,1.695,地产,文化传媒[HK],470323678.8,470323678.8,地产建筑业,177,HK0583
0978.HK,招商局置地,0.300,1.695,地产,"国企改革[HK],智能穿戴[HK],红筹股[HK],香港房地产[HK]",1471577358.0,1471577358.0,地产建筑业,177,HK0978
1348.HK,滉达富控股,0.060,1.695,家庭电器及用品,"玩具及消闲用品[HK],移动互联网[HK]",88453920.0,88453920.0,非必需性消费,177,HK1348
1705.HK,宾仕国际,0.300,1.695,食物饮品,,120000000.0,120000000.0,必需性消费,177,HK1705
8446.HK,耀星科技集团,0.240,1.695,媒体及娱乐,影视娱乐[HK],195175654.56,195175654.56,非必需性消费,178,HK8446
6666.HK,恒大物业,0.600,1.695,地产,"物业管理[HK],知名公司[HK]",6486486600.0,6486486600.0,地产建筑业,177,HK6666
0014.HK,希慎兴业,12.020,1.692,地产,"租赁[HK],高股息概念[HK]",12344638840.46,12344638840.46,地产建筑业,177,HK0014
0875.HK,中国金控,2.410,1.688,农业产品,农业现代化[HK],914009461.58,914009461.58,必需性消费,177,HK0875
6918.HK,奇士达,0.181,1.685,家庭电器及用品,玩具及消闲用品[HK],113046084.0,113046084.0,非必需性消费,177,HK6918
1113.HK,长实集团,36.350,1.678,地产,"知名公司[HK],蓝筹地产股[HK],长和系[HK],香港房地产[HK],香港概念[HK]",128994675504.55,128994675504.55,地产建筑业,177,HK1113
1234.HK,中国利郎,4.250,1.675,纺织及服饰,品牌服饰[HK],5089310905.75,5089310905.75,非必需性消费,177,HK1234
0212.HK,南洋集团,24.300,1.674,地产,物业投资[HK],825416033.4,825416033.4,地产建筑业,177,HK0212
1051.HK,国际资源,2.430,1.674,其他金融,"贸易战概念股[HK],黄金[HK]",1095478211.97,1095478211.97,金融业,177,HK1051
0846.HK,明发集团,0.305,1.667,地产,芯片替代[HK],1858502562.93,1858502562.93,地产建筑业,177,HK0846
1152.HK,正乾金融控股,0.061,1.667,食物饮品,品牌服饰[HK],59902000.0,59902000.0,必需性消费,177,HK1152
1238.HK,宝龙地产,0.610,1.667,地产,内地房地产[HK],2525645830.0,2525645830.0,地产建筑业,177,HK1238
1883.HK,中信国际电讯,3.060,1.661,电讯,"5G[HK],中信系[HK],移动互联网[HK]",11323344508.92,11323344508.92,电讯业,177,HK1883
81024.HK,快手-WR,43.000,1.655,,,206084893403.85,187052953498.0,资讯科技业,177,K81024
1382.HK,互太纺织,1.230,1.653,纺织及服饰,,1720512930.0,1720512930.0,非必需性消费,177,HK1382
1475.HK,日清食品,4.930,1.650,食物饮品,,5145398996.4,5145398996.4,必需性消费,177,HK1475
1680.HK,澳门励骏,0.185,1.648,旅游及消闲设施,博彩概念[HK],1147219617.2,1147219617.2,非必需性消费,177,HK1680
0618.HK,北大资源,0.062,1.639,地产,"现代服务业[HK],红筹股[HK],香港房地产[HK]",641679485.192,641679485.192,地产建筑业,177,HK0618
1270.HK,朗廷-SS,0.620,1.639,旅游及消闲设施,连锁酒店[HK],2057698783.72,2057698783.72,非必需性消费,177,HK1270
1695.HK,椰丰集团,0.062,1.639,食物饮品,食品添加剂[HK],66960000.0,66960000.0,必需性消费,177,HK1695
2250.HK,小黄鸭德盈,1.240,1.639,媒体及娱乐,NFT概念[HK],1216431320.0,1216431320.0,非必需性消费,177,HK2250
0111.HK,信达国际控股,0.250,1.626,其他金融,"中资券商股[HK],红筹股[HK],财产管理[HK]",160301400.0,160301400.0,金融业,177,HK0111
2138.HK,医思健康,1.260,1.613,医疗保健设备和服务,医美概念[HK],1493366193.9,1493366193.9,医疗保健业,177,HK2138
2155.HK,森松国际,5.050,1.610,工业工程,重型机械股[HK],6009963590.0,6009963590.0,工业,177,HK2155
0081.HK,中国海外宏洋集团,1.900,1.604,地产,"租售同权[HK],红筹股[HK],香港房地产[HK]",6762811990.8,6762811990.8,地产建筑业,177,HK0081
0122.HK,鳄鱼恤,0.127,1.600,纺织及服饰,品牌服饰[HK],180507073.834,180507073.834,非必需性消费,177,HK0122
2251.HK,鹰瞳科技-B,14.040,1.592,医疗保健设备和服务,生物医药B类[HK],1454094902.52,749974694.04,医疗保健业,177,HK2251
0031.HK,航天控股,0.320,1.587,工业工程,"军工股[HK],红筹股[HK]",987207002.24,987207002.24,工业,177,HK0031
0259.HK,亿都(国际控股),3.200,1.587,家庭电器及用品,消费电子[HK],3059756800.0,3059756800.0,非必需性消费,177,HK0259
0343.HK,文化传信,0.320,1.587,媒体及娱乐,文化传媒[HK],533970181.12,533970181.12,非必需性消费,177,HK0343
0661.HK,中国大冶有色金属,0.064,1.587,一般金属及矿石,"小金属[HK],红筹股[HK],铜[HK]",1145317101.184,1145317101.184,原材料业,177,HK0661
2357.HK,中航科工,3.200,1.587,工业工程,"军工股[HK],国企改革[HK]",25513133574.4,19874121075.2,工业,177,HK2357
3969.HK,中国通号,3.200,1.587,软件服务,"MSCI概念[HK],新经济[HK],高铁[HK]",59489939876.032,6300163200.0,资讯科技业,177,HK3969
8113.HK,扬宇科技,0.064,1.587,工业工程,电子信息[HK],62021252.736,62021252.736,工业,178,HK8113
1085.HK,亨鑫科技,1.290,1.575,资讯科技器材,"数据中心[HK],电子信息[HK],电讯设备[HK]",500520000.0,500520000.0,资讯科技业,177,HK1085
6968.HK,港龙中国地产,0.129,1.575,地产,,209212071.0,209212071.0,地产建筑业,177,HK6968
0831.HK,利亚零售,0.650,1.563,食物饮品,餐饮连锁[HK],505321033.1,505321033.1,必需性消费,177,HK0831
1995.HK,旭辉永升服务,1.300,1.563,地产,物业管理[HK],2273986000.0,2273986000.0,地产建筑业,177,HK1995
2193.HK,万景控股,0.325,1.563,建筑,"基础建设[HK],现代服务业[HK]",136440850.0,136440850.0,地产建筑业,177,HK2193
3377.HK,远洋集团,0.325,1.563,地产,"养老概念[HK],内地房地产[HK]",2475231088.525,2475231088.525,地产建筑业,177,HK3377
0688.HK,中国海外发展,10.460,1.553,地产,"充电桩概念股[HK],租售同权[HK],红筹股[HK],香港房地产[HK]",114483481776.1,114483481776.1,地产建筑业,177,HK0688
0571.HK,丰德丽控股,0.066,1.539,媒体及娱乐,"影视娱乐[HK],文化传媒[HK]",115887873.156,115887873.156,非必需性消费,177,HK0571
1723.HK,港亚控股,0.330,1.539,专业零售,,132000000.0,132000000.0,非必需性消费,177,HK1723
2682.HK,润利海事,0.198,1.539,工用运输,,198000000.0,198000000.0,工业,177,HK2682
3339.HK,中国龙工,1.320,1.539,工业工程,重型机械股[HK],5649732000.0,5649732000.0,工业,177,HK3339
6866.HK,佐力小贷,0.330,1.539,其他金融,融资租赁[HK],389400000.0,99000000.0,金融业,177,HK6866
2453.HK,美中嘉和,15.920,1.531,医疗保健设备和服务,次新股[HK],11404107582.72,3925092302.08,医疗保健业,177,HK2453
8413.HK,亚洲富思,0.133,1.527,食物饮品,,154546000.0,154546000.0,必需性消费,178,HK8413
6626.HK,越秀服务,2.660,1.527,地产,物业管理[HK],4048600270.82,4048600270.82,地产建筑业,177,HK6626
1756.HK,中国职业教育,0.670,1.515,支援服务,,804000000.0,804000000.0,非必需性消费,177,HK1756
6127.HK,昭衍新药,8.750,1.508,药品及生物科技,CXO概念[HK],12795087815.217,1041208052.5,医疗保健业,177,HK6127
9909.HK,宝龙商业,2.700,1.504,地产,物业管理[HK],1735830000.0,1735830000.0,地产建筑业,177,HK9909
2628.HK,中国人寿,9.490,1.497,保险,"保险[HK],内险股[HK],国企改革[HK],蚂蚁集团概念[HK]",737777277825.41,70616750750.0,金融业,177,HK2628
0838.HK,亿和控股,0.680,1.493,工业工程,"比亚迪概念[HK],特斯拉[HK],电子信息[HK]",1183825464.0,1183825464.0,工业,177,HK0838
1741.HK,日赢控股,0.680,1.493,建筑,,544000000.0,544000000.0,地产建筑业,177,HK1741
1900.HK,中国智能交通,0.136,1.493,软件服务,互联网+[HK],230885992.864,230885992.864,资讯科技业,177,HK1900
2246.HK,快狗打车,0.340,1.493,工用运输,,213677135.08,213677135.08,工业,177,HK2246
2380.HK,中国电力,3.430,1.479,公用事业,"MSCI概念[HK],充电桩概念股[HK],国企改革[HK],生物质能发电[HK],绿色电力[HK]",42429617871.69,42429617871.69,公用事业,177,HK2380
3866.HK,青岛银行,2.060,1.478,银行,"内银股[HK],财产管理[HK]",17472118126.503,4721407676.44,金融业,177,HK3866
0512.HK,远大医药,3.440,1.475,药品及生物科技,"医疗器械[HK],生物医药[HK]",12210524749.12,12210524749.12,医疗保健业,177,HK0512
0433.HK,北方矿业,0.069,1.471,一般金属及矿石,物业投资[HK],863303187.393,863303187.393,原材料业,177,HK0433
1053.HK,重庆钢铁股份,0.690,1.471,一般金属及矿石,"国企改革[HK],碳中和[HK],铁矿石[HK]",12466743605.349,371307768.0,原材料业,177,HK1053
1098.HK,路劲,1.380,1.471,地产,香港房地产[HK],1034084461.08,1034084461.08,地产建筑业,177,HK1098
2202.HK,万科企业,5.520,1.471,地产,"内地房地产[HK],冬奥会[HK],国企改革[HK],知名公司[HK],租售同权[HK]",110530774061.88,12179951417.76,地产建筑业,177,HK2202
0268.HK,金蝶国际,8.300,1.467,软件服务,"SaaS概念[HK],云办公[HK],云计算[HK],区块链概念[HK],工业互联网[HK],数据中心[HK],新IT概念[HK],新经济[HK],机器人[HK],软件外包[HK]",29825803249.3,29825803249.3,资讯科技业,177,HK0268
0173.HK,嘉华国际,2.080,1.463,地产,香港房地产[HK],6516420799.2,6516420799.2,地产建筑业,177,HK0173
6160.HK,百济神州,97.100,1.463,药品及生物科技,"创新药[HK],双重主要上市中概股[HK],回港中概股[HK],抗癌概念[HK],知名公司[HK],肝炎概念[HK]",136611324100.34,120548081058.2,医疗保健业,177,HK6160
