股票代码,股票简称,港股@最新价,港股@最新涨跌幅,港股@所属恒生行业(二级),港股@所属概念,港股@总市值[20240308],港股@流通市值[20240308],港股@所属恒生行业,market_code,code
6689.HK,洪九果品,3.480,1.458,农业产品,,5589111092.88,3954651763.8,必需性消费,177,HK6689
0145.HK,信能低碳,0.350,1.449,支援服务,,39559927.05,39559927.05,非必需性消费,177,HK0145
3678.HK,弘业期货,1.400,1.449,其他金融,"中资券商股[HK],财产管理[HK]",8451110817.6059,349580000.0,金融业,177,HK3678
8095.HK,北大青鸟环宇,0.350,1.449,综合企业,"国企改革[HK],旅游及观光[HK],电子信息[HK],高校[HK]",530062400.0,285062400.0,综合企业,178,HK8095
1981.HK,华夏视听教育,0.700,1.449,支援服务,影视娱乐[HK],1158455900.0,1158455900.0,非必需性消费,177,HK1981
2218.HK,安德利果汁,7.090,1.431,食物饮品,"农业现代化[HK],非酒精饮料[HK]",6440054198.9357,556309760.0,必需性消费,177,HK2218
0272.HK,瑞安房地产,0.710,1.429,地产,"MSCI概念[HK],内地房地产[HK]",5699358380.04,5699358380.04,地产建筑业,177,HK0272
2293.HK,百本医护,0.710,1.429,医疗保健设备和服务,,285746600.0,285746600.0,医疗保健业,177,HK2293
6886.HK,华泰证券,9.250,1.425,其他金融,"中资券商股[HK],国企改革[HK],财产管理[HK],阿里巴巴概念[HK]",132202938055.78,15901172540.0,金融业,177,HK6886
0603.HK,中油燃气,0.214,1.422,公用事业,天然气[HK],1206276020.476,1206276020.476,公用事业,177,HK0603
6988.HK,乐享集团,0.214,1.422,软件服务,"SaaS概念[HK],短视频[HK]",507592420.8,507592420.8,资讯科技业,177,HK6988
1361.HK,361度,4.290,1.418,纺织及服饰,"体育[HK],体育用品股[HK],品牌服饰[HK],知名公司[HK]",8870355780.0,8870355780.0,非必需性消费,177,HK1361
2196.HK,复星医药,14.300,1.418,药品及生物科技,"CAR-T[HK],健康产业[HK],创新药[HK],医疗器械[HK],医美概念[HK],医药股[HK],抗疫[HK],抗癌概念[HK],新经济[HK],民营医院[HK],燃料电池[HK],独角兽[HK],生物医药[HK],知名公司[HK],肝炎概念[HK],辅助生殖[HK]",64615853169.259,7892749150.0,医疗保健业,177,HK2196
82318.HK,中国平安-R,32.300,1.413,,,773491429757.29,240556734257.6,金融业,177,K82318
0451.HK,协鑫新能源,0.360,1.409,公用事业,"光伏太阳能[HK],太阳能[HK],新经济[HK],碳中和[HK]",420276877.92,420276877.92,公用事业,177,HK0451
0732.HK,信利国际,0.720,1.409,工业工程,电子信息[HK],2275995886.56,2275995886.56,工业,177,HK0732
1966.HK,中骏集团控股,0.144,1.409,地产,"人工智能[HK],内地房地产[HK]",608110002.144,608110002.144,地产建筑业,177,HK1966
3323.HK,中国建材,2.880,1.409,建筑,"国企改革[HK],建材水泥股[HK],碳中和[HK],雄安概念股[HK]",24292139506.56,13127461920.0,地产建筑业,177,HK3323
3383.HK,雅居乐集团,0.720,1.409,地产,"MSCI概念[HK],内地房地产[HK],智慧城市[HK],海南板块[HK],粤港澳[HK]",3633154200.0,3633154200.0,地产建筑业,177,HK3383
8053.HK,比优集团,0.360,1.409,建筑,,1281140946.72,1281140946.72,地产建筑业,178,HK8053
2367.HK,巨子生物,36.000,1.409,药品及生物科技,,35820000000.0,35820000000.0,医疗保健业,177,HK2367
1908.HK,建发国际集团,11.560,1.404,地产,"物业投资[HK],香港房地产[HK],高股息概念[HK]",21914108496.56,21914108496.56,地产建筑业,177,HK1908
1286.HK,鹰普精密,2.900,1.399,工业工程,,5473128428.5,5473128428.5,工业,177,HK1286
0653.HK,卓悦控股,0.073,1.389,消费者主要零售商,"健康产业[HK],化妆美容股[HK],香港概念[HK]",347065067.927,347065067.927,必需性消费,177,HK0653
