股票代码,股票简称,美股@最新价,美股@最新涨跌幅,美股@gics行业(三级),美股@所属概念,美股@总市值[20240308],美股@gics行业(一级),美股@gics行业(二级),美股@gics行业(四级),美股@上市日期,美股@总股本[20240308],美股@流通股[20240308],美股@上市板块,market_code,code
TYL.N,泰勒科技,420.200,-0.377,软件,,17776269665.28,信息技术,软件与服务,应用软件,19690324,42276136.0,42276136.0,主板,169,TYL
FDS.N,慧甚,466.025,-0.244,资本市场,ESG概念[US],17752827174.56,金融,金融服务,金融交易所和数据,19960628,38086388.0,38086388.0,主板,169,FDS
CMS.N,CMS能源,60.270,0.300,复合型公用事业,,17743172541.2,公用事业,公用事业,复合型公用事业,19470203,294443620.0,294443620.0,主板,169,CMS
TXT.N,德事隆,92.140,2.004,航空航天与国防,"军工[US],现代服务业[US]",17724609334.98,工业,资本品,航天航空与国防,19471222,192386946.0,192386946.0,主板,169,TXT
ENPH.O,Enphase Energy,130.280,0.455,电气设备,,17686726684.92,工业,资本品,电气部件与设备,20120330,135759339.0,135759339.0,Nasdaq Global Market,185,ENPH
EBR.N,巴西电力,8.705,-1.138,电力公用事业,,17614729917.62,公用事业,公用事业,电力公用事业,20161013,2027011498.0,2027011498.0,主板,169,EBR
WMG.O,华纳音乐,33.930,-0.294,娱乐,数字音乐[US],17571707487.36,通讯业务,媒体与娱乐,电影和娱乐,20200603,517881152.0,517881152.0,Nasdaq Global Select Market,185,WMG
PSTG.N,Pure Storage,55.360,-3.167,电脑与外围设备,,17489095587.0,信息技术,技术硬件与设备,电脑硬件、储存设备及电脑周边,20151007,315972820.0,315972820.0,主板,169,PSTG
LDOS.N,Leidos Holdings,128.740,-0.794,信息技术服务,互联网板块,17482942796.76,信息技术,软件与服务,信息科技咨询与其它服务,20061013,135779301.0,135779301.0,主板,169,LDOS
ATO.N,ATMOS能源,115.805,0.199,燃气公用事业,,17470255096.38,公用事业,公用事业,燃气公用事业,19831230,150839709.0,150839709.0,主板,169,ATO
EXPD.N,康捷国际物流,121.280,-0.655,航空货运与物流,,17449228026.66,工业,运输,航空货运与物流,20231121,143899291.0,143899291.0,主板,169,EXPD
IHG.N,洲际酒店,105.920,0.009,酒店、餐馆与休闲,,17439650466.56,非日常生活消费品,消费者服务,酒店、度假村与豪华游轮,20030415,164649268.0,164649268.0,主板,169,IHG
VIV.N,巴西电信,10.530,-0.284,综合电信业务,,17418235402.16,通讯业务,电信业务,综合电信业务,20201130,1652584004.0,1652584004.0,主板,169,VIV
AVTR.N,Avantor,25.640,0.117,生命科学工具和服务,,17391134660.12,医疗保健,制药、生物科技和生命科学,生命科学工具和服务,20190517,678281383.0,678281383.0,主板,169,AVTR
AVY.N,艾利丹尼森,215.710,-0.190,容器与包装,,17368133868.99,原材料,原材料,纸和塑料包装产品和材料,19670620,80508663.0,80508663.0,主板,169,AVY
FSLR.O,第一太阳能,161.350,0.624,半导体产品与设备,"太阳能[US],光伏概念[US]",17240074694.15,信息技术,半导体产品与设备,半导体产品,20061117,106848929.0,106848929.0,Nasdaq Global Select Market,185,FSLR
CVNA.N,Carvana,85.250,7.336,专营零售,"明星股[US],美股概念板块",17222001845.3,非日常生活消费品,非必需消费品分销和零售,汽车零售,20170428,201899201.0,201899201.0,主板,169,CVNA
CG.O,凯雷集团,47.350,-0.567,资本市场,,17146085589.0,金融,金融服务,资产管理与托管银行,20120503,362113740.0,362113740.0,Nasdaq Global Select Market,185,CG
SYF.N,Synchrony Financial,42.150,1.371,消费信贷,信用支付[US],17144389388.28,金融,金融服务,消费信贷,20140731,406843602.0,406843602.0,主板,169,SYF
SWKS.O,思佳讯,106.320,-1.373,半导体产品与设备,"半导体[US],苹果概念股[US],5G[US],华为海外供应商[US]",17035216731.12,信息技术,半导体产品与设备,半导体产品,19800728,160225891.0,160225891.0,Nasdaq Global Select Market,185,SWKS
CSL.N,卡莱尔伙伴,354.710,-2.893,建筑产品,,16941918488.7,工业,资本品,建筑产品,19600601,47749270.0,47749270.0,主板,169,CSL
EDR.N,奋进集团,24.460,0.534,娱乐,,16937951708.4,通讯业务,媒体与娱乐,电影和娱乐,20210429,692475540.0,692475540.0,主板,169,EDR
CE.N,塞拉尼斯,155.460,-0.747,化学制品,,16933860178.74,原材料,原材料,特种化学制品,20050121,108906426.0,108906426.0,主板,169,CE
