证券代码,证券名称,流通市值,总市值,最新价,涨跌幅,振幅,成交额,换手率,市盈率,市净率,EPS,ROE,每股净资产,股息率,资产负债率,所属同花顺行业,三级行业,二级行业,一级行业,主营产品,投资逻辑,公司亮点,沪深指数,所属概念,异动值
300290.SZ,荣科科技,55.27,55.27,8.64,5.37,7.8,7.42,13.42,-99.36,6.81,-0.021738458,-1.7,1.269603399,-,38.6465115115,计算机-计算机应用-IT服务,医疗软件,计算机,科技,医疗卫生,临床信息化领先企业,"""中国方案商500强""""十佳医疗行业ISV""",中证2000,"智能建筑,国企改革,华为,大数据,DRG/DIP,独角兽,人工智能,数字经济,智慧政务,鸿蒙,河南国企改革,国产软件,互联网医疗,网络安全,数据存储,区块链,地方国企改革,信创,华为鲲鹏,虚拟现实,电子商务,数字孪生,在线教育,专精特新,云计算,数据中心,智能医疗,智慧城市",13.328781194967
600369.SH,西南证券,248.18,261.15,3.93,5.36,4.29,3.89,1.6,43.36,1.03,0.090627449,2.39,3.8238681,0.76,70.0000685592,非银金融-证券-证券Ⅲ,证券,非银金融,金融,BBB级券商,唯一一家注册地在重庆的全国综合性证券公司,“全牌照”经营的券商，并购和再融资业务处于行业领先地位,中证500,"两江新区,重庆国企改革,国企改革,地方国企改革,MSCI,期货,年报预增",3.227679572255594
603530.SH,神马电力,83.67,84.12,19.46,5.36,5.47,1.61,1.95,32.99,5.09,0.1474519,3.87,3.821207242,0.26,15.0886125391,电力设备-电力设备-线缆部件及其他,电缆,电气设备,电力设备,变电站复合外绝缘,国际知名的电力系统复合外绝缘产品研制企业,业内知名变电站绝缘子生产商，国内电力设备用橡胶密封件龙头企业，打破了国际厂商对我国高端变电站用绝缘子市场的垄断,中证1000,"橡胶,特高压,核电,一带一路,年报预增,柔性直流输电,智能电网",1.6467610450931562
836239.BJ,长虹能源,7.23,18.92,14.55,5.36,7.39,0.2,2.78,11.32,2.51,-,5.73,5.786869935,-,80.0932431932,电力设备-电力设备-电池,锂电池,储能,电力设备,锂电/太阳能等,全球电池产品制造商,高倍率锂电池细分领域行业领先,,"储能,国企改革,锂电池,地方国企改革",0.5405726425121544
000550.SZ,江铃汽车,139.78,232.72,26.96,5.35,6.49,5.12,3.7,12.06,2.15,0.558801085,4.55,12.550035204,1.57,63.1751901824,交运设备-汽车整车-商用载货车,载货车,汽车整车,汽车,商用卡车,国内轻型商用车行业骨干企业,轻型商用车的行业领导者，坚持“JMC和福特”双品牌战略,中证1000,"国企改革,燃料电池,新能源汽车,长安汽车,无人驾驶,汽车制造,鄱阳湖经济区,华为汽车,央企国企改革,百度,新能源整车,年报预增,车联网,室外经济,汽车电子",6.060185722294002
600061.SH,国投资本,417.65,417.65,6.5,5.35,4.38,4.53,1.11,17.72,0.84,0.366804286,4.67,7.762312068,1.42,79.0054955372,非银金融-保险及其他-多元金融,资产管理,非银金融,金融,证券业务,全资控股安信证券,国投公司旗下唯一金融控股平台，安信证券为其核心资产之一,沪深300,"国投系,信托,国企改革,雄安新区,金控平台,期货,北交所,央企国企改革,北京自贸区,MSCI,证金持股",3.472556887586927
300054.SZ,鼎龙股份,163.9,210.71,22.28,5.34,4.54,3.26,2.02,64.57,4.82,0.08625687,1.83,4.62301005,0.22,29.6017373074,电子-电子化学品-电子化学品Ⅲ,材料,半导体,科技,打印耗材，CMP抛光垫,光电半导体材料及打印复印通用耗材方案解决综合供应商,国内电子成像显像专用信息化学品龙头,中证1000,"国产替代,柔性屏,中芯国际,光刻胶,蓝宝石,芯片设计,OLED,集成电路,先进封装,芯片",2.8728995812174936
300796.SZ,贝斯美,61.32,61.32,16.98,5.33,5.65,2.29,3.77,76.18,3.62,0.055726505,1.19,4.686576202,-,41.9160821827,基础化工-化学制品-农药,农药,化学制品,化工,二甲戊灵原药,国内二甲戊灵原药及中间体领域的龙头企业,二甲戊灵国内市占率约60%，国内仅有的具备二甲戊灵原药、中间体、制剂全产业链产研能力的农药企业，外销为主,中证2000,"新材料,共同富裕示范区,人民币贬值受益",2.595927894664934
300410.SZ,正业科技,20.29,20.3,5.53,5.33,9.14,0.63,3.12,-44.99,4.74,-0.03072853,-2.6,1.165898644,-,78.0896188292,电力设备-电力设备-电池,电池检测,储能,电力设备,锂电检测自动化,公司锂电X光检测设备占有国内市场份额达70%以上,面向PCB、锂电、液晶面板行业提供智能检测和智能制造解决方案,中证2000,"5G,激光,国企改革,华为,锂电池,新能源汽车,食品安全,覆铜板,比亚迪,节能照明,BC电池,先进封装,芯片,工业4.0,光伏,粤港澳大湾区,宁德时代,锂电设备,高端装备,蔚来汽车,地方国企改革,固态电池,芯片设备,OLED,储能,苹果,机器人,新材料,HJT电池",1.7350904168823265
000552.SZ,甘肃能化,106.27,190.52,3.56,5.33,8.28,2.33,2.25,10.96,1.21,0.3247359,12.75,2.932038075,3.93,46.6684377051,煤炭-煤炭开采加工-煤炭开采,煤炭,煤炭,资源,煤炭(甘肃),主营煤炭采掘、火力发电的煤电一体化发展企业,主营煤炭采掘、火力发电的煤电一体化发展企业,中证1000,"国企改革,白银,兰新白试验区,甘肃国企改革,煤炭,尿素,煤化工,天然气,动力煤,超超临界发电,地方国企改革,化肥,甲醇",4.020135941467251
