isin,slug,name.originalValue,name.translations.others,name.translations.en,overview.lastPrice,changeToPrevDay,turnover,marketCapitalisation,overview.dateTimeLastPrice,market.originalValue,market.translations.de,market.translations.en,segment.originalValue,segment.translations.others,industrySector.originalValue,industrySector.translations.others,instrumentType.originalValue,instrumentType.translations.de,instrumentType.translations.en,securityType.originalValue,securityType.translations.de,securityType.translations.en,originCountry.originalValue,originCountry.translations.de,originCountry.translations.en,sector.originalValue,subsector.originalValue,subsector.translations.others,industrySector.translations.de,industrySector.translations.en,subsector.translations.de,subsector.translations.en,segment,sector,subsector,originCountry.translations.others
DE0006599905,merck-kgaa,MERCK KGAA O.N.,Merck KGaA,,151.6,1.7108352901,40081264.8,65912648000.0,2023-07-20T17:35:13+02:00,REGULATED,Regulierter Markt,Regulated Market,PRIME,Prime Standard,51,,1002,Stammaktien,Common shares,BEARER_SHARES,Inhaberaktie,Bearer share,DE,Deutschland,Germany,Pharma & Healthcare,Pharmatceuticals,,Chemie und Pharmazeutik,Chemistry/pharmacy,Arzneimittel,Pharmatceuticals,,,,
DE0007037129,rwe-ag-st,RWE AG INH O.N.,RWE AG St,,39.64,1.0451185317,38827009.33,29485817600.0,2023-07-20T17:35:17+02:00,REGULATED,Regulierter Markt,Regulated Market,PRIME,Prime Standard,180,,1002,Stammaktien,Common shares,BEARER_SHARES,Inhaberaktie,Bearer share,DE,Deutschland,Germany,Utilities,Multi-Utilities,,Holdinggesellschaften,Holding companies,Versorgungsunternehmen,Multi-Utilities,,,,
DE000ZAL1111,zalando-se,ZALANDO SE,Zalando SE,,30.16,1.3781512605,38489090.07,7951080800.0,2023-07-20T17:37:36+02:00,REGULATED,Regulierter Markt,Regulated Market,PRIME,Prime Standard,174,,1002,Stammaktien,Common shares,BEARER_SHARES,Inhaberaktie,Bearer share,DE,Deutschland,Germany,Retail,"Retail,Internet",,Internet-Dienstleister,Internet Service Provider,"Einzelhandel, Internet","Retail, Internet",,,,
DE000A1DAHH0,brenntag-se,BRENNTAG SE NA O.N.,Brenntag SE,,68.66,1.7185185185,38203705.06,10607970000.0,2023-07-20T17:35:09+02:00,REGULATED,Regulierter Markt,Regulated Market,PRIME,Prime Standard,180,,1002,Stammaktien,Common shares,REGISTERED_SHARES,Namensaktie,Registered share,DE,Deutschland,Germany,Industrial,Industrial Products & Services,,Holdinggesellschaften,Holding companies,Industrieprodukte & Dienstleistungen ,Industrial Products & Services,,,,
NL0000235190,airbus-se,AIRBUS SE,Airbus SE,,134.64,0.1934811727,35738804.84,106419456000.0,2023-07-20T17:35:03+02:00,REGULATED,Regulierter Markt,Regulated Market,PRIME,Prime Standard,91,,1002,Stammaktien,Common shares,BEARER_SHARES,Inhaberaktie,Bearer share,NL,Niederlande,Netherlands ,Industrial,Heavy Machinery,,Fahrzeug- und Maschinenbau,Automotive and mechanical engineering,Schwermaschinen,Heavy Machinery,,,,
DE0006062144,covestro-ag,COVESTRO AG O.N.,Covestro AG,,49.06,0.4504504504,33932058.13,9478392000.0,2023-07-20T17:38:37+02:00,REGULATED,Regulierter Markt,Regulated Market,PRIME,Prime Standard,190,,1002,Stammaktien,Common shares,BEARER_SHARES,Inhaberaktie,Bearer share,DE,Deutschland,Germany,Chemicals,"Chemicals, Specialty",,Sonstige deutsche Aktien,Other german shares,Spezialchemikalien,"Chemicals, Specialty",,,,
DE000WCH8881,wacker-chemie-ag,WACKER CHEMIE O.N.,Wacker Chemie AG,,140.2,2.1865889212,32877094.0,7311430000.0,2023-07-20T17:36:24+02:00,REGULATED,Regulierter Markt,Regulated Market,PRIME,Prime Standard,51,,1002,Stammaktien,Common shares,BEARER_SHARES,Inhaberaktie,Bearer share,DE,Deutschland,Germany,Chemicals,"Chemicals, Specialty",,Chemie und Pharmazeutik,Chemistry/pharmacy,Spezialchemikalien,"Chemicals, Specialty",,,,
DE0006048432,henkel-ag-co-kgaa-vz,HENKEL AG+CO.KGAA VZO,Henkel AG & Co. KGaA Vz,,70.54,-0.7038288289,32302576.8,30893698400.0,2023-07-20T17:35:29+02:00,REGULATED,Regulierter Markt,Regulated Market,PRIME,Prime Standard,51,,1003,Vorzugsaktien,Preffered shares,BEARER_SHARES,Inhaberaktie,Bearer share,DE,Deutschland,Germany,Consumer,Personal Products,,Chemie und Pharmazeutik,Chemistry/pharmacy,Körperpflege Produkte,Personal Products,,,,
DE000ENER6Y0,siemens-energy-ag,SIEMENS ENERGY AG NA O.N.,Siemens Energy AG,,15.49,-0.5776636714,29075131.14,12381311900.0,2023-07-20T17:35:47+02:00,REGULATED,Regulierter Markt,Regulated Market,PRIME,Prime Standard,190,,1002,Stammaktien,Common shares,REGISTERED_SHARES,Namensaktie,Registered share,DE,Deutschland,Germany,Industrial,Industrial,,Sonstige deutsche Aktien,Other german shares,,,,,,
DE000KSAG888,k-s-aktiengesellschaft,K+S AG NA O.N.,K+S Aktiengesellschaft,,17.99,3.3611031312,28895800.52,3443286000.0,2023-07-20T17:35:02+02:00,REGULATED,Regulierter Markt,Regulated Market,PRIME,Prime Standard,120,,1002,Stammaktien,Common shares,REGISTERED_SHARES,Namensaktie,Registered share,DE,Deutschland,Germany,Chemicals,"Chemicals, Commodity",,"Kali, Erdöl, Erdgas, Kohle","Potash, oil, natural gas, carbon","Chemikalie, Rohstoff","Chemicals, Commodity",,,,
