,0,1,2,3,4,5,6,7,8,9
28,,<a href='/en/product/equities/BE0003696102-XBRU/accentis/accb/quotes' data-order='ACCENTIS' data-title-hover='ACCENTIS'>ACCENTIS</a>,BE0003696102,ACCB,<div class='nowrap pointer' title='Euronext Brussels' >XBRU</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>0.0294</span></div>,<div class='text-right pd_percent'><span class=red>-2.65%</span></div>,"<div class='text-right pointer tooltipDesign' >17:27 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">0.0294</div>","<div class=""text-right"">17 Jul 2023</div>"
29,,<a href='/en/product/equities/FR0000120404-XPAR/accor/ac/quotes' data-order='ACCOR' data-title-hover='ACCOR'>ACCOR</a>,FR0000120404,AC,<div class='nowrap pointer' title='Euronext Paris' >XPAR</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>33.90</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>0.06%</span></div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">33.90</div>","<div class=""text-right"">17 Jul 2023</div>"
30,,<a href='/en/product/equities/GB00BQQFX454-XAMS/accsys/axs/quotes' data-order='ACCSYS' data-title-hover='ACCSYS TECHNOLOGIES PLC'>ACCSYS</a>,GB00BQQFX454,AXS,<div class='nowrap pointer' title='Euronext Amsterdam' >XAMS</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>1.002</span></div>,<div class='text-right pd_percent'><span class=red>-0.79%</span></div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">1.002</div>","<div class=""text-right"">17 Jul 2023</div>"
31,,<a href='/en/product/equities/IT0001207098-MTAA/acea/ace/quotes' data-order='ACEA' data-title-hover='ACEA'>ACEA</a>,IT0001207098,ACE,<div class='nowrap pointer' title='Euronext Milan' >MTAA</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>11.34</span></div>,<div class='text-right pd_percent'><span class=red>-0.53%</span></div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">11.34</div>","<div class=""text-right"">17 Jul 2023</div>"
32,,<a href='/en/product/equities/FR001400BJ77-ALXP/acheter-louerfr/alalo/quotes' data-order='ACHETER-LOUER.FR' data-title-hover='Acheter-Louer.fr'>ACHETER-LOUER.FR</a>,FR001400BJ77,ALALO,<div class='nowrap pointer' title='Euronext Growth Paris' >ALXP</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>0.0003</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>50.00%</span></div>,"<div class='text-right pointer tooltipDesign' >17:18 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">0.0003</div>","<div class=""text-right"">17 Jul 2023</div>"
33,,<a href='/en/product/equities/IT0001382024-MTAA/acinque/ac5/quotes' data-order='ACINQUE' data-title-hover='ACINQUE'>ACINQUE</a>,IT0001382024,AC5,<div class='nowrap pointer' title='Euronext Milan' >MTAA</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>2.06</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>1.98%</span></div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">2.06</div>","<div class=""text-right"">17 Jul 2023</div>"
34,,<a href='/en/product/equities/BE0003764785-XBRU/ackermans-vhaaren/ackb/quotes' data-order='ACKERMANS V.HAAREN' data-title-hover='ACKERMANS V.HAAREN'>ACKERMANS V.HAAREN</a>,BE0003764785,ACKB,<div class='nowrap pointer' title='Euronext Brussels' >XBRU</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>153.10</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>0.26%</span></div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">153.10</div>","<div class=""text-right"">17 Jul 2023</div>"
35,,<a href='/en/product/equities/NL0000313286-XAMS/acomo/acomo/quotes' data-order='ACOMO' data-title-hover='ACOMO N.V.'>ACOMO</a>,NL0000313286,ACOMO,<div class='nowrap pointer' title='Euronext Amsterdam' >XAMS</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>22.20</span></div>,<div class='text-right pd_percent'><span class=red>-0.45%</span></div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">22.20</div>","<div class=""text-right"">17 Jul 2023</div>"
36,,<a href='/en/product/equities/IT0005443061-EXGM/acquazzurra/acq/quotes' data-order='ACQUAZZURRA' data-title-hover='ACQUAZZURRA'>ACQUAZZURRA</a>,IT0005443061,ACQ,<div class='nowrap pointer' title='Euronext Growth Milan' >EXGM</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>9.90</span></div>,<div class='text-right pd_percent'>-</div>,"<div class='text-right pointer tooltipDesign' >06 Mar 2023<span class=""tooltiptext"">01:00 CET</span></div>","<div class=""text-right"">9.90</div>","<div class=""text-right"">17 Jul 2023</div>"
37,,<a href='/en/product/equities/FR0000076861-XPAR/acteos/eos/quotes' data-order='ACTEOS' data-title-hover='ACTEOS'>ACTEOS</a>,FR0000076861,EOS,<div class='nowrap pointer' title='Euronext Paris' >XPAR</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>1.515</span></div>,<div class='text-right pd_percent'><span class=red>-3.50%</span></div>,"<div class='text-right pointer tooltipDesign' >16:09 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">1.515</div>","<div class=""text-right"">17 Jul 2023</div>"
